key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_CRASHEDROCKET_0,[@]Its nozzle is still trickling bits of smoke.[W@]Better not touch anything.,[@]De petits filets de fumée s'en échappent encore.[W@]Il vaut peut-être mieux ne pas y toucher.,[@]Esce ancora del fumo.[W@]Meglio non toccare niente.,[@]エンジンからは　けむりが　でている。[W@]さわらない　ほうが　いいだろう。,[@]노즐에서 연기가 조금씩 새어 나오고 있다.[W@]굳이 건드리지 않는 게 좋을 것 같다.,[@]Su tobera todavía suelta un poco de humo.\n[W@]Será mejor no tocar nada.,[@]Su tobera todavía suelta un poco de humo.\n[W@]Será mejor no tocar nada.,[@]A ponta ainda está soltando uma fumacinha.[W@]Melhor não tocar em nada.,[@]Wciąż wydobywa się z niej dym.[W@]Lepiej nic tu nie ruszać.,[@]Aus der Düse quillt immer noch Rauch.[W@]Fass besser nichts an.,[@]Из сопла всё ещё идёт дым.[W@]Лучше её не трогать.,[@]З сопла все ще йде дим. [W@]Краще її не чіпати.,[@]它的喷口处还在丝丝地冒着烟。[W@]现在最好什么都别碰。
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_DUNCANSBATHROOM_0,[@]Woah! [DELAY]It's a girl's bathroom!,[@]Oh ! [DELAY]Ce sont des toilettes pour filles !,[@]Wow! [DELAY]È il bagno delle femmine!,[@]おんなマークの　ついた　トイレだ！,[@]워우! [DELAY]여자 화장실이다!,[@]¡Vaya! [DELAY]¡Es un baño de chicas!,[@]¡Hala! [DELAY]¡Es un baño de chicas!,[@]Uau! [DELAY]É um banheiro feminino!,[@]Łał! [DELAY]To damska łazienka!,[@]Whoa! [D]Es ist eine Frauen-Toilette!,[@]Ух ты![D] Туалет для девочек!,[@]Ого! [DELAY]Це туалет для дівчат!,[@]哇噢！[DELAY]这边是女士洗手间！
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_DUNCANSBATHROOM_1,[@]Woah! [DELAY]It's a boy's bathroom!,[@]Oh ! [DELAY]Ce sont des toilettes pour garçons !,[@]Wow! [DELAY]È il bagno dei maschi!,[@]おとこマークの　ついた　トイレだ！[DELAY][BR]なにかが　とびだしてくる　ことはない。,[@]워우! [DELAY]남자 화장실이다!,[@]¡Vaya! [DELAY]¡Es un baño de chicos!,[@]¡Hala! [DELAY]¡Es un baño de chicos!,[@]Uau! [DELAY]É um banheiro masculino!,[@]Łał! [DELAY]To męska łazienka!,[@]Whoa! [D]Es ist eine Männer-Toilette!,[@]Ух ты![D] Туалет для мальчиков!,[@]Ого! [DELAY]Це туалет для хлопчиків!,[@]哇噢！[DELAY]这边是男士洗手间！
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_DUNCANSFACTORY_COOLER_0,[@]It hasn't been refilled in a while...[DELAY] or cleaned.,"[@]Ça n'a pas été rempli depuis longtemps..[DELAY] ni nettoyé, d'ailleurs.",[@]È da un po' che non viene riempito...[DELAY] né pulito.\n,[@]なかの　のみものは　カビている。[BR][DELAY]れいぞうこの　なかみも　カビている。,[@]한동안 물탱크를 채우지 않은 모양이다.[W@]청소도 안 한 것 같다.,[@]Lleva tiempo sin rellenarse...[DELAY] o sin limpiarse.,[@]Lleva tiempo sin rellenarse...[DELAY] y sin limpiarse.,[@]Não foi reabastecido faz tempo...[DELAY] e nem limpo.,[@]Nikt jej od dawna nie napełniał...[DELAY] ani nie czyścił.,[@]Es wurde schon lange nicht mehr wieder aufgefüllt ...[DELAY] oder sauber gemacht.,[@]Он давно пуст...[D] и весь запылился.,[@]Він вже давним-давно порожній...[DELAY] та й страшенно пильний.,[@]已经有一段时间没有被补充了…[DELAY]而且还落满了灰。
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_DUNCANSFACTORY_DONUT_0,[@]Seems like someone left a donut here.[DELAY:5] Take it?,[@]On dirait que quelqu'un a laissé un donut ici.[DELAY:5] Le prendre ?,[@]Qualcuno ha lasciato qui una ciambella.[DELAY:5] Vuoi prenderla?\n,[@]だれかが　ピンクのドーナツを　おいていったようだ。[DELAY:5][BR]とる？,[@]누가 도넛을 놓고 간 모양이다.[DELAY:5] 가져갈까?,[@]Parece que alguien se ha dejado una dona aquí.[DELAY:5] ¿Quieres llevártela?,[@]Parece que alguien se ha dejado un dónut aquí.[DELAY:5][BR]¿Quieres llevártelo?,[@]Parece que deixaram uma rosquinha aqui.[DELAY:5] Pegá-la?,[@]Ktoś tu chyba zostawił donuta.[DELAY:5] Wziąć go?,[@]Jemand scheint einen Donut hier vergessen zu haben.[DELAY:5] Ihn mitnehmen?,"[@]Похоже, кто-то здесь оставил пончик.[D:5] Взять его?","[@]Схоже, хтось залишив тут пончик.[DELAY:5] Взяти його?",[@]好像有人在这里落下了个甜甜圈，[DELAY:5]要拿走吗？
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_DUNCANSFACTORY_DONUT_0-1,Yes,Oui,Sì,はい,네,Sí,Sí,Sim,Tak,Ja,Да,Так,是
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_DUNCANSFACTORY_DONUT_0-2,No,Non,,いいえ,아니오,,,Não,Nie,Nein,Нет,Ні,否
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_DUNCANSFACTORY_DONUT_1,"[@]For some reason, the donut is stuck to the plate.","[@]Pour une raison inconnue, le donut est collé à l'assiette.","[@]A quanto pare, la ciambella è incollata al piatto.\n",[@]なぜかドーナツが　おさらにはりついてて　とれない。,[@]어째선지 도넛이 접시에 들러붙어 있다.,"[@]Por alguna razón, la dona está pegada al plato.","[@]Por alguna razón, el dónut está pegado al plato.","[@]Por algum motivo, a rosquinha está grudada no prato.","[@]Z jakiegoś powodu, donut jest przyczepiony do talerza.",[@]Irgendwie klebt der Donut am Teller fest.,[@]По неведомой причине пончик намертво прилип к тарелке.,"[@]Пончик, з якоїсь причини, намертво прилип до тарілки.",[@]不知为何，甜甜圈黏在盘子上了。
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_DUNCANSFACTORY_DONUT_2,[@]The pink mold growing on the donut thanks you.,[@]La moisissure rose qui se développe sur le donut vous remercie.,[@]La muffa rosa sulla ciambella ti ringrazia.\n,[@]ドーナツにはえる　ピンクのカビに[BR]かんしゃされた。,[@]도넛 위에 자라있는 분홍색 곰팡이가 당신에게 감사를 전했다.,[@]El moho rosa de la dona te lo agradece.,[@]El moho rosa del dónut te lo agradece.,[@]O mofo rosado em cima da rosquinha te agradece.,[@]Różowa pleśń rosnąca na donucie ci dziękuje.,"[@]Der pinke Schimmel, der auf dem Donut wächst, dankt dir.",[@]Розовая плесень на пончике благодарит тебя.,"[@]Рожева пліснява,[DELAY:2] що росте на пончику,[DELAY:2] дякує тобі.",[@]甜甜圈上滋生的粉色霉菌在向你致谢。
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_DUNCANSFACTORY_PHOTO_0,[@]An old photo of a red-headed man next to a portly one.[WAIT@]They're both smiling.,[@]Une vieille photo d'un homme roux à côté d'un homme corpulent.[WAIT@]Ils sourient tous les deux.,[@]È una foto di un uomo con i capelli rossi e un uomo corpulento.[WAIT@]Stanno sorridendo.,[@]あかがみの　ゆがんだかおの　おとこの　となりに[BR]かっぷくのいい　おとこが　たっている。[WAIT@]ふたりとも　えがおで　わらっている。,"[@]빨간 머리 남자와 통통한 남자가 함께 찍힌, 오래된 사진이다.[WAIT@]두 사람 모두 웃고 있다.",[@]Una foto vieja de un señor pelirrojo junto a uno corpulento.\n[WAIT@]Ambos están sonriendo.,[@]Una foto vieja de un señor pelirrojo junto a uno orondo.\n[WAIT@]Ambos están sonriendo.,"[@]Uma foto antiga de dois homens lado a lado, um ruivo e um corpulento.[WAIT@]Eles estão sorrindo.","[@]Stare zdjęcie przedstawiające rudego mężczyznę stojącego obok drugiego, tęgiego.[WAIT@]Obydwaj są uśmiechnięci.",[@]Ein altes Foto eines rothaarigen Mannes neben einem sehr beleibten.[WAIT@]Sie lächeln beide.,"[@]На старой фотографии два улыбающихся мужчины.[W@]Один крупный, другой рыжеволосый.","[@]Старе, вицвіле фото.[WAIT] На ньому показан рудоволосий чоловік, а поруч з ним — вгодований.[WAIT@]Вони сяють усмішками.",[@]一张旧照片，一位红发男人和一位胖男人站在一起。[WAIT@]他们两人都在微笑着。
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_DUNCANSFACTORY_WILL_0,[@]A giant mass of papers prevents the drawer from closing.[WAIT] Read one?,[@]Une montagne de documents empêche le tiroir de se fermer.[WAIT] En lire un ?,[@]Un'enorme pila di fogli impedisce al cassetto di chiudersi.[WAIT] Ne vuoi leggere uno?,[@]しょるいが　はさまって　とだなが　とじない。[WAIT@]なかみを　よみますか？,[@]엄청난 양의 서류로 서랍이 닫히지 않는다.[WAIT] 하나 읽어 볼까?,[@]Un montón de papeles impide que el cajón se cierre.\n[WAIT@]¿Quieres leer uno?,[@]Un montón de papeles impide cerrar el cajón.\n[WAIT@]¿Quieres leer uno?,[@]Um amontoado de papéis impede a gaveta de fechar.[WAIT] Ler um deles?,[@]Wielka sterta dokumentów uniemożliwia zamknięcie szuflady.[WAIT] Przeczytać jakiś?,[@]Eine gigantische Menge Papier hindert die Schublade am Schließen.[WAIT] Eines von den Papieren lesen?,[@]Ящик не закрывается из-за огромного количества документов.[W] Прочитать один документ?,[@]Ящик не зачиняється через величезну кількість документів.[WAIT] Прочитати один із них?,[@]一大摞文件塞得抽屉合不上，[WAIT]要读一读吗？
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_DUNCANSFACTORY_WILL_1,"[@]In event of death, the rights to my factory and wealth will go to...[WAIT@]The rest is too complex to make out.","[@]En cas de décès, je lègue mon usine et ma fortune à...[WAIT@]Le reste est trop difficile à déchiffrer.","[@]Alla mia morte, la mia fabbrica e i miei averi andranno a...[WAIT@]Il resto è troppo complicato da leggere.\n",[@]「わしが　なくなった　ばあい[BR]　のこされた　いさん　および[BR]　こうじょうの　かんりけんげんは・・・」[WAIT@]つづきは　かんじで　かかれていて　よめない。,"[@]사망 시, 내 공장과 재산에 대한 권리는...[WAIT@]이후 내용은 너무 복잡해서 읽을 수 없다.","[@]En caso de fallecimiento, los derechos de mi fábrica y mis bienes pasarán a...\n[WAIT@]El resto es demasiado complejo para entenderlo.","[@]En caso de fallecimiento, el derecho a mi fábrica y mi riqueza irán a...\n[WAIT@]El resto es demasiado complejo para descifrarlo.","[@]Em caso de falecimento, os direitos de minha fábrica e riqueza passarão para...[WAIT@]O restante é complicado demais para entender.","[@]W przypadku śmierci, prawa do mego majątku i fabryki przejdą na...[WAIT@]Reszta jest zbyt skomplikowana, by ją odczytać.","[@]Im Todesfall gehen die Rechte an meiner Fabrik und Vermögen an ...[WAIT@]Der Rest ist zu komplex, um es zu verstehen.",[@]В случае моей смерти всё имущество и права на фабрику переходят к...[W@]Дальше написано неразборчиво.,"[@]У разі моєї смерті, все майно та права на фабрику переходять до...[WAIT@]Далі написано нерозбірливо.",[@]一旦我去世，我的工厂及全部财产的继承权将归于…[WAIT@]剩余的部分太复杂了，看不清楚。
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_DUNCANSTERMINAL_0,"[@]WELCOME BACK, GOLDRICH DUNCAN.[DELAY:3][BR]BLUE GATE ACCESS IS CURRENTLY DENIED.[DELAY:3][BR]AWAITING FURTHER COMMANDS.","[@]RAVI DE VOUS REVOIR, GOLDRICH DUNCAN.[DELAY:3][BR]L'ACCÈS AU PORTAIL BLEU EST ACTUELLEMENT REFUSÉ.[DELAY:3][BR]EN ATTENTE DE NOUVELLES INSTRUCTIONS.","[@]BEN TORNATO, GOLDRICH DUNCAN.[DELAY:3][BR]ACCESSO NEGATO ALLA PORTA BLU.[DELAY:3][BR]IN ATTESA DI ULTERIORI ISTRUZIONI.",[@]オカエリナサイマセ　ダンカン　サン[DELAY][BR]ブルーゲート　ゲンザイ　アクセスキョヒ[DELAY][BR]プログラムヲ　ニュウリョクシテ　クダサイ,"[@]돌아오신 것을 환영합니다, 골드리치 던컨.[DELAY:3][BR]현재 청색 게이트 출입 거부됨.[DELAY:3][BR]추가 명령 대기 중.","[@]BIENVENIDO DE NUEVO, GOLDRICH DUNCAN.[DELAY:3][BR]EL ACCESO A LA PUERTA AZUL ESTÁ ACTUALMENTE DENEGADO.[DELAY:3] ESPERANDO NUEVAS ÓRDENES.","[@]BIENVENIDO DE NUEVO, GOLDRICH DUNCAN.[DELAY:3][BR]EL ACCESO A LA PUERTA AZUL ESTÁ ACTUALMENTE DENEGADO.[DELAY:3] A LA ESPERA DE NUEVAS ÓRDENES.","[@]BEM-VINDO DE VOLTA, ENRICO DUNCAN.[DELAY:3][BR]O ACESSO AO PORTÃO AZUL ESTÁ ATUALMENTE NEGADO.[DELAY:3][BR]AGUARDANDO INSTRUÇÕES.","[@]WITAJ Z POWROTEM, GOLDRICHU DUNCAN.[DELAY:3][BR]DOSTĘP DO NIEBIESKIEJ BRAMY JEST OBECNIE WSTRZYMANY.[DELAY:3][BR]OCZEKUJĘ DALSZYCH POLECEŃ.","[@]WILLKOMMEN ZURÜCK, GOLDRICH DUNCAN.[D:3][BR]DAS BLAUE TOR IST DERZEIT GESPERRT.[D:3][BR]ERWARTE WEITERE BEFEHLE.","[@]С ВОЗВРАЩЕНИЕМ, ГОЛДРИЧ ДУНКАН.[DELAY:3][BR]СИНЯЯ ГЕРМОДВЕРЬ:[DELAY:3] [ОТКАЗАНО В ДОСТУПЕ].[DELAY:3][BR]ОЖИДАНИЕ КОМАНДЫ...","[@]З ПОВЕРНЕННЯМ, ГОЛДРИЧ ДУНКАН.[DELAY:3][BR]ДОСТУП ДО [СИНЯ ГЕРМОДВЕРЬ] ЗАБОРОНЕНО.[DELAY:3][BR]ОЧІКУЮТЬСЯ ПОДАЛЬШІ КОМАНДИ.",[@]欢迎回来，戈德里奇 邓肯。[DELAY:3][BR]当前蓝色大门的访问权限已被拒绝。[DELAY:3][BR]等待进一步指令。
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_DUNCANSTERMINAL_1,"[@]WELCOME BACK, GOLDRICH DUNCAN. [DELAY:3][BR]RED GATE ACCESS IS CURRENTLY DENIED. [DELAY:3][BR]AWAITING FURTHER COMMANDS.","[@]RAVI DE VOUS REVOIR, GOLDRICH DUNCAN.[DELAY:3][BR]L'ACCÈS AU PORTAIL ROUGE EST ACTUELLEMENT REFUSÉ.[DELAY:3][BR]EN ATTENTE DE NOUVELLES INSTRUCTIONS.","[@]BEN TORNATO, GOLDRICH DUNCAN.[DELAY:3][BR]ACCESSO NEGATO ALLA PORTA ROSSA.[DELAY:3][BR]IN ATTESA DI ULTERIORI ISTRUZIONI.",[@]オカエリナサイマセ　ダンカン　サン[DELAY][BR]レッドゲート　ゲンザイ　アクセスキョヒ[DELAY][BR]プログラムヲ　ニュウリョクシテ　クダサイ,"[@]돌아오신 것을 환영합니다, 골드리치 던컨.[DELAY:3][BR]현재 적색 게이트 출입 거부됨.[DELAY:3][BR]추가 명령 대기 중.","[@]BIENVENIDO DE NUEVO, GOLDRICH DUNCAN.[DELAY:3][BR]EL ACCESO A LA PUERTA ROJA ESTÁ ACTUALMENTE DENEGADO.[DELAY:3] ESPERANDO NUEVAS ÓRDENES.","[@]BIENVENIDO DE NUEVO, GOLDRICH DUNCAN.[DELAY:3][BR]EL ACCESO A LA PUERTA ROJA ESTÁ ACTUALMENTE DENEGADO.[DELAY:3] A LA ESPERA DE NUEVAS ÓRDENES.","[@]BEM-VINDO DE VOLTA, ENRICO DUNCAN.[DELAY:3][BR]O ACESSO AO PORTÃO VERMELHO ESTÁ ATUALMENTE NEGADO.[DELAY:3][BR]AGUARDANDO INSTRUÇÕES.","[@]WITAJ Z POWROTEM, GOLDRICHU DUNCAN.[DELAY:3][BR]DOSTĘP DO CZERWONEJ BRAMY JEST OBECNIE WSTRZYMANY.[DELAY:3][BR]OCZEKUJĘ DALSZYCH POLECEŃ.","[@]WILLKOMMEN ZURÜCK, GOLDRICH DUNCAN.[D:3][BR]DAS ROTE TOR IST DERZEIT GESPERRT.[D:3][BR]ERWARTE WEITERE BEFEHLE.","[@]С ВОЗВРАЩЕНИЕМ, ГОЛДРИЧ ДУНКАН.[DELAY:3][BR]КРАСНАЯ ГЕРМОДВЕРЬ:[DELAY:3] [ОТКАЗАНО В ДОСТУПЕ].[DELAY:3][BR]ОЖИДАНИЕ КОМАНДЫ...","[@]З ПОВЕРНЕННЯМ, ГОЛДРИЧ ДУНКАН.[DELAY:3][BR]ДОСТУП ДО [ЧЕРВОНА ГЕРМОДВЕРЬ] ЗАБОРОНЕНО.[DELAY:3][BR]ОЧІКУЮТЬСЯ ПОДАЛЬШІ КОМАНДИ.",[@]欢迎回来，戈德里奇 邓肯。[DELAY:3][BR]当前红色大门的访问权限已被拒绝。[DELAY:3][BR]等待进一步指令。
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_DUNCANSTERMINAL_2,[@]Could you let me inspect that for a moment?,[@]Tu me permets d'y jeter un œil ?,[@]Mi fai vedere un attimo?,[@]その　コンピューター　ぼくに　みせてくれるか？,"[@]잠시만, 내가 확인해 봐도 될까?",[@]¿Me dejas inspeccionar eso un momento?,[@]¿Me permites inspeccionar eso un momento?,[@]Eu posso dar uma olhada?,[@]Mógłbym się temu na chwilę przyjrzeć?,[@]Könnte ich mir das einen Moment mal anschauen?,"[@]Можно, я посмотрю?",[@]Чи можу я його перевірити?,[@]能让我来检查一下吗？
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_DUNCANSTERMINAL_3,[@][LLOYD] started typing on the terminal.,[@][LLOYD] commence à taper sur le clavier du terminal.,[@][LLOYD] iniza a scrivere al PC.,[@][LLOYD]は　コンピューターに[BR]もじれつを　たたきこんだ！,[@][LLOYD][particle:LLOYD] 터미널에 타이핑하기 시작했다.,[@][LLOYD] ha empezado a escribir en la terminal.,[@][LLOYD] ha empezado a escribir en la terminal.,[@][LLOYD] começou a digitar no terminal.,[@][LLOYD] zaczął wpisywać coś w terminal.,"[@][LLOYD] begann, auf dem Terminal herumzutippen.",[@][LLOYD] начал печатать в терминале компьютера.,[@][LLOYD] почав друкувати на терміналі.,[@][LLOYD]开始在终端上敲打起来。
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_DUNCANSTERMINAL_4,[@]This computer has already been hacked.,[@]Ce terminal a déjà été hacké.,[@]Questo computer è stato manomesso.,[@]コンピューターは　みごとなまでに[BR]ハッキングされた。,[@]이 컴퓨터는 이미 해킹됐다.,[@]Esta computadora ya fue hackeada.,[@]Este ordenador ya ha sido hackeado.,[@]Este computador já foi hackeado.,[@]Ten komputer już został zhakowany.,[@]Dieser Computer wurde schon gehackt.,[@]Этот компьютер уже взломан.,[@]Цей комп'ютер вже зламаний.,[@]这台电脑上已经被破解过了。
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_HOSPITAL_SIGN_0,"[@]Cheap, fast and handsome![DELAY:5] The finest in Merrysville!\n[WAITBR]Need a doctor?[DELAY:5] Sawbones Benny is the only way to go!\n[WAITBR]Whether dead or alive, protect your life.","[@]Rapide, pas cher et séduisant ![DELAY:5] Le Dʳ Maison peut guérir tous vos maux ![WAIT@]Le meilleur médecin de Merrysville ![WAIT@]Venez dès maintenant et profitez d'une promotion exceptionnelle ![WAIT@]Protégez votre vie... jusqu'à la mort !","[@]Rapido, conveniente e affascinante![DELAY:5] Il migliore di Merrysville!\n[WAITBR]Hai bisogno di un dottore?[DELAY:5] Il Dr. Aldino Truff è il migliore!\n[WAITBR]Salvaguarda la tua salute, in vita o morte.\n",[@]<CMーー　やすくて　はやくて　いいおとこ。[BR][DELAY:5]サンクスギビング　さいこうの　びょういん[WAITBR]いしゃがひつようかい？[BR][DELAY:5]それなら　ビッグベン・ケーシーに　かぎる！[WAITBR]いのちは　しんでもまもりたいもの>,"[@]싸고, 빠르고, 잘생기기까지![DELAY:5] 땡스기빙 최고의 병원![WAITBR]의사가 필요하다고요?[DELAY:5]외과의 베니가 최고다![WAITBR]죽었든 살았든,[DELAY] 당신의 생명을 지켜드립니다.","[@]¡Barato, rápido y encima guapo![DELAY:5] ¡El más fino de Merrysville!\n[WAITBR]¿Necesitas un doctor?[DELAY:5] ¡Benito Serruchas es tu mejor opción!\n[WAITBR]Cuida de tu vida, estés vivo o muerto.\n","[@]¡Barato, rápido y apuesto![DELAY:5] ¡El mejor de todo Merrysville!\n[WAITBR]¿Necesitas un doctor?[DELAY:5] ¡Benito Matasanos es tu mejor opción!\n[WAITBR]Cuida de tu vida, estés vivo o muerto.","[@]Bom, barato e bonitão![DELAY:5] O melhor de Gratidão!\n[WAITBR]Precisa de um médico?[DELAY:5] Dr. Rancatripa é a escolha certa!\n[WAITBR]Cuide bem da sua vida, mesmo que não a tenha mais.","[@]Tani, szybki i przystojny![DELAY:5] Najlepszy w Merrysville!\n[WAITBR]Potrzebny ci lekarz?[DELAY:5] Benek Łapiduch nie ma sobie równych!\n[WAITBR]Martwych chroni Bóg, a żywi mają Benka.","[@]Pragmatisch, praktisch, gut![DELAY:5] Der beste in Merrysville!\n[WAITBR]Sie brauchen einen Arzt?[DELAY:5] Dr. Sommer wird Sie von Ihren Leiden erlösen!\n[WAITBR]Egal ob tot oder lebendig.","[@]Лучший доктор в Меррисвиле![WBR]Быстро, дёшево, в компании очаровательного мужчины.[D:4] Бенни Скальпель — это ваш выбор![WBR]Мёртвым — самая большая скидка!","[@]Дешевий, швидкий, симпатичний![BR][DELAY:5]Найкращий у Меррісвілі!\n[WAITBR]Потрібен доктор?[DELAY:5] Костоправ Бенні — ваш вибір! \n[WAITBR]Береженого Бог береже, а хворого Бенні стереже!",[@]便宜、快捷、风度翩翩！[DELAY:5]梅里斯维尔之绝选！[WAITBR]需要医生吗？[DELAY:5]锯骨本尼医生是你的不二之选！[WAITBR]无论死活，都能拯救你的生命。
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_INSTANTREVITALIZINGDEVICE_0,"[@]In only a few seconds, this machine can fully revitalize you, just like a good night's sleep.[WAIT@]Step into the capsule?","[@]En quelques secondes, cette machine vous revitalisera comme une bonne nuit de sommeil.[WAIT@]Monter dans la machine ?","[@]In pochi secondi, questa macchina può ridarti le forze, proprio come se avessi dormito tutta la notte.[WAIT@]Vuoi entrare nella capsula?\n",[@（これは　しゅんかんにして　いっぱく　しゅくはくしたくらいの　エナジーを　かいふくできる　マシーンである）[WAIT@]マシンに　はいりますか？,[@]이 기계에 들어가면 단 몇 초 사이에 푹 자고 일어난 것처럼 완전히 기운을 회복할 수 있다.[WAIT@]캡슐 안으로 들어갈까?,"[@]En tan solo unos segundos, esta máquina te revitaliza por completo, igual que una buena noche de sueño.\n[WAIT@]¿Quieres entrar en la cápsula?","[@]En solo unos segundos, esta máquina te revitaliza por completo, como una buena noche de sueño.\n[WAIT@]¿Quieres entrar en la cápsula?","[@]Em poucos segundos, esta máquina te revitaliza como uma boa noite de sono.[WAIT@]Entrar na cápsula?","[@]W zaledwie kilka sekund, ta maszyna może cię kompletnie ożywić, zupełnie jak dobry sen.[WAIT@]Wejść do kapsuły?",[@]Dieses wundersame Gerät ist eine Sofortrevitalisierungsmaschine.[WAIT@]In nur wenigen Sekunden revitalisiert sie dich wie ein schön langer Schlaf.[WAIT@]In die Kapsel eintreten?,"[@]Этот аппарат всего за несколько секунд[BR]восстановит твои силы, подобно крепкому[BR]ночному сну.[WAIT@]Войти в капсулу?","[@]Лише за кілька секунд цей апарат повністю відновить ваші сили, нічим не гірше міцного сна.\n[WAIT@]Зайти в капсулу?",[@]只需几秒钟，[BR]这台机器就能让你精神焕发，并且完全恢复活力！[BR]效果堪比睡了一晚好觉。[WAIT@]要进入密封舱吗？
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_INSTANTREVITALIZINGDEVICE_1,[@]You feel like a brand new baby!,[@]Vous vous sentez comme un bébé qui vient de naître !,[@]Ti senti una persona nuova!,[@]すっかり　げんきに　なった。,[@]방금 태어난 아기처럼 개운해졌다!,[@]¡Te sientes como si hubieses vuelto a nacer!,[@]¡Te sientes como si hubieses vuelto a nacer!,[@]Você se sente novinho em folha!,[@]Czujesz się jak nowo narodzony!,[@]Du fühlst dich wie ein neugeborenes Baby!,[@]Ты словно заново родился!,[@]Ти ніби заново народився!,[@]你感觉就像只刚刚破壳而出的小鸡！[BR]活力满满且充满希望！
DIALOGUE_MERRYSVILLE_DESCRIPTIONS_INSTANTREVITALIZINGDEVICE_SPEAKER,Instant Revitalizing Device,Machine de revitalisation instantanée,Dispositivo Revitalizzante Istantaneo,[@]インスタント　エナジーマシン,즉각적 활력 회복 장치,Dispositivo de revitalización,Dispositivo de revitalización,Máquina Revitalizadora Instantânea,Maszyna Natychmiastowego Ożywienia,Sofortrevitalisierungsmaschine,Аппарат мгновенного восстановления,Пристрій миттєвого відновлення,神奇焕发舱
