key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN
DIALOGUE_SNOWMAN_BARTENDER_0,[@]Welcome to the Snowman Inn.[WAIT@]We offer some food or a stay for $150.[WAIT@]What do you want?,[@]Bienvenue à l'auberge de Snowman.[WAIT@]Nous pouvons te proposer à manger ou une chambre pour 150 $.[WAIT@]Qu'est-ce que tu veux ?,,,[@]스노우맨 여관에 오신 걸 환영합니다.[WAIT@]저희 여관은 단돈 150달러에 음식과 숙박을 제공하고 있습니다.[WAIT@]원하시는 것이 있나요?,[@]Bienvenido a la posada de Snowman.[WAIT@]Ofrecemos comida o una estancia por $150.[WAIT@]¿Qué quieres?,[@]Bienvenido a la posada de Snowman.[WAIT@]Ofrecemos comida o una estancia por 150$.[WAIT@]¿Qué quieres?,,"[@]Witamy w gospodzie Snowman.[WAIT@]Możemy zaoferować strawę, jak i nocleg za 150 $.[WAIT@]Czego potrzeba?",[@]Willkommen in der Herberge von Snowman.[WAIT@]Für 150 $ bieten wir Essen oder eine Übernachtung an.[WAIT@]Was [if party:plural]möchtet ihr[else]möchtest du[/if]?,[@]Добро пожаловать в гостиницу Сноумена.[WAIT@]Мы можем предложить вам еду или номер за 150 $.[WAIT@]Что вам нужно?,,
DIALOGUE_SNOWMAN_BARTENDER_2-OPT_0,A stay,Une chambre,,,숙박,Una estancia,Una estancia,,Noclegu,Übernachten,Переночевать,,
DIALOGUE_SNOWMAN_BARTENDER_2-OPT_1,Food,À manger,,,음식,Comida,Comida,,Jedzenia,Etwas Essen,Подкрепиться,,
DIALOGUE_SNOWMAN_BARTENDER_4,[@]Why are you talking to me then? You're gonna start a line!,[@]Alors pourquoi être venu[LeadArt6] de parler ?,,,[@],[@]¿Por qué me hablas entonces? ¡Vas a montar un numerito!,[@]¿Por qué me hablas entonces? ¡Vas a montar un numerito!,,[@]To czemu mnie zagadujesz? Zaraz się zrobi kolejka!,[@]Warum [if party:plural]sprecht ihr[else]sprichst du[/if] mich dann überhaupt an? Es bildet sich noch eine Schlange hinter [if party:plural]euch[else]dir[/if]!,[@]Тогда зачем вы разговариваете со мной? Вы создаёте очередь!,,
DIALOGUE_SNOWMAN_BARTENDER_5,[@]Have a nice stay.,[@]Passe un agréable séjour.,,,[@]좋은 밤 보내세요~,[@]Que tengas una buena estancia.,[@]Que tengas una buena estancia.,,[@]Miłego pobytu.,[@]Hab[if party:plural]t[/if] einen angenehmen Aufenthalt.,[@]Приятного отдыха.,[@]Бажаємо приємно провести час.,
DIALOGUE_SNOWMAN_BARTENDER_6,"[@]We don't actually have food yet, ask benichi to code it in :trollface:","[@]En fait, nous n'avons rien à manger pour l'instant, demande à benichi de programmer ça :trollface:",,,[@]아직 음식이 준비되지 않았습니다. benichi 씨한테 코드 좀 짜달라고 해주세요. :trollface:,"[@]En verdad todavía no tenemos comida, dile a Benichi que la programe jujasjujus :trollface:","[@]En verdad todavía no tenemos comida, dile a Benichi que la programe jujasjujus :trollface:",,"[@]Jedzenia tu tak naprawdę jeszcze nie mamy. Możesz spytać benichiego, żeby jakieś zakodował :trollface:","[@]Wir haben noch nichts zu Essen; frag[if party:plural]t[/if] Benichi danach, es einzuprogrammieren :trollface:","[@]На самом деле у нас еды ещё нет, попроси Беничи закодить её :trollface:","[@]Взагалі, у нас тут і досі немає їжі, попроси Бенічі, щоб той її запрограмував.",
DIALOGUE_SNOWMAN_BARTENDER_SPEAKER_Jack,Jack,Jack,,,잭,Jack,Jack,,,Jack,Джек,Джек,
DIALOGUE_SNOWMAN_BETTY_0,"[@]If you have money lying around, make sure to get a good rest at the inn.[WAIT@]You can't live life to it's fullest without taking a rest sometimes.","[@]Si tu as de l'argent en réserve, n'oublie pas de t'arrêter à l'auberge pour bien te reposer.[WAIT@]Tu ne peux pas vivre pleinement ta vie sans prendre un peu de repos de temps en temps.",,,"[@]주머니 사정만 괜찮다면, 여관에서 자주 쉬어줘.[WAIT@]쉬지 않고 목표만을 향해 나아가는 것만큼 무모한 짓은 없으니까.","[@]Si vas bien de dinero, asegúrate de pasar una buena estancia en la posada.[WAIT@]No puedes vivir la vida al máximo si no te tomas un descanso de vez en cuando.","[@]Si vas bien de dinero, asegúrate de pasar una buena estancia en la posada.[WAIT@]No puedes vivir la vida al máximo si no te tomas un descanso de vez en cuando.",,"[@]Jeżeli masz jakieś pieniądze na zbyciu, upewnij się że przenocujesz w tutejszej gospodzie.[WAIT@]Nie możesz żyć pełnią życia. jeżeli sobie czasem nie odpoczniesz.","[@]Falls [if party:plural]ihr[else]du[/if] Geld rumliegen ha[if party:plural]bt[else]st[/if], sollte[if party:plural]t ihr euch[else]st du dich[/if] wirklich in der Herberge erholen.[WAIT@]Ohne richtige Auszeit kann man das Leben nicht richtig genießen.","[@]Если у вас завалялись лишние деньги, то как следует отдохните в гостинице.[WAIT@]Без отдыха вы не сможете жить полной жизнью.",,
DIALOGUE_SNOWMAN_BETTY_SPEAKER_Betty,Betty,Betty,,,베티,Betty,Betty,,Betty,Betty,Бетти,Бетті,
DIALOGUE_SNOWMAN_HENRY_0,"[@]Here, the coldest part of the country is where I met my wife, the warmest human being to ever bless this planet...[WAIT@]My favorite youtuber is Rich from reviewtechusa. skipimbaimdada!","[@]C'est dans la partie la plus froide du pays que j'ai rencontré ma femme, l'être humain le plus chaleureux qui ait jamais honoré la planète de sa présence...[WAIT@]Mon youtubeur préféré, c'est Léo de la chaîne TechMaker. N'arrêtez jamais d'apprendre !",,,"[@]세상에서 가장 냉혹하고도 시린 이 스노우딘은,\n역설적이게도 가장 따스하고 온화한 내 아내를 만난\n곳이야.[WAIT@]TMI지만, 침착맨이라는 유튜버 덕에 아내와 이어질 수 있었지. 침하하!","[@]Aquí, en la parte más fría del país fue donde conocí a mi esposa, el ser humano más cálido que jamás haya bendecido el planeta con su presencia.[WAIT@]Este dialogo no estará traducido hasta proximo aviso :thumbsup:","[@]Aquí, en la parte más fría del país fue donde conocí a mi mujer, el ser humano más cálido que jamás haya bendecido el planeta con su presencia.[WAIT@]Supongo que este diálogo no va a estar en el juego final y por eso no lo voy a traducir jjssjsjj.",,"[@]Właśnie tu, w najzimniejszej części kraju, spotkałem moją żonę, osobę, która robi mi najcieplej w moim sercu...[WAIT@]Trochę chujowo to przetłumaczyłem, ale kto tłumaczy dobrze?\n","[@]Hier, im kältesten Teil des Landes, habe ich meine Frau kennengelernt - der wärmste Mensch, den diese Welt jemals gesegnet bekommen hat ...[WAIT@]Mein Lieblings-Youtuber ist VIK; angefangen hat er mit Mother 3.","[@]Здесь, в самой холодной части страны, я встретил свою жену — самого тёплого человека, благословляющего планету своим присутствием...[WAIT@]Надеюсь, это не графомания, если я это перевожу?","[@]Тут, у найхолоднішій частині країни, місце, де я зустрів свою дружину, найтеплішу особу на цій планеті...[@]Йшла друга година ночі, чим я замаймаюся?",
