key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN
DIALOGUE_MAGICANT_DESCRIPTIONS_MID_MAGICANT_0,[@]Welcome to Magicant. A place where everyone loves you.[WAIT@]All the shops and services are located north of town.[WAIT@]The neighborhood is located south of town.,[@]Bienvenue à Magicant. Un endroit où tout le monde vous aime.[WAIT@]Les commerces sont situés au nord de la ville.[WAIT@]La zone résidentielle est au sud de la ville.,[@]Benvenuto a Magicant. Un luogo dove tutti ti vogliono bene.[WAIT@]Tutti i negozi e i servizi sono a nord della città.[WAIT@]Il quartiere residenziale è a sud della città.,[@]ここは　マジカント[BR]みんな　あなたを　すきなばしょ[WAIT@]おみせや　びょういんは　まちの　きたに[WAIT@]じゅうたくがいは　みなみに　いちしております,[@]모두가 사랑하는 매지컨트에 오신 것을 환영합니다.[WAIT@]모든 상점과 서비스는 매지컨트 북쪽에 위치해\n있습니다.[WAIT@]이 마을은 매지컨트 남쪽에 위치해 있습니다.,[@]Bienvenido a Magicant. Un lugar donde todos te aman.[WAIT@]Todas las tiendas y los servicios se encuentran al norte del pueblo.[WAIT@]El vecindario está situado al sur.,[@]Bienvenido a Magicant. Un lugar donde todos[BR]te queremos.\n[WAIT@]Todas las tiendas y los servicios están al norte[BR]del pueblo.\n[WAIT@]El vecindario está situado al sur.,"[@]Bem-vindo a Magicant. Aqui, todos te amam.[WAIT@]Todas as lojas e serviços ficam ao norte da cidade.[WAIT@]A vizinhança está localizada ao sul.","[@]Witaj w Magicancie. Krainie, w której każdy cię kocha.[WAIT@]Wszystkie sklepy i usługi są usytuowane na północy miasta.[WAIT@]Osiedle znajduje się na południu miasta.","[@]Willkommen in Magicant. Ein Ort, wo jeder geliebt wird.[WAIT@]Geschäfte und Dienstleistungen befinden sich nördlich.[WAIT@]Das Wohngebiet befindet sich südlich.","[@]Добро пожаловать в Грезию! Здесь все тебя любят.[WAIT@]Все магазины, а также больница и отель находятся в северной части города.[WAIT@]В южной части располагается жилой район.","[@]Ласкаво просимо до Магіянту — місця, де тебе всі люблять.[WAIT@]Магазини, лікарня та готель знаходяться у північній частині міста.[WAIT@]У південній частині знаходиться житловий квартал.",[@]欢迎来到魔法之地，一个所有人都爱着你的地方。[WAIT@]所有的商店和设施都位于北方。[WAIT@]居民区位于南方。
DIALOGUE_MAGICANT_DESCRIPTIONS_SIGNPOST_NORTH_0,[@]Head west to visit Queen Mary's fountain.[WAIT@]Go north to visit Her Majesty the Queen.[WAIT@]The East has the mysterious wells. Proceed with caution.,[@]Ouest : Fontaine de la Reine-Mary.[WAIT@]Nord : Château de Sa Majesté la reine.[WAIT@]Est : Île aux Puits. Soyez prudent.,[@]Dirigiti a ovest per vedere la fontana della Regina Mary.[WAIT@]A nord puoi fare visita a Sua Maestà la Regina.[WAIT@]A est si trovano pozzi misteriosi. Fai attenzione.,[@]クイーンマリーの　いずみは　にしに[WAIT@]クイーンに　えっけんするならば　きたへ[WAIT@]ひがしの　いどには　まものがうろついています[BR]きをつけて　おすすみください,"[@]서쪽에 위치해 있는 메리 여왕의 분수대에 방문해\n보세요.[WAIT@]여왕님을 알현하고 싶으시다면, 북쪽에 위치한 성을\n방문해 주세요.[WAIT@]동쪽에는 신비한 우물이 있습니다. 조심하세요.",[@]Dirígete hacia el oeste para visitar la fuente de la reina Mary.[WAIT@]Ve al norte para visitar a su majestad la reina.[WAIT@]Hacia el este se encuentran los misteriosos pozos. Ve con cuidado. ,"[@]Dirígete al oeste para visitar la fuente de la reina Mary.\n[WAIT@]Ve al norte para visitar a Su Majestad, la Reina de Magicant.\n[WAIT@]Los pozos misteriosos están hacia el este. Ten mucho cuidado.","[@]Vá para oeste para visitar a fonte da Rainha Mary.[WAIT@]Ao norte, encontrará Sua Majestade, a Rainha.[WAIT@]A leste estão os poços misteriosos. Prossiga com cuidado.","[@]Idź na zachód, jeśli chcesz odwiedzić fontannę Królowej Mary.[WAIT@]Idź na północ, aby odwiedzić naszą wysokość, Królową.[WAIT@]Na wschodzie zaś znajdziesz tajemnicze studnie. Bądź ostrożny.","[@]Haltet Euch westlich für den Königsbrunnen.[WAIT@]Geht nördlich für Eure Majestät, die Königin.[WAIT@]Östlich sind die geheimnisvollen Brunnen. Seid achtsam.",[@]На западе отсюда стоит фонтан королевы Мэри.[WAIT@]На севере расположен замок Её Величества.[WAIT@]На востоке — загадочные колодцы;[BR]соблюдайте осторожность.,"[@]Щоб дістатися фонтану королеви Мері, йди на захід.[WAIT@]Щоб відвідати Її Величність королеву, йди на північ.[WAIT@]На сході багато загадкових колодязів. Будь обережним.",[@]向西去参观玛丽女王喷泉。[WAIT@]向北去拜访女王陛下。[WAIT@]东方则是神秘之井，请谨慎前往。
DIALOGUE_MAGICANT_DESCRIPTIONS_FLYING_MAN_STONE_1,"[@][Ninten]'s faithful and loyal servant.[WAIT@]Here rests the brave soldier, Flying Man.","[@]Ici repose Garuda, guerrier courageux et serviteur éternel d[elision][Ninten].","[@]Il fedele servitore di [Ninten].[WAIT@]Qui riposa il soldato coraggioso, Flying Man.",[@][Ninten]の　えいえんの　しもべ。[WAIT@]ゆうかんなる　フライングマンせんし[BR]ここにねむる。,"[@][Ninten]의 충실하고 충성스러운 심복이자\n용맹한 전사, 플라잉 맨.[WAIT@]여기에 잠들다.","[@]El fiel y leal sirviente de [Ninten].[WAIT@]Aquí descansa en paz el valiente soldado, Flying Man.","[@]Fiel y leal sirviente de [Ninten],\n[WAITBR]aquí yace el valiente guerrero, Hombre Volador.\n",[@]O fiel e leal servo de [Ninten].[WAIT@]Aqui jaz o bravo soldado Homem Voador.,"[@]Wierny i lojalny sługa [decline:Ninten:M:1].[WAIT@]Spoczywa tu dzielny żołnierz, Latający Pan.\n","[@]In Frieden ruht hier der Fliegende Mann,[WAITBR]ein mutiger Krieger und [genitive:Ninten] treuer Diener.",[@]Здесь покоится отважный воин Полётчик.[WAIT@]Верный и преданный слуга [decline:Ninten:M:1].,"[@]Вірний і відданий слуга [decline:Ninten:M:1].[WAIT@]Тут спочиває хоробрий боєць, Льотчик.",[@][Ninten]忠贞不二的仆人。[WAIT@]勇敢的战士“飞人”安息于此。
DIALOGUE_MAGICANT_DESCRIPTIONS_FLYING_MAN_STONE_2,"[@][Ninten]'s strong and powerful ally.[WAIT@]Here rests the brave soldier, Flying Man.","[@]Ici repose Garuda, guerrier courageux et force intérieure d[elision][Ninten].","[@]Il poderoso alleato di [Ninten].[WAIT@]Qui riposa il soldato coraggioso, Flying Man.",[@][Ninten]の　うちなる　ちから。[WAIT@]ゆうかんなる　フライングマンせんし[BR]ここにねむる。,"[@][Ninten]의 강력하고 용맹한 심복이자 전장을\n휘어잡은 전사, 플라잉 맨.[WAIT@]여기에 잠들다.","[@]El fuerte y poderoso aliado de [Ninten].[WAIT@]Aquí descansa en paz el valiente soldado, Flying Man.","[@]Fuerte y poderoso sirviente de [Ninten],[WAITBR]aquí yace el valiente guerrero, Hombre Volador.\n",[@]O forte e poderoso aliado de [Ninten].[WAIT@]Aqui jaz o bravo soldado Homem Voador.,"[@]Silny i potężny sojusznik [decline:Ninten:M:1].[WAIT@]Spoczywa tu dzielny żołnierz, Latający Pan.","[@]In Frieden ruht hier der Fliegende Mann,[WAITBR]ein mutiger Krieger und [genitive:Ninten] innere Stärke.",[@]Здесь покоится отважный воин Полётчик.[WAIT@]Сильный и могучий союзник [decline:Ninten:M:1].,"[@]Сильний і могутній союзник [decline:Ninten:M:1].[WAIT@]Тут спочиває хоробрий боєць, Льотчик.",[@][Ninten]强大有力的盟友。[WAIT@]勇敢的战士“飞人”安息于此。
DIALOGUE_MAGICANT_DESCRIPTIONS_FLYING_MAN_STONE_3,"[@][Ninten]'s benevolent buddy,[WAIT@]Here rests the brave soldier, Flying Man.","[@]Ici repose Garuda, guerrier courageux et cœur vertueux d[elision][Ninten].","[@]L'amico benevolo di [Ninten].[WAIT@]Qui riposa il soldato coraggioso, Flying Man.",[@][Ninten]の　ぜんなる　こころ。[WAIT@]ゆうかんなる　フライングマンせんし[BR]ここにねむる。,"[@][Ninten]의 덕망스러운 친구이자 용맹한 전사,\n플라잉 맨.[WAIT@]여기에 잠들다.","[@]El bondadoso amigo de [Ninten].[WAIT@]Aquí descansa en paz el valiente soldado, Flying Man.\n","[@]Bondadoso colega de [Ninten],[WAITBR]aquí yace el valiente guerrero, Hombre Volador.\n",[@]O bem-aventurado amigo de [Ninten].[WAIT@]Aqui jaz o bravo soldado Homem Voador.,"[@]Dobrotliwy kumpel [decline:Ninten:M:1].[WAIT@]Spoczywa tu dzielny żołnierz, Latający Pan.","[@]In Frieden ruht hier der Fliegende Mann,[WAITBR]ein mutiger Krieger und [genitive:Ninten] gütiges Herz.",[@]Здесь покоится отважный воин Полётчик.[WAIT@]Добросердечный напарник [decline:Ninten:M:1].,"[@]Зичливий приятель [decline:Ninten:M:1].[WAIT@]Тут спочиваю хоробрий боєць, Льотчик.",[@][Ninten]仁慈友善的伙伴，[WAIT@]勇敢的战士“飞人”安息于此。
DIALOGUE_MAGICANT_DESCRIPTIONS_FLYING_MAN_STONE_4,"[@]To [Ninten]'s great sorrow,[WAITBR]here rests the brave soldier, Flying Man.","[@]Ici repose Garuda, guerrier courageux et grand chagrin d[elision][Ninten].","[@]Con sommo dispiacere di [Ninten],[WAITBR]qui riposa il soldato coraggioso, Flying Man.",[@][Ninten]の　おおいなる　かなしみ。[WAIT@]ゆうかんなる　フライングマンせんし[BR]ここにねむる。,"[@]전장에서 누구보다 용맹했던 전사, 플라잉 맨.[WAIT@][Ninten]의 비애 속에서 편히 잠들길...","[@]Para el gran pesar de [Ninten],[WAITBR]aquí descansa en paz el valiente soldado, Flying Man.\n","[@]Con gran pesar para [Ninten],\n[WAITBR]aquí yace el valiente guerrero, Hombre Volador.\n","[@]Para a grande tristeza de [Ninten],[WAITBR]aqui jaz o bravo soldado Homem Voador.","[@]Czyniąc [decline:Ninten:M:2] wielki smutek,[WAITBR]spoczywa tu dzielny żołnierz, Latający Pan.","[@]In Frieden ruht hier der Fliegende Mann,[WAITBR]ein mutiger Krieger und [genitive:Ninten] große Trauer.",[@]Здесь покоится отважный воин Полётчик.[WAIT@]«Да простит меня [Ninten]».,"[@]До великого горя [decline:Ninten:M:1],[WAITBR]тут спочиває хоробрий боєць, Льотчик.",[@]令[Ninten]深感悲痛的是，[WAITBR]勇敢的战士“飞人”安息于此。
DIALOGUE_MAGICANT_DESCRIPTIONS_FLYING_MAN_STONE_5,"[@]To [Ninten]'s horror and dismay,[WAITBR]here rests the brave soldier, Flying Man.","[@]Ici repose Garuda, guerrier courageux et chair et sang d[elision][Ninten].","[@]Con forte rammarico di [Ninten],[WAITBR]qui riposa il soldato coraggioso, Flying Man.",[@][Ninten]の　ちとにく。[WAIT@]ゆうかんなる　フライングマンせんし[BR]ここにねむる。,"[@]전장에서 누구보다 용맹했던 전사, 플라잉 맨.[WAIT@][Ninten]의 공포와 실망 속에서 잠들다.","[@]Para el horror y consternación de [Ninten],[WAITBR]aquí descansa en paz el valiente soldado, Flying Man.","[@]Para horror y consternación de [Ninten],[WAITBR]aquí yace el valiente guerrero, Hombre Volador.","[@]Para o horror e desespero de [Ninten],[WAITBR]aqui jaz o bravo soldado Homem Voador.","[@]Ku zgrozie i trwodze [decline:Ninten:M:1],[WAITBR]spoczywa tu dzielny żołnierz, Latający Pan.","[@]Bestürzend ruht hier der Fliegende Mann,[WAITBR]ein mutiger Krieger und [genitive:Ninten] Fleisch und Blut.","[@]Здесь покоится отважный воин Полётчик,[WAITBR]защищавший [decline:Ninten:M:1] до последней капли крови.","[@]До жахіття і розпачу [decline:Ninten:M:1],[WAITBR]тут спочиває хоробрий боєць, Льотчик.",[@]令[Ninten]惊骇而沮丧的是，[WAITBR]勇敢的战士“飞人”安息于此。
DIALOGUE_MAGICANT_DESCRIPTIONS_FOUNTAIN_0,[@]Clear water is pouring out of the fountain.,[@]Une eau claire s'écoule de la fontaine.,[@]Dalla fontana sgorga acqua pulita.,[@]すきとおった　みずが　わきでている。,[@]분수에서 맑은 물이 쏟아져 나오고 있다.,[@]De la fuente mana agua cristalina.,[@]De la fuente mana agua cristalina.,[@]Água cristalina flui pela fonte.,[@]Przejrzysta woda wypływa z fontanny.\n,[@]Klares Wasser plätschert aus dem Brunnen.,[@]Из фонтана льётся кристально-чистая вода.,[@]З фонтану ллється кришталево-прозора вода.,[@]清澈的泉水正从喷泉中涌出。
DIALOGUE_MAGICANT_DESCRIPTIONS_FOUNTAIN_1,[@]Touch the water?,[@]Voulez-vous toucher l'eau ?,[@]Vuoi toccare l'acqua?,[@]みずに　ふれてみますか？,[@]물에 손을 넣어볼까?,[@]¿Tocar el agua?,[@]¿Quieres tocar el agua?,[@]Tocar a água?,[@]Dotknąć wody?,[@]Das Wasser berühren?,[@]Потрогать воду?,[@]Доторкнутися води?,[@]要触碰泉水吗？
DIALOGUE_MAGICANT_DESCRIPTIONS_FOUNTAIN_1-OPT_0,Yes,Oui,Sì,はい,네,Sí,Sí,Sim,Tak,Ja,Да,Так,是
