key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN,pr
DIALOGUE_PODUNK_CUTSCENES_CANARY_REUNITE_1,[@]This canary seems sad.,[@]Ce canari a l'air triste.,[@]Questo canarino sembra triste.,[@]カナリアは　かなしそうだ・・・。,[@]카나리아가 슬픈 눈으로 나지막하게 울고 있다.,[@]Este canario parece triste.,[@]Este canario parece triste.,[@]Este canário parece estar bem triste.,[@]Ten kanarek wygląda na smutnego.,[@]Der Kanarienvogel scheint traurig zu sein.,[@]Эта канарейка выглядит очень грустной.,"[@]Здається, ця канарка сумує.",[@]这只金丝雀看上去很伤心。,
DIALOGUE_PODUNK_CUTSCENES_CANARY_REUNITE_2,[@]Show her the Canary chick?,[@]Lui montrer le bébé canari ?,[@]Le mostri il Pulcino di canarino?,[@]カナリアのヒナを　みせる？,[@]아기 카나리아를 보여줄까?,[@]¿Mostrarle el Canario bebé?,[@]¿Quieres mostrarle la Cría de canario?,[@]Mostrar a ela o Canarinho Bebê?,[@]Pokazać jej małego Kanarka?,[@]Zeigst du ihm das Kanarienküken?,[@]Показать ей птенца?,[@]Показати їй пташеня?,[@]要给她看金丝雀雏鸟吗？,
DIALOGUE_PODUNK_CUTSCENES_CANARY_REUNITE_2-OPT_0,Yes,Oui,Sì,はい,네,Sí,Sí,Sim,Tak,Ja,Да,Так,是,
DIALOGUE_PODUNK_CUTSCENES_CANARY_REUNITE_2-OPT_1,No,Non,,いいえ,아니오,,,Não,Nie,Nein,Нет,Ні,否,
DIALOGUE_PODUNK_CUTSCENES_CANARY_REUNITE_10,"[@]Overjoyed with her reunion, Laura started to sing.","[@]Folle de joie d'avoir retrouvé son petit, Laura commence à chanter.","[@]Laura, felicissima per aver ritrovato il suo piccolo, inizia a cantare.",[@]うたひめローラは　わがことの　さいかいで\nおおよろこびで　うたを　うたいはじめた。,[@]로라는 아기와의 재회에 흥을 주체하지 못하고\n노래를 부르기 시작했다.,"[@]Encantada con su reencuentro, Laura se puso a cantar.","[@]Laura, llena de alegría por haber encontrado a su pequeño, ha comenzado a cantar.","[@]Cheia de alegria ao ver o seu filho, Laura começou a cantar.",[@]Uradowana zjednoczeniem Laura zaczęła śpiewać.,"[@]Überglücklich über ihre Wiedervereinigung, begann Laura wieder zu singen.","[@]Обрадовавшись воссоединению, Лора запела.","[@]Зрадівши возз'єднанню, Лора заспівала.",[@]劳拉因重逢感到欣喜万分，她开始高兴的放声歌唱。,
DIALOGUE_PODUNK_CUTSCENES_CANARY_REUNITE_12,[@][PartyLead] remembered the tune.,[@][PartyLead] apprend la mélodie.,[@][PartyLead] impara la melodia.,[@][PartyLead]は　メロディーを　おぼえた。,[@][PartyLead][particle:PartyLead:0] 멜로디를 기억했다.,[@][PartyLead] recordó la melodía.,[@][PartyLead] ha aprendido la melodía.,[@][PartyLead] lembrou-se da melodia.,[@][PartyLead] zapamiętał melodię.,[@][PartyLead] merkte sich das Lied.,[@][PartyLead] запомнил мелодию.,[@][PartyLead] запам'ятав мелодію.,[@][PartyLead]记住了这段旋律。,
DIALOGUE_PODUNK_CUTSCENES_CAROL_CALL_0,"[@]Are you okay, [Ninten]?",[@][Ninten] ! Est-ce que ça va ?,"[@]Stai bene, [Ninten]?",[@]まって！　[Ninten]！[WAIT@]だいじょうぶだった？,[@][Ninten]! 다친 데는 없니?,"[@]¿Estás bien, [Ninten]?","[@]¿Estás bien, [Ninten]?","[@]Você está bem, [Ninten]?","[@]Wszystko w porządku, [Ninten]?","[@]Geht es dir gut, [Ninten]?","[@][Ninten], ты как?","[@][Ninten], ти в порядку?",[@]你还好吗，[Ninten]？,
DIALOGUE_PODUNK_CUTSCENES_CAROL_CALL_1,[@]What on earth is happening to our home?[WAIT@]I'm so scared...,[@]Qu'est-ce qui a bien pu arriver à notre maison ?[WAIT@]J'ai tellement peur...,[@]Che caspita sta succedendo alla nostra casa?[WAIT@]Ho paura...,[@]このいえは　いったい　どうなっているのかしら。[WAIT@]オロオロ・・・。,[@]이게 대체 무슨 일인지...[WAIT@]무서워라...,[@]¿Qué rayos le está pasando a nuestra casa?[WAIT@]Tengo mucho miedo...,[@]¿Qué narices le pasa a nuestra casa?[WAIT@]Tengo muchísimo miedo...,[@]Mas o que é que está acontecendo com a nossa casa?![WAIT@]Estou apavorada...,[@]Co się dzieje z naszym domem?[WAIT@]Tak bardzo się boję...,[@]Was um alles in der Welt passiert mit unserem Haus?[WAIT@]Ich habe solche Angst ...,[@]Что ж такое с нашим домом![WAIT@]Я так перепугалась...,[@]Що відбувається з нашим домом?[WAIT@]Я так перелякалась...,[@]我们家到底发生了什么事了？[WAIT@]我好害怕…,
DIALOGUE_PODUNK_CUTSCENES_CAROL_CALL_3,[@]If only your father were here now...,[@]Si seulement ton père était là avec nous...,[@]Se solo tuo padre fosse qui...,[@]こんなときに　パパがいてくれたら\nいいのかもしれないけど・・・。,[@]이럴 때 네 아빠라도 있었으면...,[@]Si tan solo tu padre estuviese aquí...,[@]Si tan solo tu padre estuviese aquí...,[@]Se o seu pai estivesse aqui...,[@]Gdyby tylko twój ojciec tu teraz był...,[@]Wenn dein Vater jetzt nur hier wäre ...,"[@]Жаль, папа сейчас не здесь...","[@]Шкода, твій тато зараз не тут...",[@]要是你爸爸在这的话就好了…,
DIALOGUE_PODUNK_CUTSCENES_CAROL_CALL_6,[@]Oh! That must be him.,[@]Oh ! Ça doit être lui.,[@]Oh! Deve essere lui.,[@]あ　でんわ！　きっとパパよ！,[@]앗! 네 아빠인 거 같은데.,[@]¡Oh! Debe de ser él.,[@]¡Oh! Ese debe de ser él.,[@]Ah! Deve ser ele.,[@]Och! To pewnie on.,[@]Oh! Das muss er sein.,"[@]А! Видимо, это он.","[@]О! Здається, це він.",[@]啊，电话！[WAIT]一定是你爸爸打来的！,
