key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN
DIALOGUE_PODUNK_NON-PERSON_TEXT_NINTEN_S_HOUSE_BASEBALL_0,[@]A really cool baseball bat.[WAIT@]It's even signed by the one and only Will Clark![WAIT@]You know it's too valuable to swing around yourself.,[@]Une très chouette batte de baseball.[WAIT@]Elle est même dédicacée par le célèbre Will Clark ![WAIT@]Vous savez qu'elle a beaucoup trop de valeur pour vous risquer à la manipuler.,[@]Una mazza da baseball fighissima.[WAIT@]C'è perfino l'autografo del grande Will Clark![WAIT@]Sai benissimo che è troppo preziosa per usarla.,[@]カッコいい　やきゅうバット。[WAIT@]しかもウィル・クラークのサインいりだ！[WAIT@]ふりまわすなんて　とんでもない。,"[@]정말 쩔어주는 야구방망이다.[WAIT@]심지어, 세상에 단 하나뿐인 윌 클라크의 사인까지\n있다![WAIT@]당신도 알다시피, 이건 너무나도 소중해서 함부로\n휘두를 수 없다.",[@]Un bate de béisbol bastante genial.[WAIT@]¡Incluso está firmado por el único e inegualable Will Clark![WAIT@]Sabes que es demasiado valioso como para usarlo.,[@]Un bate de béisbol muy chulo.[WAIT@]¡Incluso está firmado por el mismísimo Will Clark![WAIT@]Sabes bien que es demasiado valioso como para llevártelo afuera.,[@]Um taco de beisebol bem da hora.[WAIT@]Foi até assinado pelo próprio Will Clark![WAIT@]É valioso demais para ficar rebatendo por aí.,"[@]Naprawdę fajny kij baseballowy.[WAIT@]Jest nawet podpisany przez jedynego w swoim rodzaju Willa Clarka![WAIT@]Wiesz, że jest zbyt cenny, by sobie nim wymachiwać.","[@]Ein echt cooler Baseball-Schläger[WAIT@]Er ist sogar von der Legende Will Clark signiert![WAIT@]Du weißt, er ist zu wertvoll um ihn zu schwingen.","[@]Шикарная бейсбольная бита.[WAIT@]А ещё на ней красуется подпись самого Уилла Кларка![WAIT@]Такой битой, конечно, не станешь размахивать где попало.","[@]Дуже класна бейсбольна бита.[WAIT@]Навіть підписана єдиним та неповторним Віллом Кларком![WAIT@]Звісно, вона занадто цінна, щоб нею розмахувати.",[@]一支超酷的棒球球棒。[WAIT@]上面甚至有威尔·克拉克的亲笔签名！[WAIT@]你知道它太珍贵了，舍不得拿去挥棒。
DIALOGUE_PODUNK_NON-PERSON_TEXT_NINTEN_S_HOUSE_BEDSIDE_DRAWER_0,[@][PartyLead] opened the Bedside drawer.,[@][PartyLead] ouvre le tiroir de la table de nuit.,[@][PartyLead] apre il cassetto del comodino.,[@][PartyLead]は　ひきだしを　あけた。,[@][PartyLead][LeadArt0] 침대 옆에 있는 서랍을 열었다.,[@][PartyLead] abrió el cajón de la mesita de noche.,[@][PartyLead] ha abierto el cajón de la mesita de noche.,[@][PartyLead] abriu a cômoda.,[@][PartyLead] otworzył szufladę przy łóżku.,[@][PartyLead] öffnete das Bettregal.,[@][PartyLead] открыл тумбочку.,[@][PartyLead] відкрив шухляду.,[@][PartyLead]打开了床头柜的抽屉。
DIALOGUE_PODUNK_NON-PERSON_TEXT_NINTEN_S_HOUSE_BEDSIDE_DRAWER_1,"[@]Inside, there was an Asthma Spray.","[@]À l'intérieur, il y avait un Inhalateur pour l'asthme.",[@]Dentro c'era un Inalatore.,[@]ぜんそくスプレーを　みつけた！,"[@]수많은 잡동사니를 뒤적거린 결과,","[@]Dentro, había un Inhalador.","[@]Dentro, había un Inhalador.","[@]Dentro, tinha um Inalador.",[@]W środku był Inhalator.,[@]Darin war ein Asthmaspray.,[@]В ней лежит ингалятор.,[@]Всередині був інгалятор.,[@]里面放着一瓶哮喘喷雾。
DIALOGUE_PODUNK_NON-PERSON_TEXT_NINTEN_S_HOUSE_BEDSIDE_DRAWER_2,[@][ItemReceiver] got an Asthma Spray.,[@][ItemReceiver] obtient un Inhalateur.,[@][ItemReceiver] ha ottenuto un Inalatore.,[@][ItemReceiver]は　ぜんそくスプレーをてにいれた。,[@][ItemReceiver][ReceiverArt0] 천식 스프레이를 얻었다.,[@][ItemReceiver] obtuvo un Inhalador.,[@][ItemReceiver] ha conseguido un Inhalador.,[@][ItemReceiver] conseguiu um Inalador.,[@][ItemReceiver] dostał[ReceiverArt4] Inhalator.,[@][ItemReceiver] erhielt ein Asthmaspray.,[@][ItemReceiver] получил[ReceiverArt6] ингалятор.,[@][ItemReceiver] отрима[ReceiverArt6] інгалятор.,[@][ItemReceiver]获得了哮喘喷雾。
DIALOGUE_PODUNK_NON-PERSON_TEXT_NINTEN_S_HOUSE_BEDSIDE_DRAWER_3,"[@]Found an Asthma Spray, but your inventory's full...","[@]Trouvé : un Inhalateur, mais votre inventaire est plein...","[@]Hai trovato un Inalatore, ma hai l'inventario pieno...",[@]ぜんそくスプレーをみつけたが、バッグが\nいっぱいだ・・・,"[@]천식 스프레이를 얻었다, 하지만 아이템을 넣을\n공간이 부족하다.","[@]Dentro había un Inhalador, pero tu inventario está lleno...","[@]Dentro había un Inhalador, pero tu inventario está lleno...","[@]Tem um Inalador dentro, mas seu inventário está cheio...","[@]W środku był Inhalator, ale ekwipunek jest pełny...","[@]Du hast ein Asthmaspray gefunden,\ndoch dein Inventar ist voll ...","[@]В ней лежит ингалятор, но у тебя нет места...","[@]Знайшли інгалятор, але ваш інвентар повний...",[@]里面找到了一瓶哮喘喷雾，但是你拿的东西太多了…
DIALOGUE_PODUNK_NON-PERSON_TEXT_NINTEN_S_HOUSE_BEDSIDE_DRAWER_4,[@]There's nothing much to see here...,[@]Il n'y a pas grand-chose d'intéressant à l'intérieur...,[@]Non c'è nulla di interessante...,[@]とくに　なにもないようだ。,[@]이제 별로 도움 될만한 물건은 없다.,[@]No hay nada interesante...,[@]No hay nada interesante...,[@]Não tem nada de interessante...,[@]Nie widać już w niej nic ciekawego...,[@]Hier gibt's nicht viel zu sehen ...,[@]В ней ничего интересного...,[@]У ній нічого цікавого...,[@]但是里面没有什么特别的东西…
DIALOGUE_PODUNK_NON-PERSON_TEXT_NINTEN_S_HOUSE_DOWNSTAIRS_TV_0,[@]There's a man on the news being interviewed about a recent surge in paranormal activity.[WAIT@]He sure is waving his arms around a lot.,[@]Il y a un monsieur au journal télévisé qui se fait interviewer à propos d'une récente flambée des activités paranormales.[WAIT@]On peut dire qu'il agite beaucoup les bras.,[@]Stanno intervistando un uomo riguardo a un improvviso aumento di attività paranormale.[WAIT@]Si sta proprio agitando.,[@]さいきんの　ちょうじょうげんしょうについて\nおとこが　インタビューされている。[WAIT@]ひっしに　うでをふって　なにかを\nつたえようとしているみたいだ。,[@]최근 나타나는 이상 현상에 대한 남자의 인터뷰가\n뉴스로 나오고 있다.[WAIT@]확실히 그는 팔을 엄청나게 흔들고 있다.,[@]Hay un hombre en las noticias que está siendo entrevistado sobre el aumento reciente de actividad paranormal.[WAIT@]Está agitando mucho los brazos.,[@]Están entrevistando a un hombre en las noticias sobre un reciente aumento de la actividad paranormal.[WAIT@]Agita mucho los brazos.,[@]Tem um homem no jornal sendo entrevistado sobre um surto recente de atividades paranormais.[WAIT@]Ele está balançando bastante os braços.,[@]W wiadomościach jest wywiad z mężczyzną na temat niedawnego wzrostu aktywności paranormalnej.[WAIT@]Lubi wymachiwać rękami na lewo i prawo.,[@]In den Nachrichten wird ein Mann über die jüngsten Zunahmen paranormaler Aktivitäten interviewt.[WAIT@]Er fuchtelt ganz schön viel mit den Armen herum.,[@]В новостях у мужчины берут интервью по поводу недавнего всплеска паранормальной активности.[WAIT@]Он очень энергично размахивает руками.,[@]У новинах беруть інтерв'ю у чоловіка з приводу нещодавнього сплеску паранормальної активності.[WAIT@]Він дуже енергійно розмахує руками.,[@]新闻里有个男人正在接受采访，谈论最近超自然现象的激增。[WAIT@]他拼命挥舞着手臂，似乎想要传达些什么。
DIALOGUE_PODUNK_NON-PERSON_TEXT_NINTEN_S_HOUSE_ELECTRIC_GUITAR_0,[@]Your electric guitar.[WAIT@]Your old man got you this for Christmas.[WAIT@]Mick sometimes sneaks up to hear you rock out.,"[@]Votre guitare électrique.[WAIT@]C'est votre papa qui vous l'a offerte à Noël.[WAIT@]Parfois, Mick pointe le bout de son museau pour vous entendre jouer les rockstars.",[@]La tua chitarra elettrica.[WAIT@]Papà te l'ha presa per Natale.[WAIT@]A volte Mick viene a sbirciare per ascoltarti mentre suoni il rock.,[@]エレキギターだ。[WAIT@]パパからのクリスマスプレゼントだった。[WAIT@]ひいていると　ミックがこっそりと\nききにくる　こともある。,"[@]당신의 일렉 기타이다.[WAIT@]크리스마스 날, 우리 집 아저씨에게 이 기타를\n선물받았다.[WAIT@]믹은 가끔씩 당신이 이걸 가지고 열광하는 소리를\n몰래 들으러 온다.",[@]Es tu guitarra eléctrica.[WAIT@]Tu papá te la regaló por Navidad.[WAIT@]Mick a veces se acerca sigilosamente para escucharte rockear.,[@]Tu guitarra eléctrica.[WAIT@]Te la regaló tu padre por Navidad.[WAIT@]A veces Mick se acerca a tu ventana para escucharte tocar.,[@]Uma guitarra.[WAIT@]Você ganhou do seu pai no Natal.[WAIT@]Mick às vezes entra aqui de fininho para te ouvir tocar.,"[@]Twoja gitara elektryczna.[WAIT@]Twój stary kupił ci ją na Gwiazdkę.[WAIT@]Mick czasami zakrada się, by posłuchać, jak dajesz czadu.",[@]Deine E-Gitarre.[WAIT@]Dein Vater gab sie dir zu Weihnachten.[WAIT@]Mick schleicht sich manchmal herum und hört dich abrocken.,"[@]Твоя электрогитара.[WAIT@]Папа подарил её тебе на Рождество.[WAIT@]Мик иногда тихонько подслушивает, как ты на ней отжигаешь.","[@]Твоя електрогітара.[WAIT@]Тато подарував її тобі на Різдво.[WAIT@]Мік іноді підслуховує, як ти на ній запалюєш.",[@]你的电吉他。[WAIT@]这是你爸爸送给你的圣诞节礼物。[WAIT@]米克有时会偷偷跑过来听你的摇滚。
DIALOGUE_PODUNK_NON-PERSON_TEXT_NINTEN_S_HOUSE_ENTRANCE_LOCKED_0,[@]The door won't budge!,[@]La porte ne s'ouvre pas !,[@]La porta non si apre!,[@]ドアが　あかない！,[@]문이 꿈쩍도 하지 않는다!,[@]¡La puerta no se abre!,[@]¡La puerta no se abre!,[@]A porta não quer abrir!,[@]Drzwi ani drgną!,[@]Lässt sich keinen Spalt öffnen.,[@]Дверь заклинило!,[@]Двері не зрушаться з місця!,[@]门打不开！
DIALOGUE_PODUNK_NON-PERSON_TEXT_NINTEN_S_HOUSE_LAMP_0,[@]It's a perfectly ordinary lamp.,[@]Une lampe tout à fait ordinaire.,[@]Una lampada normalissima.,[@]ごくふつうの　ランプだ。,[@]완벽하게 평범한 전등이다.,[@]Una lámpara perfectamente normal.,[@]Una lámpara de lo más corriente.,[@]Um abajur perfeitamente normal.,[@]Niczym nie wyróżniająca się lampa.,[@]Es ist eine vorbildlich gewöhnliche Lampe.,[@]Обыкновенная лампа.,[@]Звичайнісінька лампа.,[@]只是一盏再普通不过的台灯。
