key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN
CREDITS_TITLE,MOTHER ENCORE STAFF CREDITS,MOTHER ENCORE,MOTHER ENCORE,,MOTHER ENCORE,MOTHER ENCORE,MOTHER ENCORE,MOTHER ENCORE,MOTHER ENCORE,MOTHER ENCORE,НАД MOTHER ENCORE РАБОТАЛИ:,НАД MOTHER ENCORE ПРАЦЮВАЛИ:,《MOTHER ENCORE》制作组名单
CREDITS_CREATOR,PROJECT CREATOR,CRÉATRICE DU PROJET,CREATRICE DEL PROGETTO,,,CREADORA DEL PROYECTO,CREADORA DEL PROYECTO,CRIADORA DO PROJETO,TWÓRCZYNI PROJEKTU,PROJEKTGRÜNDERIN,АВТОР ПРОЕКТА,АВТОР ПРОЄКТУ,项目主创
CREDITS_DIRECTOR,DIRECTOR,DIRECTEUR,DIRETTORE,,,,,DIRETOR,REŻYSER,REGISSEUR,РЕЖИССЁР,РЕЖИСЕР,总监
CREDITS_PROGRAMMERS,PROGRAMMERS,PROGRAMMEURS,PROGRAMMATORI,,,PROGRAMADORES,PROGRAMADORES,PROGRAMADORES,PROGRAMIŚCI,PROGRAMMIERER,ПРОГРАММИСТЫ,ПРОГРАМІСТИ,程序
CREDITS_ARTISTS_NPC,NPC SPRITE ARTISTS,GRAPHISMES PNJ,ARTISTI DEGLI SPRITE DEGLI NPC,,,ARTISTAS DE SPRITE NPCS,ARTISTAS DE SPRITES DE NPCS,ARTISTAS DE SPRITES DE NPCS,ARTYŚCI SPRITE'ÓW NPC,NPC SPRITES,ХУДОЖНИКИ ПО НЕИГРОВЫМ ПЕРСОНАЖАМ,ХУДОЖНИКИ СПРАЙТІВ ПЕРСОНАЖІВ,人物图像艺术绘制
CREDITS_ANIM_CHARA,CHARACTER ANIMATORS,ANIMATION DES PERSONNAGES,ANIMATORI DEI PERSONAGGI,,,ANIMADORES DE PERSONAJES,ANIMACIÓN DE PERSONAJES,ANIMADORES DE PERSONAGENS,ANIMATORZY POSTACI,CHARAKTERANIMATOREN,АНИМАТОРЫ ПЕРСОНАЖЕЙ,АНІМАТОРИ ПЕРСОНАЖІВ,角色动画
CREDITS_ANIM_OBJECT,OBJECT ANIMATORS,ANIMATION DES OBJETS,ANIMATORI DEGLI OGGETTI,,,ANIMADORES DE OBJETOS,ANIMACIÓN DE OBJETOS,ANIMADORES DE OBJETOS,ANIMATORZY OBIEKTÓW,OBJEKTANIMATOREN,АНИМАТОРЫ ОБЪЕКТОВ,АНІМАТОРИ ОБ'ЄКТІВ,实体动画
CREDITS_ANIM_EFFECTS,EFFECTS ANIMATORS,ANIMATION DES EFFETS,ANIMATORI DEGLI EFFETTI,,,ANIMADORES DE EFECTOS,ANIMACIÓN DE EFECTOS,ANIMADORES DE EFEITOS,ANIMATORZY EFEKTÓW,EFFEKTANIMATOREN,ДИЗАЙНЕРЫ ВИЗУАЛ. ЭФФЕКТОВ,АНІМАТОРИ ВІЗУАЛ. ЕФЕКТІВ,特效动画
CREDITS_ARTISTS_BATTLE_SPRITE,BATTLE SPRITE ARTISTS,GRAPHISMES SPRITES DE COMBAT,ARTISTI DEGLI SPRITE DI BATTAGLIA,,,ARTISTAS DE SPRITES DE BATLLA,ARTISTAS DE SPRITES DE BATALLA,ARTISTAS DE SPRITES DE BATALHA,ARTYŚCI OD GRAFIK BITEWNYCH,KAMPF-SPRITES,ХУДОЖНИКИ БОЕВОЙ ГРАФИКИ,ХУДОЖНИКИ СПРАЙТІВ БИТВ,战斗图像绘制
CREDITS_ARTISTS_BATTLEBG,BATTLE BACKGROUND ARTISTS,GRAPHISMES ARRIÈRE-PLANS DE COMBAT,ARTISTI DEGLI SFONDI DI BATTAGLIA,,,ARTISTAS DE FONDOS DE BATALLA,ARTISTAS DE FONDOS DE BATALLA,ARTISTAS DE FUNDO DE BATALHA,ARTYŚCI TŁA BITEWNEGO,KAMPFHINTERGRÜNDE,ДИЗАЙНЕРЫ ФОНОВ БИТВ,ДИЗАЙНЕРИ ФОНІВ БИТВ,战斗背景绘制
CREDITS_DESIGN_MAPS,MAP DESIGNERS,CONCEPTION DES TERRAINS,DESIGNER DELLA MAPPA,,,DISEÑADORES DE MAPA,DISEÑADORES DEL MAPA,DESIGNERS DE MAPA,PROJEKTANCI MAP,LEVEL-DESIGNER,ЛЕВЕЛ-ДИЗАЙНЕРЫ,ЛЕВЕЛ-ДИЗАЙНЕРИ,地图设计
CREDITS_ARTISTS_ILLUSTRATION,ILLUSTRATION ARTISTS,ILLUSTRATEURS,ILLUSTRATORI,,,ILUSTRADORES,ILUSTRADORES,ILUSTRADORES,ARTYŚCI ILUSTRACJI,ILLUSTRATIONEN,ИЛЛЮСТРАТОРЫ,ІЛЮСТРАТОРИ,插画艺术
CREDITS_ARTISTS_CONCEPT,CONCEPT ARTISTS,GRAPHISTES CONCEPTUELS,CONCEPT ARTIST,,,ARTISTAS CONCEPTUALES,ARTISTAS CONCEPTUALES,ARTISTAS CONCEITUAIS,ARTYŚCI KONCEPCYJNI,KONZEPTKÜNSTLER,КОНЦЕПТ-ХУДОЖНИКИ,КОНЦЕПТ-ХУДОЖНИКИ,概念艺术
