key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN
FIELD_ENERGYBEAM,Energy Beam,Rayon d'énergie,Onda energetica,エナジービーム,에너지 빔,Rayo de energía,Rayo de energía,Raio de Energia,Promień Energii,Energiestrahl,Энерголуч,Енерго-промінь,能量光束
FIELD_ENERGYBEAM_DESC,Press [color][ui_cancel][/color] when [Lloyd] is the leader to shoot an energy beam. Can activate mechanisms and stun enemies.,Appuyez sur [color][ui_cancel][/color] quand [Lloyd] est le chef d'équipe pour tirer un rayon d'énergie.\nPeut activer des mécanismes et étourdir les ennemis.,Premi [color][ui_accept][/color] con [Lloyd] come capogruppo per lanciare un'onda energetica.\nAttiva i congegni e stordisce i nemici.,[Lloyd]が　リーダーのとき　[color][ui_cancel][/color]で　ビームをうちだす。てきをうごけなくしたり　しかけをきどうできる。,"[Lloyd][particle:Lloyd:1] 리더일 때, [color][ui_cancel][/color]키를 눌러 빔을 쏜다.\n적을 기절시키거나, 메커니즘을 활성화할 수 있다.",Presiona [color][ui_cancel][/color] cuando [Lloyd] sea el líder para disparar un rayo. Puede activar mecanismos y paralizar enemigos.,Pulsa [color][ui_cancel][/color] cuando [Lloyd] sea el líder para disparar un rayo de energía. Puede usarse para activar mecanismos y paralizar enemigos.,Pressione [color][ui_cancel][/color] quando [Lloyd] for o líder para disparar um raio de energia. Pode ativar mecanismos e paralisar inimigos.,"Naciśnij [color][ui_cancel][/color], gdy [Lloyd] jest liderem, aby strzelić wiązką energii.\nMoże aktywować mechanizmy i ogłuszać wrogów.",Drücke [color][ui_cancel][/color] wenn [Lloyd] Anführer ist um einen Strahl zu schießen. Aktiviert Maschienen und betäubt Gegner.,"Если [Lloyd] лидер команды, нажми [color][ui_cancel][/color], чтобы выстрелить энергетическим лучом. Запускает механизмы и оглушает врагов.","Якщо лідер команди — [Lloyd], натисни [color][ui_cancel][/color], щоб вистрілити енергетичний промінь. Активує механізми та приголомшує ворогів.",当[Lloyd]成为领队时，按下[color][ui_cancel][/color]发射能量光束。可以激活机关并且眩晕敌人。
FIELD_JUMP,Jump,Saut,Salta,ジャンプ,점프,Saltar,Saltar,Pular,Skok,Springen,Прыжок,Стрибок,跳跃
FIELD_JUMP_DESC,Press [color][ui_accept][/color] near certain ledges to Jump.,Appuyez sur [color][ui_cancel][/color] à proximité de certains rebords pour sauter.,Premi [color][ui_accept][/color] vicino a certe sporgenze per Saltare.,[color][ui_accept][/color]で　いちぶの\nだんさを　ジャンプでとびこえられる。,특정 위치에서 [color][ui_accept][/color]키를 눌러 점프한다.,Presiona [color][ui_accept][/color] cerca de ciertos bordes para saltar.,Pulsa [color][ui_accept][/color] cerca de ciertas cornisas para saltar.,Pressione [color][ui_accept][/color] perto de algumas beiradas para Pular.,"Naciśnij [color][ui_accept][/color] w pobliżu pewnych krawędzi, aby skoczyć.","Drücke [color][ui_accept][/color] in der Nähe von bestimmten Absätzen, um zu springen.","Чтобы сделать прыжок, нажми [color][ui_accept][/color], стоя рядом с отмеченным выступом.","Щоб стрибнути, натисни [color][ui_accept][/color], стоячи поруч із деякими виступами.",在特定边缘按下[color][ui_accept][/color]进行跳跃。
FIELD_RELAY,Relay,Passage de relai,Dai il cambio,リーダーきりかえ,바톤 터치,Cambio,Relevo,Reorganizar,Zmiana lidera,Wechsel,Смена лидера,Зміна лідера,轮换
FIELD_RELAY_DESC,Press [color][ui_focus_prev][/color] or [color][ui_focus_next][/color] to change the party leader.,Appuyez sur [color][ui_focus_prev][/color] ou [color][ui_focus_next][/color] pour changer de chef d’équipe.,Premi [color][ui_focus_prev][/color] o [color][ui_focus_next][/color] per cambiare il capogruppo.,[color][ui_focus_prev][/color]か　[color][ui_focus_next][/color]で　パーティの　リーダーをかえる。,[color][ui_focus_prev][/color] 또는 [color][ui_focus_next][/color]키를 눌러 파티의 리더를 교체한다.,Presiona [color][ui_focus_prev][/color] o [color][ui_focus_next][/color] para cambiar al líder del equipo.,Pulsa [color][ui_focus_prev][/color] o [color][ui_focus_next][/color] para cambiar el líder del grupo.,Pressione [color][ui_focus_prev][/color] ou [color][ui_focus_next][/color] para mudar o líder da equipe.,"Naciśnij [color][ui_focus_prev][/color] lub [color][ui_focus_next][/color], aby zmienić lidera drużyny.",Drücke [color][ui_focus_prev][/color] oder [color][ui_focus_next][/color] um die Teamführung zu wechseln.,"Нажми [color][ui_focus_prev][/color] или [color][ui_focus_next][/color], чтобы сменить лидера команды.","натисни [color][ui_focus_prev][/color] або [color][ui_focus_next][/color], щоб змінити лідера команди.",按住[color][ui_focus_prev][/color]或[color][ui_focus_next][/color]来更换队伍领队。
FIELD_RUN,Run,Course,Corri,ダッシュ,달리기,Correr,Correr,Correr,Bieg,Rennen,Бег,Біг,奔跑
FIELD_RUN_DESC,"Hold [color][ui_toggle][/color] to Crouch, then release it to Run.\nOr, hold [color][ui_toggle][/color] while moving to Run.","Maintenez [color][ui_toggle][/color] enfoncé pour vous accroupir, puis relâchez-le pour courir. Ou bien, maintenez [color][ui_toggle][/color] enfoncé en vous déplaçant pour courir.","Tieni premuto [color][ui_toggle][/color] per Accovacciarti, e lascialo per Correre.\nOppure tieni premuto [color][ui_toggle][/color] mentre ti muovi.",[color][ui_toggle][/color]で　しゃがみ、はなすと　はしる。\nいどうしながら[color][ui_toggle][/color]でも　はしれる。,[color][ui_toggle][/color]키를 길게 누르고 때 달린다.\n또는 [color][ui_toggle][/color]키를 누른 채 이동하여 달릴 수도 있다.,"Mantén presionado [color][ui_toggle][/color] para agacharte, luego suéltalo para correr. O mantén presionado [color][ui_toggle][/color] mientras te mueves para correr.","Mantén pulsado [color][ui_toggle][/color] para agacharte, y después suéltalo para correr. O mantén pulsado [color][ui_toggle][/color] mientras te mueves para correr.",Segure [color][ui_toggle][/color] para Agachar e solte para Correr.\nOu segure [color][ui_toggle][/color] enquanto se move para Correr.,"Przytrzymaj [color][ui_toggle][/color], aby kucnąć, a następnie puść, żeby zacząć biec.\nMożesz też przytrzymać [color][ui_toggle][/color] podczas ruchu.","Halte [color][ui_toggle][/color] zum Hinhocken, lasse los um zu rennen.\nOder halte [color][ui_toggle][/color] während du gehst, um zu rennen.","Удерживай [color][ui_toggle][/color], чтобы присесть, а затем отпусти, чтобы побежать. Ещё ты побежишь, если начнёшь удерживать [color][ui_toggle][/color] во время ходьбы.[WAIT]","Утримуй [color][ui_toggle][/color], щоб пригнутися, а потім відпусти, щоб побігти. Ще ти можеш бігти, утримуючи [color][ui_toggle][/color], коли рухаєшся.",按住[color][ui_toggle][/color]键蹲伏，松开按键即可奔跑。[BR]或者，在移动时按住[color][ui_toggle][/color]键也可以奔跑。
FIELD_SCOPE,Scope,Scrutation,Esamina,みわたす,전망,Examinar,Explorar,Analisar,Zbadaj,Spähen,Разведка,Розвідка,眺望
FIELD_SCOPE_DESC,Hold [color][ui_scope][/color] to Scope.\nCan be used to view places you can't normally see.,Maintenez [color][ui_scope][/color] pour scruter.\nPermet d'observer des choses que l'on ne peut normalement pas voir.,Tieni premuto [color][ui_scope][/color] per Esaminare.\nUtile per vedere luoghi normalmente invisibili.,[color][ui_scope][/color]ながおしで　あたりをみわたせる。\nがめんのそとがわへ　スクロールができるぞ。,[color][ui_scope][/color]키를 눌러 전망 상태를 유지한다.\n평소에는 볼 수 없던 곳을 볼 수 있다.,Mantén presionado [color][ui_scope][/color] para examinar las zonas que normalmente no puedes ver.,Mantén pulsado [color][ui_scope][/color] para explorar zonas que normalmente no podrías ver.,Segure [color][ui_scope][/color] para Analisar.\nPode ser usado para ver lugares que você não consegue ver normalmente.,"Przytrzymaj [color][ui_scope][/color], aby zbadać teren.\nUżyteczne do oglądania miejsc, których normalnie nie widać.","Halte [color][ui_scope][/color] um durch's Feld zu spähen.\nKann benutzt werden, um Orte anzuschauen,\ndie du normalerweise nicht sehen kannst.","Чтобы разведать местность, удерживай [color][ui_scope][/color].\nПозволяет осматривать труднодоступные места.","Утримуй [color][ui_scope][/color], щоб розвідати місцевість.\nДозволяє оглянути важкодоступні місця.",按住[color][ui_scope][/color]进行眺望。[BR]可以看见一般情况下看不到的地方。
