key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN,pr
DIALOGUE_MERRYSVILLE_CUTSCENES_CAVE_0,[@]It looks dark in there...[W@]Are you sure we have to go in?,"[@]Il fait tout noir là-dedans...[W@]T'es sûr qu'on doit entrer ?",[@]Sembra buio lì dentro...[W@]Vuoi davvero entrare?,[@]あなのなかは　くらそうだな・・・[W@]ほんとうに　なかを　とおっていくのか？,[@]엄청 어두워 보이는데...[W@]정말로 들어갈 거야?,[@]Parece estar muy oscuro ahí...[@]¿Estás seguro de que debemos entrar?,[@]Ahí dentro está muy oscuro...\n[W@]¿Estás seguro de que tenemos que entrar?,[@]Está muito escuro lá dentro...[W@]Tem certeza que precisamos entrar?,[@]Ciemno tam...[W@]Na pewno musimy tam wchodzić?,"[@]Es sieht so dunkel da drin aus ...[W@]Bist du sicher, dass wir reinmüssen?","[@]Ой, как там темно...[W@]Нам обязательно туда идти?",[@]Т-там дуже темно...[W@]Нам точно варто туди йти?,[@]里面看起来好黑啊…[WAIT@]我们真的要进去吗？,
DIALOGUE_MERRYSVILLE_CUTSCENES_CAVE_1,"[@]N-no,[D:6] [F]you don't need to hold my hand-[/F][W@]It's just... [D]don't go too far from me, okay?","[@]N-non,[D:6] [F]pas besoin de me tenir la main–[/F][W@]C'est juste que... [D]ne t'éloigne pas trop, d'accord ?","[@]N-No,[D:6] [F]non devi tenermi per mano-[/F][W@]È che... [D]non ti allontanare troppo, va bene?\n",[@]い　いや[D:6]　てを　つないだり　とかは　いいけど・・・[W@]あんまり　とおくに　いかないでよ。,"[@]ㅇ-아니,[D:6] [F]손 잡을 필요는 없고-[/F][W@]그-그냥...[D] 너무 멀리 떨어지지만 말자, 알겠지?","[@]N-no,[D:6] [F]no necesito que me des la mano-[/F][W@]Solo... [D]manténte cerca, ¿sí?","[@]N-no,[D:6] [F]no es necesario que me tomes la mano-[/F]\n[W@]Es solo que... [D]no te distancies mucho de mí, ¿vale?","[@]N-não,[D:6] [F]você não precisa segurar minha mão-[/F][W@]É só... [D]não fique muito longe de mim, está bem?","[@]N-nie,[D:6] [F]nie musisz mnie trzymać za rękę-[/F][W@]Po prostu... [D]nie odchodź ode mnie zbyt daleko, dobrze?","[@]N-nein,[D:6] [F]du musst nicht meine Hand halten-[/F][W@]Es ist nur ...[D] bleib in meiner Nähe, okay?","[@]Н-нет,[D:6] [F]можно не держаться за руку!..[/F][W@]П-просто... [D]не отходи далеко, л-ладно?..","[@]Н-ні,[D:6] [F]тобі не треба тримати мене за руку...[/F][W@]Т-тільки... [D]б-будь ласка, не відходь далеко...",[@]不、不用…[DELAY:6][FASTER]你不用牵着我的手——[/FASTER][WAIT@]只是…[DELAY]别离我太远，行吗？,
DIALOGUE_MERRYSVILLE_CUTSCENES_DISTORTO_REMATCH_0,[@][DELAY:6:3]...You again?,[@][DELAY:6:3]... Encore vous ?,[@][DELAY:6:3]...Ancora voi?,[@]また[D:6]　きみかい？,[@][DELAY:6:3]...또 네놈들이냐?,[@][DELAY:6:3]...¿Ustedes de nuevo?,[@][DELAY:6:3]...¿Vosotros de nuevo?,[@][DELAY:6:3]...Vocês de novo?,[@][DELAY:6:3]...Znowu wy?,[@][DELAY:6:3]... Ihr schon wieder?,[@][DELAY:6:3]...Опять вы?,[@][DELAY:6:3]...Знову ви?,[@][DELAY:6]…又是你？,
DIALOGUE_MERRYSVILLE_CUTSCENES_DISTORTO_REMATCH_1,"[@]W-what horrible,[DELAY:3] selfish children...[WAIT@]WON'T YOU EVER LEARN?!","[@]Q-quel enfants[DELAY:3] horribles et[DELAY:3] égoïstes...[W@]VOUS N'APPRENEZ DONC JAMAIS ?!",[@]S-Siete bambini[DELAY:3] così egoisti...[WAIT@]QUANDO IMPARERETE LA LEZIONE?!\n,[@]なんて　ひどい　こどもたちだ・・・[WAIT@]わしを　おいつめようとでも　いうのか？！,"[@]ㅇ-이 못되고,[DELAY:3]이기적인 꼬마들 같으니라고...[WAIT@]도대체 언제쯤 정신 차릴 거냐?!",[@]Q-qué niños tan[DELAY:3] horribles y egoístas...[WAIT@]¡¿QUE NUNCA APRENDERÁN?!,[@]Menudos críos tan insoportables[DELAY:3] y egoístas...\n[WAIT@]¡¿ES QUE NUNCA VAIS A APRENDER?!,[@]M-mas que crianças egoístas[DELAY:3] e insuportáveis...[WAIT@]VOCÊS NÃO APRENDEM NUNCA?!,"[@]C-co za okropne,[DELAY:3] samolubne dzieci...[WAIT@]CZY NIGDY SIĘ NIE NAUCZĄ?!","[@]W-welch schrecklich,[DELAY:3] egoistische Kinder ...[WAIT@]WERDET IHE DENN NIE LERNEN?!","[@]Какие...[DELAY:3] эгоистичные дети...[WAIT@]ВЫ ЧТО, НИЧЕГО НЕ ПОНЯЛИ?!","[@]Які ж-жахливі,[DELAY:3] егоїстичні діти...[WAIT@]КОЛИ Ж ВИ ЗРОЗУМІЄТЕ?!",[@]太、太可怕了，你们这些可怕又[DELAY:3]自私自利的小鬼…[WAIT@]就不能涨点记性吗？！,
DIALOGUE_MERRYSVILLE_CUTSCENES_DISTORTO1_0,"[@]No, no, no![DELAY] Where is it?!","[@]Non, non, non ![DELAY] Où est-il ?!","[@]No, no, no![DELAY] Dov'è finita?!\n",[@]ど　[DELAY:3]ど　[DELAY:3]ど　[DELAY]どこにいった？！,"[@]아니, 아니, 아니![DELAY] 어디로 간 거지?!","[@]¡No, no, no![DELAY] ¡¿Dónde está?!","[@]¡No, no, no![DELAY] ¡¿Dónde está?!","[@]Não, não, não![DELAY] Cadê?!","[@]Nie, nie, nie![DELAY] Gdzie on jest?!","[@]Nein, nein, nein![DELAY] Wo ist er?!",[@]Нет-нет-нет![DELAY] Ну где она?!,"[@]Ні, ні, ні![DELAY] Де ж вона?!",[@]没有，没有，没有！[DELAY]到底在哪儿？！,
DIALOGUE_MERRYSVILLE_CUTSCENES_DISTORTO1_1,[@]M-my radar picked it up just a minute ago![WAIT@]How does that thing keep evading me?!,[@]M-mon radar l'a détecté il y a tout juste une minute ![W@]Comment fait-il pour toujours m'échapper ?!,[@]I-Il mio radar l'ha rilevata poco fa![WAIT@]Come diamine ha fatto a sparire così?!,[@]レーダーは　さきほどまでばしょを[BR]しめしていたというのに！[WAIT@]そらから　あんなにおおきい　ぶったいが[BR]きえるはずはない！,[@]방금까지만 해도 ㄴ-내 레이더에 잡혔는데![WAIT@]어떻게 내 추적을 따돌리는 거지?!,[@]¡M-mi radar la detectó solo hace un minuto![WAIT@]¡¿Cómo es que sigue eludiéndome?!,[@]¡P-pero si mi radar la detectó hace solo un minuto!\n[WAIT@]¡¿Cómo es que esa cosa sigue eludiéndome?!,[@]O m-meu radar acabou de captar![WAIT@]Como que aquilo fica sempre escapando de mim?!,[@]M-mój radar wykrył go dopiero minutę temu![WAIT@]W jaki sposób mnie ciągle unika?!,[@]M-mein Radar hat ihn doch vor einer Minute noch erfasst![WAIT@]Wie kann etwas einfach so verschwinden?!,[@]Ещё минуту назад мой радар её ловил![W@]К-как она постоянно уклоняется?!,[@]М-мій радар виявив її лише хвилину тому!\n[WAIT@]Як вона постійно мене уникає?!,[@]我、我的雷达一分钟前还捕捉到它了！[WAIT@]那东西怎么老是能从我眼皮底下溜走？！,
DIALOGUE_MERRYSVILLE_CUTSCENES_DISTORTO1_2,[@]It's...[DELAY] I...,[@]C'est...[DELAY] Je...,[@]Io...[DELAY] non...\n,[@]きえ・・・[D]て・・・,[@]이건...[DELAY] 아직...,[@]Es...[DELAY] Es...,[@]Esto...[DELAY] Pero...,[@]Isso...[DELAY] Eu...,[@]Ja...[DELAY] To...,[@]Es ist ...[DELAY] ich ...,[@]Нет...[D] я...,[@]Ні...[DELAY] Я...,[@]这怎么可能…[DELAY]我…,
DIALOGUE_MERRYSVILLE_CUTSCENES_DISTORTO1_3,"[@]I can still fix it.[WAIT@]I just...[DELAY] need to try again.[DELAY] Yes, that's it!","[@]Je peux encore le réparer.[W@]Je dois...[DELAY] simplement réessayer.[DELAY] Oui, c'est ça !","[@]Posso risolvere.[WAIT@]Devo solo...[DELAY] riprovarci.[DELAY] Sì, esatto!\n",[@]まだ　なおせるはずだ。[WAIT@]なんどだって　やりなおせばいい。[D][BR]そうさ　やりなおせばいいんだ！,"[@]아직 바로잡을 수 있어.[WAIT@]그냥...[DELAY] 다시 시도해 보면 돼.[DELAY] 그래, 그거야!","[@]Aún puedo arreglarlo.[WAIT@]Sólo tengo que...[DELAY] intentarlo otra vez.[DELAY] Sí, ¡eso es!","[@]Pero todavía puedo arreglarlo.\n[WAIT@]Solo...[DELAY] tengo que volver a intentarlo.[DELAY] ¡Sí, eso es!","[@]Eu ainda posso consertar.[WAIT@]Eu só...[DELAY] preciso tentar de novo.[DELAY] Sim, é isso!","[@]To się nadal da naprawić.[WAIT@]Po prostu...[DELAY] muszę spróbować od nowa.[DELAY] Tak, dokładnie!","[@]Ich kann noch immer alles in Ordnung bringen.[WAIT@]Ich muss es nur ...[DELAY] noch einmal versuchen.[DELAY] Ja, so ist es!","[@]Я ещё могу всё исправить.[W@]Надо просто...[D] попытаться ещё.[D] Ага, есть!","[@]Я ще досі можу це виправити.[WAIT@]Мені всього лиш...[DELAY] потрібно спробувати ще раз.[DELAY] Так, от і все!",[@]还有办法补救。[WAIT@]我只需要…[DELAY]再试一次…[DELAY]对，就是这样！,
DIALOGUE_MERRYSVILLE_CUTSCENES_DISTORTO1_4,"[@]Now, where's that terminal?[DELAY] Double security isn't cutting it[DELAY:3:3]... I need it tripled!","[@]Bon, où est-il, ce terminal ?[DELAY] Deux niveaux de sécurité, ça ne suffit pas[DELAY:3:3]... Il m'en faut trois !",[@]Dov'è quel terminale?[DELAY] Non basta la sicurezza raddoppiata[DELAY:3:3]... deve essere triplicata!\n,[@]さぁ　せいぎょターミナルは　どこだ？[D][BR]セキュリティを　ばいぞう・・・[D:3:3]いや　さんばいぞうだ！,[@]이제 그 터미널은 어디 갔지?[DELAY] 이중 보완으로는 불충분해[DELAY:3:3] 삼중으로 늘려야겠어!,[@]¿Dónde era que estaba la terminal?[DELAY] El doble de seguridad ya no es suficiente[DELAY:3:3]... ¡Necesito el triple!,"[@]A ver, ¿dónde está esa terminal?[DELAY] La seguridad doble se queda corta[DELAY:3:3]... ¡Necesito triplicarla!","[@]Agora, cadê aquele terminal?[DELAY] A segurança dupla não está dando certo[DELAY:3:3]... Eu preciso triplicá-la!",[@]No i gdzie ten terminal?[DELAY] Podwojenie ochrony nic nie dało[DELAY:3:3]...Trzeba ją potroić!,[@]Wo ist denn nun die Konsole?[D] Doppelte Sicherheit reicht nicht aus [D:3:3]... Ich brauche die dreifache!,[@]Где же та консоль?[D] Двойной системы охраны мало[D:3:3]... необходима тройная!,[@]Але ж де той термінал?[DELAY] Подвоєного захисту не вистачає[DELAY:3:3]... Мені треба його потроїти!,[@]现在，那个控制终端在哪？[DELAY]双重安全保障已经不够了[DELAY:3:3]…我需要提升到三重保障！,
DIALOGUE_MERRYSVILLE_CUTSCENES_DISTORTO2_0,"[@]Oh,[DELAY:3] my dear child...[DELAY:10] C-can you hear me?","[@]Oh,[DELAY:3] mon cher enfant...[DELAY:10] M-m'entends-tu ?","[@]Oh,[DELAY:3] piccolo mio...[DELAY:10] M-Mi senti?\n",[@]ああ[D:3]　いとしい　わが　はつめいひんよ[D:10]きこえるかい？,"[@]아,[DELAY:3] 내 아이야...[DELAY:10] 내 목소리가 ㄷ-들리니?","[@]Oh,[DELAY:3] mi querido niño...[DELAY:10] ¿M-me escuchas?","[@]Oh,[DELAY:3] mi pequeño...[DELAY:10] ¿M-me escuchas?","[@]Oh,[DELAY:3] meu filhinho...[DELAY:10] V-você pode me ouvir?","[@]Och,[DELAY:3] moje dziecię...[DELAY:10] Cz-czy mnie słyszysz?","[@]Oh,[DELAY:3] mein liebes Kind ...[DELAY:10] K-kannst du mich hören?","[@]Ах,[D:3] моё милое дитя...[D:10] Ты меня слышишь?","[@]Ох,[DELAY:3] дитя моє ненаглядне...[DELAY:10] Т-ти мене чуєш?\n",[@]噢，[DELAY:3]我亲爱的孩子…[DELAY:10]你-[DELAY:2]你能听到我说话吗？,
