key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN
DIALOGUE_MAGICANT_ANDY_0,"[@]If you need the Benevolent Old Man's help, look for Queen Mary's Fountain to the north.[WAIT@]Plea from the bottom of your heart and he will help you.","[@]Si tu as besoin de l'aide du vieil homme serviable, pars à la recherche de la fontaine de la Reine-Mary.[WAIT@]Adresse-lui ta prière du plus profond de ton cœur et il viendra.","[@]Se hai bisogno dell'aiuto del Vecchio benevolo, cerca la Fontana della Regina Mary a nord.[WAIT@]Rivolgigli la tua preghiera dal profondo del cuore e ti aiuterà.",[@]おたすけじいさんを　よびたかったら[BR]マリーの　いずみに　ゆくのだ。[WAIT@]こころの　さけびで　やってくる。[BR]こころの　さけびだ！,"[@]자혜로운 노인의 도움이 필요하단 생각이 든다면, 북쪽에 위치한 메리 여왕님의 분수를 찾아가 보는 것은 어떤가요?[WAIT@]염원을 담아 간청하면 도와주실 겁니다.","[@]Si necesitas la ayuda del Anciano Bondadoso, busca la fuente de la reina Mary en el norte.[WAIT@]Ruega desde el fondo de tu corazón y él te ayudara.","[@]Si necesitas la ayuda del anciano bondadoso, búscalo en la fuente de la reina Mary.\n[WAIT@]Pídeselo de todo corazón y te echará[BR]una mano.","[@]Se você precisa da ajuda do Velho Benevolente, procure a Fonte da Rainha Mary ao norte.[WAIT@]Implore do fundo do seu coração e ele te ajudará.","[@]Jeśli potrzebujesz pomocy Dobrotliwego Starca, poszukaj Fontanny Królowej Mary na północy.[WAIT@]Zawołaj z głębi serca, a on ci pomoże.","[@]Falls [if party:plural]ihr[else]du[/if] die Hilfe des Gütigen Alten Mannes brauch[if party:plural]t, sucht[else]st, suche[/if] den Königinnenbrunnen im Norden auf.[WAIT@]Erbitte[if party:plural]t[/if] ihn aus tiefstem Herzen und er wird [if party:plural]euch[else]dir[/if] helfen.","[@]Если решишь обратиться за помощью к Великодушному старцу, отыщи фонтан Мэри, что на севере.[WAIT@]Взмолись от всего сердца — и старец услышит тебя.","[@]Якщо ти потребуєш допомоги доброзичливого старця, пошукай фонтан королеви Мері на півночі.[WAIT@]Поблагай від усього серця, і він вийде на поміч.",[@]如果你需要善心老者的帮助，向北方去寻找玛丽女王喷泉。[WAIT@]发自心底地恳求，他就会帮助你。
DIALOGUE_MAGICANT_ANDY_SPEAKER_Andy,Andy,,,アンディ,앤디,,,,,,Энди,Енді,安迪
DIALOGUE_MAGICANT_ANNE_0,[@]Sorry if I look a bit anxious right now.[WAIT@]I had a dream where Magicant vanished into thin air.[WAIT@]My heart keeps pounding just thinking about it.,[@]Désolée si j'ai l'air un peu angoissée.[WAIT@]J'ai fait un rêve dans lequel Magicant tout entier disparaissait.[WAIT@]J'ai le cœur qui palpite rien qu'à y repenser.,"[@]Scusami se sembro ansiosa.[WAIT@]Ho sognato che Magicant svaniva nel nulla.[WAIT@]Solo a pensarci, mi torna il batticuore.",[@]すこし　ふあんそうなかおを[BR]してたら　ごめんなさい。[WAIT@]わたし　このマジカントこくが[BR]きえてなくなっちゃう　ゆめをみたのよ。[WAIT@]まだしんぞうが　ドキドキしてるわ。,"[@]어? 미안... 요즘 잠자리가 뒤숭숭해서 정신이 없어서...[WAIT@]요즘 바람처럼 사라져가는 매지컨트가 계속 꿈속에서 아른거려.[WAIT@]상상조차 안 되는 일이지만, 진정되질 않네.",[@]Lo siento si parezco un poco ansiosa ahora mismo.[WAIT@]Anoche soñé que Magicant se desvanecía en el aire.[WAIT@]Se me acelera el corazón de sólo pensarlo.,[@]Perdona que parezca nerviosa.\n[WAIT@]Es que soñé que Magicant desaparecía por completo.\n[WAIT@]Se me encoge el corazón de solo pensarlo.,[@]Desculpe se estou com uma cara assustada.[WAIT@]Eu tive um sonho em que Magicant desaparecia.[WAIT@]O meu coração ainda dispara quando penso nele.,"[@]Przepraszam, jeśli wyglądam teraz na trochę zaniepokojoną.[WAIT@]Miałam sen, w którym Magicant rozpłynął się w powietrzu.[WAIT@]Serce mi wali na samą myśl o tym.","[@]Tschuldige, falls ich gerade ein wenig nervös aussehe.[WAIT@]Ich hab geträumt, dass Magicant sich einfach in Luft aufgelöst hat.[WAIT@]Mein Herz pocht, wenn ich nur daran denke ...","[@]Извини[if party:plural]те[/if], я никак не могу прийти в себя...[W@]Мне приснилось, что вся Грезия исчезла с лица земли.[W@]От самой этой мысли внутри всё замирает!..","[@]Вибач, якщо я здаюсь трішки стурбованим.[WAIT@]Мені наснилося, немов Магіянт розчинився у повітрі.[WAIT@]Серце так і божеволіє, коли я про це згадую.",[@]真抱歉，我现在看起来可能有点焦虑。[WAIT@]我梦见魔法之地凭空消失了。[WAIT@]一想起这事，我的心就怦怦跳个不停。
DIALOGUE_MAGICANT_ANNE_SPEAKER_Anne,Anne,,,アンネ,앤,,,,,,Энн,Енн,安妮
DIALOGUE_MAGICANT_BIGBAGGUY1_0,"[@]Excuse me, [DELAY:6]would you be interested in this Big Bag?[WAIT@]It can hold many Magic Herbs in it!","[@]Excuse-moi[DELAY:6], serais-tu intéressé[LeadArt6] par un Grand Sac ?[WAIT@]Il est rempli d'Herbes magiques !","[@]Scusa, [DELAY:6]ti interesserebbe questa Borsa grande?[WAIT@]È piena di Erbe magiche!",[@]そこのあんた！[DELAY:6]でっかいふくろは　いるかね？[WAIT@]マジックハーブが　30たんいも[BR]はいっているんだぜ。,"[@]실례합니다, [DELAY:6]이 크고 아름다운 가방 필요하지 않은가요?[WAIT@]매직 허브를 아주 잔뜩 넣어다닐 수 있죠.","[@]Disculpa, [DELAY:6]¿estarías interesado en esta Bolsa grande?[WAIT@]¡Puedes llevar muchas Hierbas mágicas!","[@]Disculpa, [DELAY:6]¿te interesa una Bolsa grande?\n[WAIT@]¡Está llenita de Hierbas mágicas!","[@]Com licença, [DELAY:6]estaria interessado nesta Bolsona?[WAIT@]Dá para carregar várias Ervas Mágicas nela!","[@]Przepraszam, [DELAY:6]czy nie chciałbyś tej Dużej Torby?[WAIT@]Może pomieścić wiele Magicznego Ziela!","[@]Entschuldigung,[DELAY:6] [if party:plural]ihr seid[else]du bist[/if] gerade nicht zufällig an einer Großen Tasche interessiert?[WAIT@]Da passen jede Menge Magische Kräuter rein!","[@]Слушай, [DELAY:6]не хочешь этот здоровый мешок?[WAIT@]В нём полным-полно волшебных листьев!","[@]Перепрошую, [DELAY:6]чи можна зацікавити тебе оцим великим мішком?[WAIT@]До нього можна покласти багато чарівного зілля!",[@]打扰一下，[DELAY:6]你对这个大袋子感兴趣吗？[WAIT@]它可以装下很多的魔法草药！
DIALOGUE_MAGICANT_BIGBAGGUY1_0-OPT_0,Yes,Oui,Sì,はい,네,Sí,Sí,Sim,Tak,Ja,Да,Так,是
DIALOGUE_MAGICANT_BIGBAGGUY1_0-OPT_1,No,Non,,いいえ,아니오,,,Não,Nie,Nein,Нет,Ні,否
DIALOGUE_MAGICANT_BIGBAGGUY1_1,[@]I think it would be nothing but beneficial to you. [DELAY:6]But what do I know...,"[@]Je pense qu'il pourrait t'être utile. [DELAY:6]Mais après tout, qu'est-ce que j'en sais...",[@]Secondo me ti sarebbe molto utile. [DELAY:6]Ma come vuoi...,[@]きっと　やくにたつとは[BR]おもうんだけどなあ。[BR][DELAY:6]でも　そういうなら　しかたないか・・・,[@]분명 도움이 될 겁니다...[DELAY:6] 뭐 다 소비자의 몫인 거죠.,"[@]Creo que te beneficiaria mucho. [DELAY:6]Pero bueno, qué sé yo...","[@]A ti seguro que te vendría de perlas, [DELAY:6]pero qué sabré yo...","[@]Olha, eu acho que ela seria útil para você. [DELAY:6]Mas você é quem sabe...",[@]Miałbyś z niej raczej samą korzyść. [DELAY:6]Ale co ja tam wiem...,"[@]Ich denke, sie kann [if party:plural]euch[else]dir[/if] nützlich sein, [DELAY:6]aber was weiß ich schon ...","[@]Думаю, он бы тебе пригодился. [DELAY:6]Но тебе виднее...","[@]Я думаю, що він піде тобi на велику користь. [DELAY:6]Але що я знаю...",[@]我觉得对你来说会有用的。[BR][DELAY:6]不过，谁知道呢…
DIALOGUE_MAGICANT_BIGBAGGUY1_2,"[@]Then, [DELAY:6]may I borrow your Cash Card for a while?","[@]Dans ce cas, [DELAY:6]pourrais-je t'emprunter ta Carte bancaire pour un petit moment ?","[@]Allora, [DELAY:6]ti posso chiedere un attimo la tua Carta di debito?",[@]じゃ　[DELAY:6]あんたのキャッシュカードを[BR]しばらくかしてくれんかね。,"[@]그러면, [DELAY]현금 카드를 한번 보여주시겠습니까?","[@]Entonces, [DELAY:6]¿me podrías prestar tu Tarjeta de crédito por un ratito?","[@]Entonces, [DELAY:6]¿me podrías prestar tu Tarjeta de crédito[BR]un momentito?","[@]E aí, [DELAY:6]poderia me emprestar o seu Cartão por um instante?","[@]A zatem, [DELAY:6]czy mogę na chwilę pożyczyć twoją Kartę Bankomatową?","[@]Wenn das so ist, [DELAY:6]kann ich mir deine Bankkarte kurz ausborgen?",[@]Тогда одолжишь мне свою банковскую карту?,"[@]У такому разі, [DELAY:6]можна запозичити твою платіжну картку?",[@]那么，[DELAY:6]我能借用一下你的金融卡吗？
DIALOGUE_MAGICANT_BIGBAGGUY1_2-OPT_0,Yes,Oui,Sì,はい,네,Sí,Sí,Sim,Tak,Ja,Да,Так,是
