key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN,pr
LOC_NINTEN'S_HOUSE,[Ninten]'s House,Chez [Ninten],Casa di [Ninten],マイホーム,[Ninten]의 집,Casa de [Ninten],Casa de [Ninten],Casa de [Ninten],Dom [decline:Ninten:M:1],Haus von [Ninten],Дом [decline:Ninten:M:1],Дім [decline:Ninten:M:1],[Ninten]的住宅,
LOC_PODUNK,Podunk,Podunk,Podunk,マザーズデイ,마더즈데이,Podunk,Podunk,Boa Mãe,Podunk,Podunk,Поданк,Поданк,波顿克,Mother's Day
LOC_CATACOMBS,Catacombs,Catacombes,Catacombe,はかば　ちかどうくつ,지하 묘지,Catacumbas,Catacumbas,Catacumbas,Katakumby,Katakomben,Катакомбы,Катакомби,地下墓穴,
LOC_ZOO_OFFICE,Zoo Office,Bureaux du zoo,Ufficio dello zoo,どうぶつえん　じむしょ,동물원 관리사무소,Oficina del zoológico,Oficinas del zoo,Escritório do Zoológico,Biuro Zoo,Büro vom Zoo,Дом управ. зоопарком,Управління зоопарку,动物园办公楼,
LOC_PODUNK_DEPT_STORE,Podunk Dept Store,Ccial de Podunk,Centro comm. di Podunk,マザーズデイ　デパート,마더즈데이 백화점,C. comercial de Podunk,C. comercial de Podunk,Mercado de Boa Mãe,Dom Handlowy Podunk,Podunk Kaufhaus,Универмаг Поданка,Універмаг Поданку,波顿克百货公司,Mother's Day Dept Store
LOC_PODUNK_HOTEL,Podunk Hotel,Hôtel de Podunk,Hotel di Podunk,マザーズデイ　ホテル,마더즈데이 호텔,Hotel de Podunk,Hotel de Podunk,Hotel de Boa Mãe,Hotel Podunk,Hotel Podunk,Отель Поданка,Готель Поданку,波顿克旅馆,Mother's Day Hotel
LOC_BURGER_SHOP,Burger Shop,Fast-food,Hamburgeria,バーガーショップ,햄버거 가게,Tienda de hamburguesas,Hamburguesería,Hamburgueria,Burgerownia,Burgerladen,Бургерная,Бургерна,汉堡店,
LOC_PODUNK_CEMETERY,Podunk Cemetery,Cimetière de Podunk,Cimitero di Podunk,はかば　きょうかいまえ,마더즈데이 공동묘지,Cementerio de Podunk,Cementerio de Podunk,Cemitério de Boa Mãe,Cmentarz Podunk,Podunk Friedhof,Кладбище Поданка,Кладовище Поданку,波顿克公墓,Mother's Day Cemetery
LOC_ZOO_ENTRANCE,Zoo Entrance,Entrée du zoo,Ingresso dello zoo,どうぶつえんまえ,동물원 입구,Entrada del zoo,Entrada al zoo,Entrada do Zoológico,Wejście do Zoo,Zoo-Eingang,Вход в зоопарк,Вхід в зоопарк,动物园入口,
LOC_OUTSIDE_PODUNK,Outside Podunk,Périphérie de Podunk,Periferia di Podunk,マザーズデイ　こうがい,마더즈데이 외곽,Afueras de Podunk,Afueras de Podunk,Fora de Boa Mãe,Poza Podunk,Außerhalb von Podunk,Пригород Поданка,Передмістя Поданку,波顿克郊外,Outside Mother's Day
LOC_MAGICANT_HOUSE,Magicant,Magicant,Magicant,マジカント,매지컨트,Magicant,Magicant,Magicant,Magicant,Magicant,Грезия,Магіянт,魔法之地,
LOC_CRYSTAL_CAVERNS,Crystal Caverns,Cavernes de Cristal,Grotte cristalline,ちかたいが,크리스탈 대동굴,Cavernas Cristalinas,Cavernas Cristalinas,Cavernas Cristalinas,Kryształowe Groty,Kristallkaverne,Кристальные пещеры,Кристальні печери,水晶洞穴,
LOC_CRYSTAL_CAVERNS_SEA,Crystal Caverns Sea,Mer de Cristal,Oceano cristallino,ちかたいが　きすいいき,크리스탈 대동굴 해안,Cavernas Cristalinas: Mar,Cavernas Cristalinas: Mar,Cavernas Cristalinas: Mar,Morze Kryszt. Grot,See der Kristallkaverne,Море Крист. пещер,Море Кристал. печер,水晶洞穴海,
LOC_CRYSTAL_CAVERNS_DEPTHS,Crystal Caverns Depths,Profondeurs de Cristal,Profondità cristalline,ちかたいがのはて,크리스탈 대동굴 심층,Cav. Crist.: Profundidades,Cav. Cris.: Profundidades,Cav. Crist.: Profundezas,Głębiny Kryszt. Grot,Tiefen der Kristallkaverne,Глубины Крист. пещер,Кристальні глубіни,水晶洞穴深处,
LOC_MERRYSVILLE,Merrysville,Merrysville,Merrysville,サンクスギビング,땡스기빙데이,Merrysville,Merrysville,Gratidão,Merrysville,Merrysville,Меррисвиль,Меррісвіль,梅里斯维尔,Thanksgiving
LOC_MERRYSVILLE_HOTEL,Merrysville Hotel,Hôtel de Merrysville,Hotel di Merrysville,サンクスギビング　ホテル,땡스기빙데이 호텔,Hotel de Merrysville,Hotel de Merrysville,Hotel de Gratidão,Hotel Merrysville,Hotel Merrysville,Отель Меррисвиля,Готель Меррісвіля,梅里斯维尔旅馆,Thanksgiving Hotel
LOC_LLOYD'S_APARTMENT,[Lloyd]'s Home,Chez [Lloyd],Casa di [Lloyd],ロイドのアパート,[Lloyd]의 집,Depto. de [Lloyd],Casa de [Lloyd],Apto. do [Lloyd],Dom [decline:Lloyd:M:1],[genitive:Lloyd] Wohnung,Дом [decline:Lloyd:M:1],Хата [decline:Lloyd:M:1],[Lloyd]的公寓,
LOC_OUTSIDE_MERRYSVILLE,Outside Merrysville,Périphérie de Merrysville,Periferia di Merrysville,サンクスギビングこうがい,땡스기빙데이 외곽,Afueras de Merrysville,Afueras de Merrysville,Fora de Gratidão,Poza Merrysville,Außerhalb von Merrysville,Пригород Меррисвиля,Передмістя Меррісвіля,梅里斯维尔郊外,Outside Thanksgiving
LOC_SWEET'S_LITTLE_FACTORY,Sweet's Little Factory,Usine Minichoupi,Piccola Dolce Fabbrica,スイートリトルこうじょう,스위트 리틀 팩토리,Fábrica Pequedulce,Fábrica Pequedulce,Fábrica da Docita,Fabryka Bombonierka,Süße kleine Fabrik,Фабрика «Крошка»,Фабрика «Крихітка»,甜甜小工厂,
LOC_SWEET'S_ENTRANCE,Sweet's Entrance,Usine Minichoupi – Entrée,Piccolo Dolce Ingresso,スイートリトルこうじょうまえ,스위트 리틀 팩토리 앞,Entrada a Pequedulce,Entrada a Pequedulce,Entrada a Docita,Wejście do Bombonierki,Süßer Fabrikeingang,Вход в «Крошку»,Вхід до «Крихітки»,甜甜小工厂入口,
LOC_DUNCAN'S_FACTORY_1F,Duncan's Factory 1F,Usine de Duncan – RdC,Fabbrica di Duncan PT,ダンカンこうじょう　１F,던컨 공장 1층,Fábrica Duncan PB,Fábrica Duncan PB,Fábrica Duncan: T,"Fabryka Duncana, Parter",Duncan-Fabrik EG,Завод Дункана: этаж 1,Завод Дункана: 1 пов.,邓肯工厂1楼,
