key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN
BATTLE_PIPPI_0,"For a zombie, your\nfighting is really crummy.","Dis donc, pour un zombie, t'es vraiment pas doué au combat.",Sei proprio scarso\n\nper essere uno zombi.,ゾンビにしては\nたたかいかたが　へんじゃない。,,"Para ser un zombi, peleas\npésimo.","Para ser un zombi, peleas fatal.",,"Jak na zombiaka, naprawdę kiepsko walczysz.",Für einen Zombie kämpfst du ziemlich mies.,Для зомби ты дерёшься\nкак-то никудышно.,,作为一只丧尸，你的\n战斗水平可真够差劲的。
BATTLE_PIPPI_1,Do you even know how to use an encore?,"Tu sais faire un Encore, au moins ?",Almeno sai come si fa\nun Encore?,まさか　Encoreわざ　のつかいかたすら　わからないの？,,¿Siquiera sabes cómo hacer una encore?,¿Sabes siquiera cómo se hace un bis?,,"Czy ty w ogóle wiesz, jak wykonać bis?","Weiß du überhaupt, wie man eine Zugabe macht?","Ты вообще знаешь,\nкак использовать бис?",,你难道连怎么使用加演都不知道吗？
BATTLE_PIPPI_2,"Well, let me make it more of a fair fight.","Bon, allez, j'vais te donner un p'tit coup de pouce.",Adesso lo rendo uno\nscontro più equo.,たいとうな　たたかいにしたいから　とくべつに　おしえてあげる。,,"Bueno, deja que hago que\n sea una pelea más justa.","Bueno, pues haré que la cosa esté más igualada.",,"Dobra, w takim razie wyrównam nam trochę szanse. ","Nun, lass mich den Kampf etwas fairer machen.","Хорошо, тогда я тебе поддамся.",,好吧，那我来让战斗变得更公平些。
BATTLE_PIPPI_3,See that SP meter at\nthe bottom of your screen?,T'as vu la barre de PT en bas de ton écran ?,Vedi quella barra SP\nin basso nello schermo?,SPメーターが　みえるでしょ。\nスクリーンのしたにのほうに。,,¿Ves el medidor de PH en la\n parte baja de la pantalla?,¿Ves el medidor de PT en la parte baja de la pantalla?,,Widzisz ten wskaźnik SP\nna\ndole ekranu?,Siehst du den SP-Zähler im unteren Teil des Bildschirms?,Видишь шкалу ОУ\nв нижней части экрана?,,看到屏幕底部的SP条了吗？
BATTLE_PIPPI_4,"When it reaches 4 points, it'll start glowing!","Au bout de 4 paliers, elle se met à briller ¦","Quando arriva a 4 punti,\nsi illuminerà!",メーターが４になると　ひかりだすの！,,"Cuando llegue a 4 barritas, ¡empezará a brillar!","Cuando llegue a 4 puntos, ¡empezará a brillar!",,"Kiedy osiągnie 4 punkty, zacznie świecić!","Wenn der Zähler 4 erreicht, fängt er an zu leuchten!","Когда она достигнет четвёртой отметки, она засвестится!",,当它的点数积攒到4时，就会开始发光！
BATTLE_PIPPI_5,That's when you can perform an Encore!,"C'est là que tu peux utiliser un Encore ¦",Così potrai fare\nun Encore!,そのときに　アンコールををおこなって　Encoreわざを　つかうことができるの！,,¡Ahí es cuando puedes usar una Encore!,¡Ahí es cuando puedes usar un bis!,,Wtedy możesz wykonać bis!,Dann kannst du eine Zugabe durchführen!,И в тогда ты сможешь совершить «Бис»!,,那时候你就可以进行一次加演了！
BATTLE_PIPPI_6,Try to think of a [color][ui_select][/color] [if input:gamepad]button[else]key[/if] when you're\ndoing a move!,Essaye d'imaginer [if input:gamepad]un bouton[else]une touche[/if] [color][ui_select][/color] pendant que tu fais une action ¦,Immagina un [color][ui_select][/color] [if input:gamepad]pulsante[else]tasto[/if] quando\nesegui un'azione!\n,わざを　えらぶときに　[color][ui_select][/color] [if input:gamepad]button[else]key[/if] をおす　イメージで・・・,,¡Intenta pensar en [if input:gamepad]un botón[else]una tecla[/if] [color][ui_select][/color] cuando estés usando\nun movimiento!,¡Intenta pensar en [if input:gamepad]un botón[else]una tecla[/if] [color][ui_select][/color] cuando estes usando\nun movimiento!,,"Spróbuj pomyśleć o [color][ui_select][/color] [if input:gamepad]przycisku[else]klawiszu[/if], kiedy\nwykonujesz ruch!","Stell dir [if input:gamepad]einen [color][ui_select][/color]-Knopf[else]]einen [color][ui_select][/color]-Taste[/if] vor, während du einen Zug machst!","Пока ты выполняешь действие, представь себе [if input:gamepad]кнопку[else]клавишу[/if] [color][ui_select][/color]!",,在你打出招式的时候，\n可以尝试着想象一个叫[color][ui_select][/color]的[if input:gamepad]按钮[else]按键。[/if]
BATTLE_PIPPI_7,This will let you act\na second time.,"Et comme ça, tu pourras attaquer une deuxième fois.",Potrai agire di nuovo.,そうすると　２かいれんぞくで　こうどうすることができるのよ。,,Te dejará actuar una\nsegunda vez.,Esto te dejará actuar una segunda vez,,To pozwoli ci się ruszyć drugi raz.,Damit kannst du dann erneut handeln.,Она позволит тебе ходить\nво второй раз.,,这样做可以让你再行动一回。
BATTLE_PIPPI_8,Like this!,Regarde ¦,Proprio così!,こうやってね！,,¡Así!,¡Así!,,Właśnie tak!,Genau so!,Вот так!,,就像这样！
BATTLE_STARMANJR_1_0,[@]It seems that I've miscalculated...[WAIT@]You appear to be much stronger than I've anticipated.[WAIT@]But no matter...[WAIT@]This next attack is sure to wipe you out!,[@]IL SEMBLERAIT QUE JE ME SOIS TROMPÉ DANS MES ESTIMATIONS...[WAIT@]TU ES MANIFESTEMENT BIEN PLUS FORT QUE CE QUE J'AVAIS IMAGINÉ.[WAIT@]MAIS CELA N'A PAS D'IMPORTANCE...[WAIT@]CETTE PROCHAINE ATTAQUE VA FORCÉMENT TE RÉDUIRE À NÉANT !,[@]Devo aver sbagliato i calcoli...[WAIT@]Sembri essere più forte di quanto mi aspettassi.[WAIT@]Ma non importa...[WAIT@]Il prossimo attacco ti sconfiggerà per forza!,[@]ソウテイガイ　ダッタ。[WAIT@]オマエハ　ケイサンシテイタ　イジョウニ\nテゴワイ　アイテダッタ。[WAIT@]ダガ　モンダイハナイ。[WAIT@]コノ　コウゲキデ\nコッパミジンニ　ナルガイイ！,[@]내가 계산을 잘못한 것 같군...[WAIT@]넌 예상보다 훨씬 더 강해.[WAIT@]하지만 상관없어...[WAIT@]이번 공격으로 끝장내겠다!,[@]Parece que mis cálculos han sido erróneos...[WAIT@]Eres mucho más fuerte de lo que esperaba.[WAIT@]Pero eso no importa...[WAIT@]¡Este próximo ataque te hará trizas!,[@]Parece que mis cálculos eran incorrectos...[WAIT@]Eres mucho más fuerte de lo que esperaba.[WAIT@]Pero no importa...[WAIT@]¡Porque te aniquilaré con mi próximo ataque!,[@]PARECE QUE OS MEUS CÁLCULOS ESTAVAM ERRADOS...[WAIT@]VOCÊ É MUITO MAIS FORTE DO QUE EU TINHA ANTECIPADO.[WAIT@]MAS NÃO IMPORTA...[WAIT@]ESTE ATAQUE COM CERTEZA TRARÁ O SEU FIM!,"[@]Wygląda na to, że się nieco przeliczyłem...[WAIT@]Wydajesz się być znacznie silniejszy niż się spodziewałem.[WAIT@]Ale to nieistotne...[WAIT@]Następny atak zmiecie cię z planszy!","[@]Ich habe mich wohl verkalkuliert ...[WAIT@]Du scheinst viel stärker, als angenommen.[WAIT@]Doch das ist unwichtig ...[WAIT@]Der nächste Angriff wird dich wegfegen!","[@]ПОХОЖЕ, МОИ РАСЧЁТЫ НЕВЕРНЫ...[WAIT@]ТЫ, ОКАЗЫВАЕТСЯ, ГОРАЗДО СИЛЬНЕЕ, ЧЕМ ПРЕДПОЛАГАЛОСЬ.[WAIT@]НО ЭТО НЕ ИМЕЕТ ЗНАЧЕНИЯ...[WAIT@]СЛЕДУЮЩАЯ АТАКА ТОЧНО ТЕБЯ ЛИКВИДИРУЕТ!","[@]СХОЖЕ, Я ПРОРАХУВАВСЯ...[WAIT@]ОПИНЯЄТЬСЯ, ТИ НАБАГАТО СИЛЬНІШЕ, НІЖ Я ДУМАВ.[WAIT@]АЛЕ НЕМАЄ РІЗНИЦІ...[WAIT@]НАСТУПНА АТАКА ТОЧНО СТРЕ ТЕБЕ З ЛИЦЯ ЦІЄЇ ПЛАНЕТИ!",[@]看起来是我失算了…[WAIT@]你似乎比我预想中的要强许多。[WAIT@]不过无所谓…[WAIT@]下一招必定会将你彻底击溃！
