key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN
ALARMGHOST_NAME,Alarm Ghost,Fantôme S.O.S.,Fantallarme,アラームゴースト,알람 고스트,Fantasma alarma,Fantasma asustador,Fantasma Alarmante,Duch Alarmowy,Alarmgeist,Призрак-зазывала,Привид-сторож,警报幽灵
ALARMGHOST_DESC,"Don't alarm this ghost, he has friends!","Attention, il peut envoyer un S.O.S. à ses amis ¦","Attenzione! Se allarmato, chiama i suoi amici!",おどろくと　なかまを　よぶぞ！,울리면 친구들을 데려올 거다!,"¡No alarmes a este fantasma, tiene amigos!","¡No asustes a este fantasma, tiene amigos!","Não alarme esse fantasma, ele tem amigos!","Nie alarmuj tego ducha, on ma przyjaciół!",Alarmiere nicht diesen Geist! Er hat Freunde.,"Не тревожь этого призрака, у него есть друзья!","Не турбуй цього привида, у нього є друзі!",不要惊动这个幽灵，他还有同伙！
ALARMGHOST_ART,"The ,the ,An ,an ,its,it,it","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ,ao ","jego,Ducha Alarmowego,Duchowi Alarmowemu,Ducha Alarmowego,,y,Duchu Alarmowym","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Alarmgeist,Alarmgeists,Alarmgeist,Alarmgeist","призрак-зазывала,призрака-зазывалы,призраку-зазывале,призрака-зазывалу,призраке-зазывале,,,ён,ся,ет,его","привид-сторож,привида-сторожа,привиду-сторожу,привида-сторожа,привиді-сторожі,ов,в,ий,є,ить,його",",,一个,一个,它的,它,它"
ALLIGATOR_NAME,Alligator,Crocodile,Alligatore,ワニ,악어,Caimán,Caimán,Jacaré,Aligator,,Аллигатор,Алігатор,鳄鱼
ALLIGATOR_DESC,Don't accept his invitation to dinner.,Déclinez toujours les invitations à dîner d'un crocodile.,Rifiuta sempre l'invito a cena di un alligatore.,ワニに　しょくじに　さそわれても\nおことわり　しなさい。,악어의 식사 초대를 받지 마라.,No aceptes su invitación a cenar.,No aceptes su invitación para cenar.,Não aceite o seu convite para jantar.,Nie przyjmuj jego zaproszenia na kolację.,Geh nicht auf seine Essenseinladung ein.,Не смей приходить к нему на ужин.,Не заходь до нього на вечерю.,千万别接受他发出的晚餐邀请。
ALLIGATOR_ART,"The ,the ,An ,an ,its,it,it","Le ,le ,Un ,un ,du ,au ,,le ,x","L',l',Un ,un ,dell',all',o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ,ao ","jego,Aligatora,Aligatorowi,Aligatora,,y,Aligatorze","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Alligator,Alligators,Alligator,Alligator","аллигатор,аллигатора,аллигатору,аллигатора,аллигаторе,,,ён,ся,ет,его","алігатор,алігатора,алігатору,алігатора,алігаторі,ов,в,ий,є,ить,його",",,一个,一个,它的,它,它"
ANTOID_NAME,Antoid,Fourmioïde,Formicoide,アリアリ,개미개미,Hormigoide,Hormigoide,Formigoide,Mrówkoid,Ameisoid,Мураш,Мурахойд,蚁虫
ANTOID_DESC,"They're small, quick and they attack in teams.",Ils sont petits et rapides et ils attaquent en groupe.,Sono piccoli e agili. Attaccano in gruppo.,ちいさくて　はやくて　しゅうだんこうげきをしてくる。,"작지만, 빠르고 다 같이 공격한다.","Son pequeños, rápidos y atacan en grupitos.","Son pequeños, rápidos y atacan en grupo.","São pequenos, rápidos e atacam em grupo.","Są małe, szybkie i atakują w grupach.","Sie sind klein, schnell und greifen in Gruppen an.","Мелкий и шустрый, нападает колониями.",Дрібний та спритний; нападає колоніями.,它们体型小巧，行动迅捷，并且擅长团队作战。
ANTOID_ART,"The ,the ,An ,an ,its,it,it","La ,la ,Une ,une ,de la ,à la ,e,la ,se","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ,ao ","jego,Mrówkoida,Mrówkoidowi,Mrówkoida,,y,Mrówkoidzie","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Ameisoid,Ameisoiden,Ameisoiden,Ameisoiden","мураш,мураша,мурашу,мураша,мураше,,,ён,ся,ет,его","мурахойд,мурахойда,мурахойду,мурахойда,мурахойді,ов,в,ий,є,ить,його",",,一个,一个,它的,它,它"
ARMOR_NAME,Armor,Armure,Armatura,カッチュウ,갑주,Armadura,Armadura,Armadura,Zbroja,Rüstung,Доспехи,Обладунки,铠甲
