key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN,pr
DIALOGUE_MERRYSVILLE_TWINKLEELEMENTARY_HALLMONITOR1_0,"[@]Wait a minute, I don’t believe I’ve seen you before.[W@]Are you a new student?","[@]Hé, vous ![WAIT@]Je ne vous ai jamais vu[LeadArt6] ici avant ![W@]Vous êtes un[LeadArt6] nouvel[if party:female_lead]le[/if] élève ?",[@]Non penso di averti mai visto prima.[W@]Hai fatto da poco l'iscrizione a scuola?,[@]コラッ　みかけない　こどもだな。[W@]この　がっこうの　せいとか？,"[@]잠깐, 너 처음 보는 얼굴인데.[W@]전학생이야?","[@]Espera un minuto, no recuerdo haberte visto antes.[W@]¿Eres un estudiante nuevo?",[@]¡Un momento! No recuerdo haberte visto por aquí.[W@]¿Eres un nuevo estudiante?,"[@]Espera aí, acho que eu nunca te vi por aqui antes.[W@]Você é um aluno novo?","[@]Chwileczkę, nigdy cię tu wcześniej nie widziałem.[W@]Jesteś nowym uczniem?","[@]Warte mal kurz, ich glaub nicht, dass ich dich hier schonmal gesehen habe. [W@]Bist du ein neuer Mitschüler?",[@]Погоди... [DELAY:5]Что-то я тебя здесь раньше не видел.[W@]Ты новенький?,"[@]Так, хвилинку...[D] Якщо не помиляюсь, я тебе тут раніше не бачив.[W@]Ти новий учень?\n",[@]等一下，我之前好像没见过你…[W@]你是新来的转校生吗？,
DIALOGUE_MERRYSVILLE_TWINKLEELEMENTARY_HALLMONITOR1_0-OPT_0,Yes,Oui,Sì,はい,네,Sí,Sí,Sim,Tak,Ja,Да,Так,是,
DIALOGUE_MERRYSVILLE_TWINKLEELEMENTARY_HALLMONITOR1_0-OPT_1,No,Non,,いいえ,아니오,,,Não,Nie,Nein,Нет,Ні,否,
DIALOGUE_MERRYSVILLE_TWINKLEELEMENTARY_HALLMONITOR1_1,"[@]I see. Carry on, then.[W@]Just don’t run in the halls.","[@]Oh, d'accord. Allez-y.[W@]Mais attention à ne pas courir dans les couloirs.","[@]Ok. Vai pure, allora.[W@]Ma non correre nei corridoi.",[@]そうか　なら　だいじょうぶだ。[W@]ろうかを　はしるなよ。,[@]그렇구나. 지나가도 좋아.[W@]복도에서 뛰지만 마.,"[@]Ya veo. [D]Entonces, adelante.[W@]Nada más no corras por los pasillos.",[@]Ya veo. [D]Adelante. [W@]Pero no corras por los pasillos.,"[@]Entendi. Pode ir, então.[W@]Só não corra nos corredores.",[@]Aha. To możesz iść.[W@]Tylko nie biegaj po korytarzu.,[@]Verstehe. [D]Dann geh weiter. [W@]Aber renne nicht im Flur.,"[@]Ну, [D:4]тогда удачи.[W@]Только не бегай по коридорам.",[@]Зрозуміло.[D] Тоді проходь.[W@]Тільки не бігай по коридорам.\n,[@]我知道了，去忙你的吧。[W@]只要别在走廊上乱跑就行。,
DIALOGUE_MERRYSVILLE_TWINKLEELEMENTARY_HALLMONITOR1_2,"[@]Ah, a parent, then![W@]Welcome to our school.[W@]Though, upon further inspection, you look too[DELAY:4:3]...[D] “hip” [D]to be one.","[@]Ah, vous êtes un parent d'élève alors ![W@]Bienvenue dans notre école.[W@]En fait, à mieux y regarder, vous avez l'air trop[DELAY:4:3]...[D] « branché[if party:female_lead]e[/if] » [D]pour en être un.","[@]Ah, lei è un genitore![W@]Prego, vada pure.[W@]Guardando meglio, però, è un po' troppo[DELAY:4:3]...[D] “alla moda” [D]per essere un genitore.",[@]ならば　おやごさんでしたか！[W@]ほんじつは　じゅぎょうさんかんに[BR]おこしいただき　ありがとうございます。[W@]・・・ずいぶんと　モダンな　おやごさんだなぁ。,"[@]아, 학부모님이셨나요![W@]저희 학교에 오신 걸 환영합니다.[W@]근데 다시 보니 꽤[DELAY:4:3]... [D]하도 젊게 사시는 듯해서... [D] 학부모 같진 않으시네요.","[@]Ah, entonces debes ser un padre.[W@]Bienvenido a nuestra escuela.[W@]Aunque, ahora que te veo más de cerca, te ves demasiado[DELAY:4:3]...[D] “en onda” [D]para ser uno.","[@]Ah, entonces debes ser un padre.[W@]Bienvenido al colegio.[W@]Aunque ahora que me fijo mejor, pareces muy[DELAY:4:3]...[D] «a la moda» para ser un padre.","[@]Ah, então é um pai de aluno![W@]Bem-vindo à nossa escola.[W@]Se bem que, olhando melhor, você parece[DELAY:4:3]...[D]""maneiro""[D] demais para ser um pai.","[@]Ach, więc jesteś rodzicem![W@]Witaj w naszej szkole.[W@]Chociaż, jak ci się bardziej przyjrzę, wydajesz się zbyt[DELAY:4:3]...[D] “modny” [D]na rodzica.","[@]Ah, ein Elternteil also![W@]Willkommen an unserer Schule.[W@]Wobei bei genauerer Betrachtung, siehst du zu [DELAY:4:3]...[D] „hip” [D]aus, um erziehungsberechtigt zu sein.","[@]А,[D:4] значит, вы...[D:6] родитель![W@]Добро пожаловать в нашу школу.[W@]Хотя... для родителя вы выглядите[DELAY:4:3]...[D] больно «круто».","[@]А, тоді батько![W@]Ласкаво просимо до нашої школи.[W@]Хоча, якщо вдивлятися, для батька ви одягаєтеся[DELAY:4:3]...[D] зовсім молодіжно.\n",[@]啊，原来是家长啊！[W@]欢迎来到我们学校。[W@]不过，仔细一瞧…[WAITBR]你看起来有点太…[D]“潮”[D]了，不太像个家长。,
DIALOGUE_MERRYSVILLE_TWINKLEELEMENTARY_HALLMONITOR1_SPEAKER,Nabber,Nabber,,ナッバー,내버,,,,,Herr Nörgel,Наббер,Наббер,纳博,
DIALOGUE_MERRYSVILLE_TWINKLEELEMENTARY_HALLMONITOR2_0,[@]No running in the halls!,[@]On ne court pas dans les couloirs !,[@]Non si corre nei corridoi!\n,[@]ろうかを　はしるんじゃ　ありませんよ！,[@]복도에서 뛰지 마!,[@]¡No corran en los pasillos!,[@]¡Nada de correr por los pasillos!,[@]Não corra nos corredores!,[@]Nie biegaj po korytarzu!,[@]Nicht auf den Fluren rennen!,[@]Не бегайте по коридорам!,[@]Не бігати по коридорах!,[@]走廊内禁止奔跑！,
DIALOGUE_MERRYSVILLE_TWINKLEELEMENTARY_HALLMONITOR2_SPEAKER,Mitsy,Mitsy,,ミッツィ,미치,,,,,,Митси,Мітсі,米琪,
DIALOGUE_MERRYSVILLE_TWINKLEELEMENTARY_JANITORKEYGIRL_0,"[@]The janitor has the key to the rooftop, but he doesn’t give it to students.[W@]I tried asking him for it the other day, but he just started chewing my ear off, complaining about his wife![W@]I’d take a hundred math classes over that...","[@]C'est le concierge de l'école qui a la clé du toit, mais il la donne pas aux élèves.[W@]L'autre jour, j'ai essayé de lui demander, mais il s'est mis à me raconter sa vie, genre « gnagnagna, ma femme ceci, ma femme cela » ![W@]J’aurais préféré avoir mille cours de maths plutôt que d'entendre ça...","[@]Il bidello ha la chiave per il tetto, ma non la dà agli alunni.[W@]Gliel'ho provata a chiedere l'altro giorno, ma continuava a lamentarsi senza fine di sua moglie![W@]Preferisco cento ore di matematica piuttosto...\n",[@]おくじょうのカギを　ようむいんさんが[BR]もってるんだけど[DELAY:4]　かしてくれないのよ。[W@]たのんでも　おくさんのはなし　ばかりで・・・[W@]さんすうの　じゅぎょうほうが　ましだわ。,[@]수위아저씨가 옥상 열쇠를 갖고 있는데 학생들한텐 안 빌려줘.[W@]전에 부탁해 봤는데 갑자기 아내 욕만 한참을 늘어놓더라![W@]차라리 수학 수업을 백 번 듣는 게 낫겠어...,"[@]El conserje tiene la llave para la azotea, pero no se la pasa a los estudiantes.[W@]Se la intenté pedir el otro día, ¡pero comenzó a hablar sin parar quejándose de su esposa!\n[W@]Prefiero cien clases de matemáticas antes de escuchar eso otra vez...","[@]El conserje tiene la llave de la azotea, pero no se la da a los alumnos.[W@]El otro día intenté pedírsela y empezó a darme la lata. ¡Que si su mujer esto, su mujer lo otro![W@]Habría preferido mil clases de matemáticas antes que escucharle...","[@]O zelador tem a chave do terraço, mas ele não deixa ninguém pegar.[W@]Eu tentei pedir emprestado outro dia, mas aí ele começou a reclamar da esposa no meu ouvido![W@]Eu preferiria ter mil aulas de matemática do que passar por isso de novo...","[@]Woźny ma klucz na dach, ale nie daje go uczniom.[W@]Chciałam go raz o niego spytać, ale on zaczął tak truć o swojej żonie, aż mi uszy zwiędły![W@]Wolę sto lekcji matmy od jego tyrad...","[@]Der Hausmeister hat den Schlüssel zum Dach, aber den gibt er nicht an Schüler.[W@]Ich hab neulich versucht, ihn darum zu bitten, aber er hat sich nur über seine Frau beschwert und meine Ohren vollgequasselt![W@]Da würde ich lieber hundert Mathestunden nehmen ...","[@]У уборщика есть ключ на крышу, только он нам[BR]его не даёт.[W@]Я один раз у него попросила, а он давай про свою жену ныть.[D:6] Уши завяли![W@]Уж лучше сто раз на математику сходить.","[@]У прибиральника є ключ на дах,[DELAY:4] тільки він учням його не дає.[W@]Нещодавно я попросила у нього ключ,[D] а він як почав теревені правити![DELAY:9] І все про свою жінку![W@]Краще б я відсиділа сто уроків математики...\n",[@]校工那里有天台的钥匙，但他从来不给学生。[W@]前几天我试着找他要过，但他却对着我没完没了地抱怨他老婆的事，简直听得我耳朵要起茧子了！[W@]比起听那个，我宁愿去上几百节数学课……,
DIALOGUE_MERRYSVILLE_TWINKLEELEMENTARY_JANITORKEYGIRL_SPEAKER,Teresa,Teresa,,テレーサ,테레사,,,,,,Тереза,Тереза,特蕾莎,
