key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN
DIALOGUE_REUSABLE_ATM_1,[@]PLEASE INSERT CASH CARD.,[@]VEUILLEZ INSÉRER VOTRE CARTE BANCAIRE.,[@]INSERIRE CARTA DI DEBITO.,[@]キャッシュカードヲ　イレテクダサイ,[@]현금 카드를 넣어주세요.,[@]POR FAVOR INSERTE SU TARJETA.,[@]INSERTE UNA TARJETA DE CRÉDITO.,"[@]POR FAVOR, INSIRA O CARTÃO.",[@]PROSZĘ WŁOŻYĆ KARTĘ BANKOMATOWĄ.,[@]BITTE BANKKARTE EINFÜHREN.,[@]ВСТАВЬТЕ БАНКОВСКУЮ КАРТУ.,[@]ВСТАВТЕ ПЛАТІЖНУ КАРТКУ.,[@]请插入金融卡。
DIALOGUE_REUSABLE_ATM_2,[@]WELCOME TO THE AUTOMATIC TELLER MACHINE.,[@]BIENVENUE AU DISTRIBUTEUR AUTOMATIQUE DE BILLETS.,[@]BENVENUTO ALLO SPORTELLO AUTOMATICO.,[@]イラッシャイマセ,[@]거래를 선택해 주세요.,[@]BIENVENIDO AL CAJERO AUTOMÁTICO.,[@]BIENVENIDO AL CAJERO AUTOMÁTICO.,[@]BEM-VINDO AO CAIXA ELETRÔNICO.,[@]WITAMY W BANKOMACIE.,[@]WILLKOMMEN BEIM BANKAUTOMATEN.,[@]ЗДРАВСТВУЙТЕ! ВХОД В БАНКОВСКУЮ СИСТЕМУ...,[@]ЛАСКАВО ПРОСИМО ДО БАНКОМАТУ.,[@]欢迎使用自动取款机。
DIALOGUE_REUSABLE_ATM_SPEAKER_ATM,ATM,Distributeur,,ＡＴＭ,,Cajero,Cajero,CAIXA,Bankomat,Geldautomat,Банкомат,Банкомат,提款机
DIALOGUE_REUSABLE_DAD_NORMAL_0,[@][Ninten]? It's your dad.,[@][Ninten] ? C'est papa.,[@][Ninten]? Sono papà.,[@]あ　パパだ。,[@][Ninten]? 아빠다.,[@]¿[Ninten]? Soy tu papá.,[@]¿[Ninten]? Soy papá.,[@][Ninten]? É o papai.,[@][Ninten]? Tu twój tata.,[@][Ninten]? Hier spricht Papa.,"[@]Алло, [Ninten], это папа.",[@][Ninten]? Це твій тато.,[@][Ninten]？[WAIT@]这里是爸爸。
DIALOGUE_REUSABLE_DAD_NORMAL_1,[@]I've deposited $[EarnedCash] into your bank account.,[@]J'ai déposé [EarnedCash] $ sur ton compte bancaire.,[@]Ti ho caricato [EarnedCash]$ nel conto in banca.,[@][Ninten]の　ぎんこうこうざに\n[EarnedCash]ドル　ふりこんでおいたからね。,[@]네 계좌에 $[EarnedCash] 입금했다.,[@]He depositado $[EarnedCash] en tu cuenta bancaria.,[@]He ingresado [EarnedCash] $ en tu cuenta bancaria.,[@]Eu depositei $[EarnedCash] na sua conta.,[@]Wpłaciłem [EarnedCash] $ na twoje konto.,[@]Ich habe [EarnedCash] $ auf dein Bankkonto überwiesen.,[@]Я перевёл [EarnedCash] $ на твой счёт.,[@]Я поклав [EarnedCash] $ на твій рахунок.,[@]我已经往你的银行账户里存入了[EarnedCash]美元。
DIALOGUE_REUSABLE_DAD_NORMAL_2,"[@]Taking away what you've spent, you should now have $[BankCash] in the bank.[WAIT@]Anyways, what do you need from me?","[@]En déduisant ce que tu as dépensé, tu devrais avoir [BankCash] $ sur ton compte.[WAIT@]Enfin bref, qu'est-ce que je peux faire pour toi ?","[@]Togliendo quello che hai speso, ora dovresti avere [BankCash]$.[WAIT@]Comunque, di cos'avevi bisogno?",[@]おまえが　つかったぶんと　さしひきで\n[BankCash]ドル　こうざに　はいっているはずだ。\nだいじに　つかいなさい。[WAIT@]それはそうと　なんのようだい？,"[@]쓴 돈을 빼면 계좌에 $[BankCash]가 있을 거다.[WAIT@]그래서, 왜 전화했니?","[@]Tomando en cuenta lo que gastaste, deberías tener $[BankCash] en tu cuenta bancaria.[WAIT@]Bueno, ¿necesitas algo?","[@]Quitando lo que te has gastado, ahora deberías tener [BankCash] $ en tu cuenta.[WAIT@]En fin, ¿qué necesitas?","[@]Tirando o que gastou, você deve ter $[BankCash] no banco.[WAIT@]Enfim, precisa de alguma coisa?","[@]Odejmując to, co wydałeś, powinieneś mieć teraz na koncie [BankCash] $.[WAIT@]W każdym razie, czego ode mnie potrzebujesz?","[@]Abzüglich dessen, was du ausgegeben hast, solltest du nun [BankCash] $ auf deinem Konto haben.[WAIT@]Wie auch immer, brauchst du etwas von mir?","[@]Если вычесть все твои траты, на счету должно быть [BankCash] $.[WAIT@]Что-то ещё нужно?","[@]Віднявши те, що ти витратив, зараз у тебе має бути [BankCash] $ на рахунку.[WAIT@]У будь-якому випадку, тобі щось іще потрібно?",[@]扣除你已花费的部分，[BR]你的银行里面现在应该还有[BankCash]美元。[WAIT@]话说回来，你需要我做什么吗？
DIALOGUE_REUSABLE_DAD_NORMAL_3-OPT_0,Record,Sauvegarder,Salva,きろくする,저장,Guardar,Guardar,Salvar,Zapisz,Speichern,Записать,Зберегти,记录
DIALOGUE_REUSABLE_DAD_NORMAL_3-OPT_1,"Nothing, really","En fait, rien","Niente, in realtà",とくにない,딱히...,Nada realmente,Nada,Nada não,W sumie to nic,Eigentlich nicht,"Да нет, ничего","Взагалі, ні",没什么，真的
DIALOGUE_REUSABLE_DAD_NORMAL_5,[@]All done.,"[@]Voilà, c'est fait.",[@]Tutto fatto.,[@]たたかいの　きろくは　つけておいたよ。,[@]다 됐다.,[@]Todo listo.,[@]Todo listo.,[@]Prontinho.,[@]Załatwione.,[@]Erledigt.,[@]Готово.,[@]Готово.,[@]已经完成了哦。
DIALOGUE_REUSABLE_DAD_NORMAL_6,"[@]Well, good luck with your adventure and whatnot.[WAIT@]Just remember to take a break once in a while, okay?","[@]Allez, bonne chance dans ton aventure et tout ça.[WAIT@]N'oublie pas de faire une pause de temps en temps, d'accord ?","[@]Buona fortuna con la tua avventura e tutto il resto.[WAIT@]Ricorda di fare una pausa ogni tanto, però.",[@]ママににて　がんばりやだなぁ。[WAIT@]むりするなよ。,"[@]앞으로의 모험이 잘 되었으면 좋겠구나.[WAIT@]가끔은 휴식도 필요하다는 걸 기억해, 알겠지?","[@]Está bien, buena suerte en tu aventura y todo eso.[WAIT@]Sólo recuerda tomar un descanso de vez en cuando, ¿sí?","[@]Bueno, pues suerte con tu aventura y eso.[WAIT@]No olvides tomar un descanso de vez en cuando, ¿vale?","[@]Bem, boa sorte com a sua aventura.[WAIT@]Só não se esqueça de fazer uma pausa de vez em quando, tá bom?","[@]Cóż, powodzenia w przygodzie i czym tam bądź.[WAIT@]Pamiętaj tylko, żeby od czasu do czasu zrobić sobie przerwę, dobrze?","[@]Also, dann noch viel Glück bei deinem Abenteuer.[WAIT@]Denk nur daran, immer mal wieder eine Pause zu machen, okay?","[@]Что ж, удачного приключения или что там у тебя.[WAIT@]Только не забывай время от времени делать перерыв, хорошо?","[@]Що ж, вдалої пригоди, чи що там у тебе.[WAIT@]Тільки не забувай час від часу робити перерву, гаразд?",[@]那么，祝你的冒险和其他事都顺利。[WAIT@]记得偶尔休息一下，好吗？
