key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN,pr
DISCLAIMER_TITLE,DISCLAIMER,AVERTISSEMENT,DISCLAIMER,ちゅうい,주의,ATENCIÓN,ATENCIÓN,AVISO,UWAGA!,HINWEIS,ВНИМАНИЕ!,УВАГА!,免责声明,
DISCLAIMER_PART_1,"MOTHER: Encore is a free, unofficial fan reimagining of MOTHER 1 and is not affiliated with Nintendo or Shigesato Itoi. This game offers a uniquely different experience from the original and should not be seen as a replacement for it.","MOTHER: Encore est une réinterprétation de MOTHER 1 proposée par des fans. C'est un jeu gratuit, non officiel et non affilié à Nintendo et Shigesato Itoi. Il offre une expérience unique et ne se substitue pas à l'original.",MOTHER: Encore è un rifacimento gratuito e non ufficiale di MOTHER 1 e non è in alcun modo affiliato con Nintendo o Shigesato Itoi. Questo gioco offre un'esperienza totalmente diversa dall'originale e non va visto come suo sostituto.,このゲームは　ファンメイドのリメイクさくひんです。\nニンテンドー　いといしげさと　とは　いっさいかんけい\nありません。　げんさくとは　ちがうたいけんを　おとどけ\nするための　さくひんであり　あくまで　ひこうしきです。,"MOTHER: 앙코르는 무료이며, MOTHER1을 재구성한 비공식 팬\n게임으로, 닌텐도 또는 이토이 시게사토와 제휴하지 않습니다.\n이 게임은 원작과 다른 경험을 제공하므로 원작을 대체하는\n게임으로 간주하여서는 안 됩니다.",MOTHER: Encore es una reinvención no oficial y gratuita de MOTHER 1 realizada por fans y no está afiliada a Nintendo ni a Shigesato Itoi. Este juego ofrece una experiencia distinta a la del original y no debe considerarse un sustituto del mismo.,MOTHER: Encore es una reimaginación no oficial y gratuita de MOTHER 1 creada por fans y no está afiliada a Nintendo ni a Shigesato Itoi. Este juego ofrece una experiencia distinta a la\ndel original y no debe considerarse un reemplazo del mismo.,MOTHER Encore é uma reimaginação gratuita e não-oficial de MOTHER 1 e não é afiliada à Nintendo ou Shigesato Itoi. Este jogo oferece uma experiência única e diferente do original e não deve ser considerado um substituto para ele.,"MOTHER: Encore jest darmowym, nieoficjalnym, fanowskim odświeżeniem MOTHER 1 i nie jest powiązane z Nintendo ani Shigesato Itoi. Ta gra oferuje zupełnie inne doświadczenie niż oryginał i nie powinna być postrzegana jako jego zamiennik.","MOTHER: Encore ist eine kostenlose, inoffizielle\nFan-Neuinterpretation von MOTHER 1 und steht in keinem Bezug zu Nintendo oder Shigesato Itoi. Dieses Spiel soll als eine neue Erfahrung und nicht als Ersatz für das Original gesehen werden.","MOTHER: Encore — это бесплатное неофициальное переосмысление MOTHER 1, не имеющее отношения к Nintendo и Сигэсато Итои. Игра предоставляет совершенно другой игровой опыт и не создана, чтобы заменить оригинал.","MOTHER: Encore — безкоштовне, неофіційне переосмислення MOTHER 1 і ніяк не пов'язане з Nintendo чи Сигесато Ітоєм. Ця гра надає зовсім відмінний від оригіналу досвід і не повинна розглядатися як його заміна.",《MOTHER: Encore》是一款基于《MOTHER 1》的非官方免费\n粉丝重构作品，与任天堂或糸井重里均无任何关联。\n本游戏所呈现的独特体验与原作截然不同，\n不应该被视为原作的代替品。,
DISCLAIMER_PART_2,We recommend supporting the MOTHER series by playing the games via official releases or by purchasing official merchandise.,Nous vous invitons à soutenir la série en jouant à des versions officielles de MOTHER 1 ou en achetant des produits dérivés officiels.,Vi invitiamo a supportare la serie di MOTHER giocando alle versioni ufficiali o acquistando merchandise ufficiale.,マザーシリーズを　しえんするために　こうしきばんの\nMOTHER1をプレイしたり　こうしきグッズを\nこうにゅうすることを　おススメします。,MOTHER 시리즈의 정식 발매를 통한 게임을 플레이하거나 공식\n상품을 구매하는 것을 권장합니다.,"Recomendamos que apoyen la saga original, jugando al MOTHER 1 original a través de las versiones oficiales o comprando la mercancía oficial.",Te invitamos a que apoyes la serie original jugando a las versiones oficiales de MOTHER 1 o adquiriendo merchandising oficial.,Recomendamos que você apoie a série original jogando a série MOTHER por meio de lançamentos oficiais ou comprando produtos licenciados.,Zalecamy wspieranie oryginalnej serii poprzez granie w gry MOTHER za pośrednictwem oficjalnych wydań lub kupowanie oficjalnych gadżetów.,Wir empfehlen die Unterstützung der MOTHER-Reihe durch das Spielen der offiziellen Veröffentlichungen sowie dem Kauf von offiziellen Merchandise.,Мы советуем поддержать серию MOTHER приобретением официальных копий игр или другой официальной продукции.,"Ми рекомендуємо підтримати серію MOTHER, граючи у її ігри офіційними засобами або купуючи офіційну продукцію.",我们建议通过游玩官方发行版本或购买官方周边商品\n来支持《MOTHER》系列。,
MENU_LOAD,Load,Charger,Carica,LOAD,불러오기,Cargar,Cargar,Carregar,Wczytaj,Laden,Загрузить,Завантажити,读取,
MENU_SAVE,Save,Sauvegarder,Salvare,SAVE,기록,Guardar,Guardar,Salvar,Zapisz,Speichern,Сохранить,Зберегти,保存,
MENU_YES,Yes,Oui,Sì,はい,네,Sí,Sí,Sim,Tak,Ja,Да,Так,是,
MENU_NO,No,Non,No,いいえ,아니오,No,No,Não,Nie,Nein,Нет,Ні,否,
MENU_YEP,Yep,Ouaip,Sì sì,はい,네,Síp,Seh,Sim,Jest git,Jup,Ага,Ага,好的,
MENU_NOPE,Nope,Nope,No no,いいえ,아니오,Nop,Nah,Não,Chyba nie,Nö,Не-а,Не дуже,不行,
MENU_DONT_CARE,Don't care,Peu importe,Fai tu,おまかせ,맡기기,Decídelo,Me da igual,Tanto Faz,Obojętnie,Mir egal,Без разницы,Байдуже,不在乎,
MENU_BACKSPACE,Backspace,Effacer,Cancella,もどる,지우기,Borrar,Borrar,Apaga,Cofnij,Zurück,Стереть,Стерти,退格,
MENU_OK,OK,OK,Fatto,ＯＫ,OK,Ok,Vale,OK,OK,OK,OK,ОК,就这样,
