key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN,pr
ANTIDOTE_NAME,Antidote,Antidote,Antidoto,どくけし,해독제,Antídoto,Antídoto,Antídoto,Antidotum,Gegengift,Противоядие,Протиотрута,解毒药,
ANTIDOTE_DESC,Cures poison ([Poisoned]).,Guérit du poison ([Poisoned]).,Guarisce l'avvelenamento ([Poisoned]).,[Poisoned]どくを　すばやく　けしさります。,중독([Poisoned])을 치료한다.,Cura el envenenamiento ([Poisoned]).,Cura el envenenamiento ([Poisoned]).,Cura envenenamento ([Poisoned]).,Leczy zatrucie ([Poisoned]).,Heilt Vergiftung ([Poisoned]).,Лечит от отравления ([Poisoned]).,Лікує отруєння ([Poisoned]).,治愈中毒（[Poisoned]）。,
ANTIDOTE_ART,"The ,the ,An ,an ,this ,it,was","L',l',Un ,un ,cet ,,on,votre ,le ,d',a","L',l',Un ,un ,questo ,o,uo,il",,"는,가,를,와,로","El ,el ,Un ,un ,este ,o,,","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Antidotum,Antidotum,Antidotum,o","Die ,die ,Eine ,eine ,eine ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","противоядие,противоядия,противоядию,противоядие,противоядии,,о,ено,ось,ит,его","протиотрута,протиотрути,протиотруті,протиотруту,,,ла,а,е,ить,її",",,,,这个,它,是",
APPLE_NAME,Apple,Pomme,Mela,りんご,사과,Manzana,Manzana,Maçã,Jabłko,Apfel,Яблоко,Яблуко,苹果,
APPLE_DESC,"If you slice it up, you can share it with friends.\nRestores [ItemValue] HP.","Vous pouvez la couper en tranches pour la partager avec vos amis. Rend [ItemValue] PV.","Se la fai a fette, puoi condividerla con gli amici.\nRipristina [ItemValue] PS.",きってともだちと　はんぶんこ。\nたべると　ＨＰを[ItemValue]かいふく。,깎아내어 친구와 나눠 먹을 수 있다.\nHP를 [ItemValue]만큼 회복한다.,"Si la cortas en trozos, podrás compartirla con tus amigos. Recupera [ItemValue] PV.","Si la cortas en trozos, podrás compartirla con amigos. Recupera [ItemValue] PV.",Você pode fatiá-la para dividir com os amigos.\nRecupera [ItemValue] HP.,"Jeżeli je pokroisz, możesz się nim podzielić z kumplami. Przywraca [ItemValue] HP.","Wenn du ihn in Stücke schneidest, kannst du ihn\nmit Freunden teilen. Stellt [ItemValue] HP wieder her.","Если нарезать, то можно поделиться с друзьями. Восстанавливает [ItemValue] ОЗ.","Якщо нарізати, то можна поділитися з друзями. Відновлює [ItemValue] оч[ItemValArt3] здоров'я.",如果你把它切开，你就能和朋友们一起分享。[BR]回复[ItemValue]点HP。,
APPLE_ART,"The ,the ,An ,an ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"는,가,를,와,로","La ,la ,Una ,una ,esta ,a,,","La ,la ,Una ,una ,esta ,a,,","A ,a ,Uma ,uma ,essa ,esta ,a,sua ,foi",",Jabłka,Jabłku,Jabłko,o","Der ,der ,Ein ,ein ,einen ,Den ,den ,Deinen ,deinen ,diesen ,ihn,alten,wurde,war","яблоко,яблока,яблоку,яблоко,яблоке,,о,ено,ось,ит,его","яблуко,яблука,яблуку,яблуко,,,ло,е,є,ить,його",",,,,这个,它,是",
APPLESLICES_NAME,Apple Slices,Tranches de pomme,Fette di mela,カットりんご,사과 조각,Rodajas de manzana,Rodajas de manzana,Maçã Fatiada,Kawałki Jabłka,Apfelschnittchen,Яблочные дольки,Яблучні скибочки,苹果片,
APPLESLICES_DESC,A snack for the whole party!\nRestores [ItemValue] HP.,Un petit en-cas pour toute votre équipe ¦\nRend [ItemValue] PV.,Uno spuntino per tutto il gruppo!\nRipristina [ItemValue] PS.,みんなで　たべれる　ていばんのおやつ。\nたべると　ＨＰを[ItemValue]かいふく。,모두와 함께 먹을 수 있는 최고의 간식!\n[ItemValue] HP 회복한다.,¡Un aperitivo para todo el equipo!\nRestaura [ItemValue] PV.,¡Un tentempié para todo el grupo!\nRecupera [ItemValue] PV.,Um lanche para o grupo todo!\nRecupera [ItemValue] HP.,Przekąska dla całej drużyny!\nPrzywraca [ItemValue] HP.,Ein Snack für das ganze Team! Stellt [ItemValue] KP wieder her. ,Перекус для всей компании!\nВосстанавливает [ItemValue] ОЗ.,Перекус для всієї команди!\nВідновлює [ItemValue] ОЗ.,给全队享用的点心！[BR]回复[ItemValue]点HP。,
APPLESLICES_ART,"The ,the ,Some ,some ,these ,them,were","Les ,les ,Des ,des ,ces ,es,es,vos ,les ,de ,ont","Le ,le ,Delle ,delle ,queste ,e,ue,le",,"은,이,을,과,으로","Las ,las ,Unas ,unas ,estas ,as ,s ,n ","Las ,las ,Unas ,unas ,estas ,as ,s ,n ","A ,a ,Uma ,uma ,essa ,esta ,a,sua ,foi",",Kawałków Jabłka,Kawałkom Jabłka,Kawałki Jabłka,y","Die ,die ,Einige ,einige ,einige ,Die ,die ,Deine ,deine ,diese ,sie,alten,wurden,waren","яблочные дольки,яблочных долек,яблочным долькам,яблочные дольки,яблочных дольках,,и,ены,ись,ат,их","яблучні скибочки,яблучних скибочок,яблучним скибочкам,яблучні скибочки,,,ли,і,ють,ять,їх",",,一些,一些,这些,它们,是",
ASTHMASPRAY_NAME,Asthma Spray,Inhalateur,Inalatore,ぜんそくスプレー,천식 스프레이,Inhalador,Inhalador,Inalador,Inhalator,Asthmaspray,Ингалятор,Інгалятор,哮喘喷雾,
ASTHMASPRAY_DESC,"When [Ninten]'s asthma ([Asthma]) kicks in, use this.",À utiliser si [Ninten] est pris d'une crise d'asthme ([Asthma]).,Usalo quando [Ninten] ha un attacco d'asma ([Asthma]).,[Ninten]が　[Asthma]ぜんそくになったら\nこれをつかって！,[Ninten]의 천식([Asthma])이 재발했을 때 사용해!,Úsalo cuando [Ninten] tenga un ataque de asma ([Asthma]).,Úsalo cuando a [Ninten] le dé un ataque de asma ([Asthma]).,"Quando o [Ninten] tiver uma crise de asma ([Asthma]), use isso.","Użyj go, gdy [Ninten] dostanie ataku astmy ([Asthma]).","Benutze es, wenn das Asthma ([Asthma]) bei [Ninten] zuschlägt.","Воспользуйся им, если у [decline:Ninten:M:1] начнётся приступ астмы ([Asthma]). ","Скористуйся ним, якщо у [decline:Ninten:M:1] почнеться астматичний напад ([Asthma]).",在[Ninten]的哮喘（[Asthma]）发作时使用。,
ASTHMASPRAY_ART,"The ,the ,An ,an ,this ,it,was","L',l',Un ,un ,cet ,,on,votre ,le ,d',a","L',l',Un ,un ,questo ,o,uo,il",,"는,가,를,와,로","El ,el ,Un ,un ,este ,o,,","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Inhalatora,Inhalatorowi,Inhalator,","Das ,das ,Ein ,ein ,ein ,Das ,das ,Dein ,dein ,dieses ,es,altes,wurde,war","ингалятор,ингалятора,ингалятору,ингалятор,ингаляторе,,,ён,ся,ит,его","інгалятор,інгалятора,інгалятору,інгалятор,,,в,ий,е,ить,його",",,,,这个,它,是",
BANANA_NAME,Banana,Banane,,バナナ,바나나,Plátano,Plátano,,Banan,Banane,Банан,Банан,香蕉,
