key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN
DIALOGUE_MAGICANT_CASTLE_CHEF_ROOM_5_0,[@]I'm preparing Queen Mary's favorite food.[WAIT@]Can you guess what it is?[WAIT@]That's right. [DELAY:6]It's [FavFood].[WAIT@]What's that? [DELAY]It's also your favorite food?[WAIT@]What a coincidence.,[@]Je prépare le plat préféré de la reine Mary.[WAIT@]Sauriez-vous deviner de quoi il s'agit ?[WAIT@]Exactement. [DELAY:6]Il s'agit bien d[elision][FavFood].[WAIT@]Quoi donc ? [DELAY]C'est aussi votre plat préféré ?[WAIT@]Quelle étrange coïncidence.,[@]Sto preparando il piatto preferito della Regina Mary.[WAIT@]Sai qual è?[WAIT@]Proprio così. [DELAY:6][FavFood].[WAIT@]Come? [DELAY]È anche il tuo piatto preferito?[WAIT@]Che coincidenza.,[@]クイーンマリーさまの　だいこうぶつを　つくっているところよ。[WAIT@]なにか　あててみて。[WAIT@]そうよ。[DELAY:6][FavFood]よ。[WAIT@]なんですって？　[DELAY]あなたも　それが　だいすきだって？[WAIT@]なんて　きぐうなのかしら。,"[@]메리 여왕께서 가장 좋아하는 음식을 준비하고 있습니다.[WAIT@]뭔지 맞춰보시겠어요?[WAIT@]네, 잘 아네요.[DELAY:6] [FavFood]입니다.[WAIT@]잠시만요. [DELAY]당신이 좋아하는 음식이기도 하죠?[WAIT@]정말 재밌는 우연이네요.",[@]Estoy preparando el plato favorito de la reina Mary.[WAIT@]¿Puedes adivinar cuál es?[WAIT@]¡Así es! [DELAY:6]Se trata de [FavFood].[WAIT@]¿Cómo dices? [DELAY]¿También es tu plato favorito?[WAIT@]Qué coincidencia.,[@]Estoy preparando el plato favorito de la reina Mary.\n[WAIT@]¿A que no adivinas cuál es?\n[WAIT@]¡Exacto! [DELAY:6]Es [FavFood].\n[WAIT@]¿Cómo dices? [DELAY]¿Que también es tu comida favorita?\n[WAIT@]¡Qué coincidencia!,"[@]Estou preparando o prato favorito da Rainha Mary.[WAIT@]Consegue adivinhar o que é?[WAIT@]Isso mesmo, [DELAY:6]é [FavFood].[WAIT@]Como é? [DELAY]É a sua comida favorita também?[WAIT@]Mas que coincidência.","[@]Przygotowuję ulubione jedzenie Królowej Mary.[WAIT@]Zgadniesz, co konkretnie?[WAIT@]Zgadza się. [DELAY:6]To [FavFood].[WAIT@]A cóż to? [DELAY]Także uwielbiasz tę potrawę?[WAIT@]Co za przypadek.","[@]Ich bereite gerade das Leibgericht für Königin Mary vor.[WAIT@]Errätst du, was es ist?[WAIT@]Richtig, [DELAY:6][FavFood].[WAIT@]Wie bitte? [DELAY]Das ist auch dein Leibgericht?[WAIT@]Welch Zufall.","[@]Я готовлю любимое блюдо королевы Мэри.[WAIT@]Угадай какое?[WAIT@]Верно! [DELAY:6][FavFood].[WAIT@]Что? [DELAY]Это тоже твоё любимое блюдо?[WAIT@]Надо же, какое совпадение.","[@]Я готую улюблену страву королеви Мері.[WAIT@]Можеш вгадати, що саме?[WAIT@]Правильно.[DELAY:6]Це [FavFood].[WAIT@]Що? [DELAY]Це й твоя улюблена страва?[WAIT@]Який збіг.",[@]我正在准备玛丽女王最爱吃的食物。[WAIT@]你能猜出来是什么吗？[WAIT@]答对了，[DELAY:6]就是[FavFood]。[WAIT@]什么？[DELAY]这居然也是你最爱吃的？[WAIT@]简直太巧了。
DIALOGUE_MAGICANT_CASTLE_CHEF_ROOM_5_SPEAKER_Chef,Chef,Chef cuisinier,Cuoco,コック,주방장,,,,Szef Kuchni,Chefkoch,Шеф-повар,Шеф-кухар,厨师长
DIALOGUE_MAGICANT_CASTLE_GUARD_DOORS_0,[@]This room is under renovations.[WAIT@]Come back another time and we might be finished.,[@]Cette pièce est en cours de rénovation.[WAIT@]Revenez une autre fois et peut-être que nous aurons terminé.,[@]Questa stanza è in ristrutturazione.[WAIT@]Torna quando avremo finito.,[@]この　おへやは　いまこうじちゅうなの。[WAIT@]またこんど　きてくれたら　おわっているかも　しれないわ。,[@]이 방은 현재 수리 중이다.[WAIT@]다음에 돌아올 때면 끝나있을 것이다.,[@]Este cuarto está bajo renovaciones.[WAIT@]Vuelve en otro momento y quizás ya las hayamos terminado.,[@]Estamos reformando esta habitación.\n[WAIT@]Vuelve en otro momento y quizá hayamos terminado.,[@]Este quarto está em reforma.[WAIT@]Volte outra hora que talvez a gente já tenha terminado.,"[@]Ten pokój jest w trakcie renowacji.[WAIT@]Wróć kiedy indziej, a być może będzie gotowy.","[@]Das Zimmer wird zurzeit renoviert.[WAIT@]Wenn du wann anders wiederkommst, sind wir vielleicht schon fertig.","[@]Комната закрыта на реставрацию.[WAIT@]Скорее всего, через некоторое время мы закончим.","[@]Ця кімната на ремонті.[WAIT@]Якщо прийдеш пізніше, можливо, вона буде готова.",[@]这个房间正在装修中。[WAIT@]过段时间再来看看吧，到时候说不定就完工了。
DIALOGUE_MAGICANT_CASTLE_GUARD_DOOR_3_1,[@]Come back once you have learned the third melody.,[@]Revenez quand vous aurez appris la troisième mélodie.,[@]Torna dopo aver imparato la terza melodia.,,[@]세 번째 멜로디를 배우면 다시 돌아와라.,[@]Vuelve cuando hayas aprendido la tercera melodía.,[@]Vuelve cuando hayas aprendido la tercera melodía.,,"[@]Wróć, gdy nauczysz się trzeciej melodii.","[@]Komm wieder, wenn du die dritte Melodie gelernt hast.","[@]Возвращайся, как только выучишь третью мелодию.",,[@]等你学会第三首旋律之后再来吧。
DIALOGUE_MAGICANT_CASTLE_GUARD_DOOR_4_1,[@]Come back once you have learned the fourth melody.,[@]Revenez quand vous aurez appris la quatrième mélodie.,[@]Torna dopo aver imparato la quarta melodia.,,[@]네 번째 멜로디를 배우면 다시 돌아와라.,[@]Vuelve cuando hayas aprendido la cuarta melodía.,[@]Vuelve cuando hayas aprendido la cuarta melodía.,,"[@]Wróć, gdy nauczysz się czwartej melodii.","[@]Komm wieder, wenn du die vierte Melodie gelernt hast.","[@]Возвращайся, как только выучишь четвёртую мелодию.",,[@]等你学会第四首旋律之后再来吧。
DIALOGUE_MAGICANT_CASTLE_GUARD_DOOR_5_1,[@]Come back once you have learned the fifth melody.,[@]Revenez quand vous aurez appris la cinquième mélodie.,[@]Torna dopo aver imparato la quinta melodia.,,[@]다섯 번째 멜로디를 배우면 다시 돌아와라.,[@]Vuelve cuando hayas aprendido la quinta melodía.,[@]Vuelve cuando hayas aprendido la quinta melodía.,,"[@]Wróć, gdy nauczysz się piątej melodii.","[@]Komm wieder, wenn du die fünfte Melodie gelernt hast.","[@]Возвращайся, как только выучишь пятую мелодию.",,[@]等你学会第五首旋律之后再来吧。
DIALOGUE_MAGICANT_CASTLE_GUARD_DOOR_6_1,[@]Come back once you have learned the sixth melody.,[@]Revenez quand vous aurez appris la sixième mélodie.,[@]Torna dopo aver imparato la sesta melodia.,,[@]여섯 번째 멜로디를 배우면 다시 돌아와라.,[@]Vuelve cuando hayas aprendido la sexta melodía.,[@]Vuelve cuando hayas aprendido la sexta melodía.,,"[@]Wróć, gdy nauczysz się szóstej melodii.","[@]Komm wieder, wenn du die sechste Melodie gelernt hast.","[@]Возвращайся, как только выучишь шестую мелодию.",,[@]等你学会第六首旋律之后再来吧。
DIALOGUE_MAGICANT_CASTLE_GUARD_DOOR_7_1,[@]Come back once you have learned the seventh melody.,[@]Revenez quand vous aurez appris la septième mélodie.,[@]Torna dopo aver imparato la settima melodia.,,[@]일곱 번째 멜로디를 배우면 다시 돌아와라.,[@]Vuelve cuando hayas aprendido la séptima melodía.,[@]Vuelve cuando hayas aprendido la séptima melodía.,,"[@]Wróć, gdy nauczysz się siódmej melodii.","[@]Komm wieder, wenn du die siebte Melodie gelernt hast.","[@]Возвращайся, как только выучишь седьмую мелодию.",,[@]等你学会第七首旋律之后再来吧。
DIALOGUE_MAGICANT_CASTLE_GUARD_DOOR_8_1,[@]Come back once you have learned the eighth melody.,[@]Revenez quand vous aurez appris la huitième mélodie.,[@]Torna dopo aver imparato l'ottava melodia.,,[@]여덟 번째 멜로디를 배우면 다시 돌아와라.,[@]Vuelve cuando hayas aprendido la octava melodía.,[@]Vuelve cuando hayas aprendido la octava melodía.,,"[@]Wróć, gdy nauczysz się ósmej melodii.","[@]Komm wieder, wenn du die achte Melodie gelernt hast.","[@]Возвращайся, как только выучишь восьмую мелодию.",,[@]等你学会第八首旋律之后再来吧。
DIALOGUE_MAGICANT_CASTLE_GUARD_FOYER_LEFT_0,"[@]It might be hard to imagine now, but there used to be a time when these halls were filled with guests.[WAIT@]As Queen Mary sang, her song would echo throughout the halls for everyone to hear.[WAIT@]But now these halls are empty and quiet...[WAIT@]I wonder if anyone will get the chance to hear her sing again...","[@]Ça semble difficile à imaginer aujourd'hui, mais il fut un temps où ces couloirs étaient remplis de visiteurs.[WAIT@]Quand la reine Mary chantait, sa voix résonnait à travers le château pour le bonheur de tous.[WAIT@]Mais à présent, c'est le silence qui règne dans ce lieu désert.[WAIT@]Je me demande si quelqu'un aura un jour la chance de l'entendre chanter à nouveau...","[@]Sarà difficile da credere, ma queste sale un tempo hanno visto centinaia di ospiti.[WAIT@]Il canto della Regina Mary riecheggiava ovunque, la sentivano tutti.[WAIT@]Ora, però, qui non c'è che silenzio...[WAIT@]Chissà se potremo mai sentirla cantare di nuovo...",[@]いまは　しんじられないかも　しれないけれど　むかしは　ここも　たくさんのおきゃくさんで　にぎわっていたのよ。[WAIT@]クイーンマリーさまが　うたうと　そのうたごえが　おしろじゅうに　ひびきわたってね・・・。[WAIT@]でも　いまはこんなに　がらんとして　しずまりかえって・・・。[WAIT@]また　あのうたごえを　きけるひが　くるのかしら・・・。,"[@]지금에 와선 상상할 수조차 없는 일이지만, 이 공허한 홀에도 수많은 사람으로 가득 찼던 시절이 있었다.[WAIT@]메리 여왕께서 노래를 부르시면 그 선율은 홀을 가득 메웠지.[WAIT@]허나 지금은 고요한 바람 소리뿐...[WAIT@]언젠가 그녀의 노래를 다시 들을 날이 올까?","[@]Puede que sea dificil de imaginar ahora, pero hubo un tiempo que estos salones estaban llenos de invitados.[WAIT@]Cuando la reina Mary cantaba, su canción resonaba por todo el lugar para que todos la escucharan.[WAIT@]Pero ahora estos salones estan vacíos y silenciosos...[WAIT@]Me pregunto si alguien tendrá la oportunidad de volver a oírla cantar.","[@]Puede que ahora cueste imaginarlo, pero hubo un tiempo en el que estos salones rebosaban de invitados.\n[WAIT@]Cuando la reina Mary cantaba, su melodía resonaba por todo el lugar para que todos pudieran oírla.\n[WAIT@]Pero ahora estos salones estan vacíos y en silencio...\n[WAIT@]Me pregunto si alguien tendrá la oportunidad de volver a escucharla cantar.","[@]Pode ser difícil de imaginar, mas houve um tempo em que esses salões eram cheios de convidados.[WAIT@]Quando a Rainha Mary cantava, sua voz ecoava pelos corredores do palácio para todo mundo ouvir.[WAIT@]Mas, agora, os salões estão vazios e silenciosos...[WAIT@]Será que, um dia, alguém irá ouvi-la cantar de novo?","[@]Może i ciężko to sobie teraz wyobrazić, ale były czasy, gdy te sale były wręcz wypełnione gośćmi.[WAIT@]Kiedy Królowa Mary zaczynała śpiewać, każdy przysłuchiwał się jej pieśni, która rozchodziła się echem przez cały zamek.[WAIT@]Ale teraz każdy pokój wypełnia jedynie cisza...[WAIT@]Ciekawi mnie, czy komukolwiek przypadnie jeszcze szansa usłyszeć jej śpiew...\n","[@]Es mag schwer vorstellbar sein, doch es gab eine Zeit, da waren die Hallen voller Gäste.[WAIT@]Königin Marys Gesang erfüllte jede Ecke der Hallen und jeder konnte sie hören.[WAIT@]Nun sind die Hallen still und leer ...[WAIT@]Ich frage mich, ob jemand jemals sie wieder singen hören können wird ...","[@]Трудно представить, что раньше эти залы были полны гостей.[WAIT@]Когда королева Мэри пела, её песня эхом доносилась до каждого, кто был в замке.[WAIT@]Но сейчас здесь мёртвая тишина...[WAIT@]Повезёт ли ещё кому-то услышать, как она поёт?","[@]Зараз це важко уявити, але раніше ці коридори були заповнені гостями.[WAIT@]Коли королева Мері співала, її пісня розливалась по палацу чарівним ехом.[WAIT@]А зараз тут порожньо і тихо...[WAIT@]Цікаво, чи доведеться комусь знову почути, як вона співає...",[@]现在或许还难以想象，[WAIT]但曾几何时这些大厅也经常宾客满堂。[WAIT@]每当玛丽女王唱歌时，她的歌声便会回荡在整个大厅，让每个人都能倾听。[WAIT@]可如今，这些大厅空荡荡的，一片寂静…[WAIT@]不知道还有没有机会听到她再次唱歌呢…
