key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN
4THDSLIP_NAME,4th-D Slip,Saut dimensionnel,Salto iperspazio,じげんスリップ,4차원 슬립,Salto dimensional,Salto dimensional,Fuga Dimensional,Międzywymiarowy Wślizg,Dimensionaler Spalt,Квантовый побег,Квантовий стрибок,四维逃脱
4THDSLIP_DESC,Lets you escape from battle without fail.,Permet de fuir un combat à tous les coups.,Fuggi da una battaglia senza fallire.,てきから　かならずにげることができる。,전투에서 반드시 빠져나올 수 있다.,Te permite escapar de una batalla sin fallar.,Permite escapar de un combate sin posibilidad de fallo.,Permite escapar da batalha sem falha.,Pozwala natychmiast uciec z bitwy.,Ermöglicht eine problemlose Flucht aus dem Kampf.,Позволяет сразу покинуть бой.,Гарантована втеча з битви.,可以让你必定从战斗中逃脱。
4THDSLIP_ART,,,,,"은,이,을,과",,,,",Międzywymiarowego Wślizgu",,"Квантовый побег,Квантового побега,Квантовому побегу,Квантовый побег","4-вимірний стрибок,4-вимірного стрибка,4-вимірному стрибку,4-вимірний стрибок",
APPROACH_NAME,Approach,Approche,Avvicinati,にじりよる,다가가기,Acercarse,Acercarse,Aproximar,Podejdź,Annähern,Приближение,Підкрастися,接近
APPROACH_DESC,Approach to the enemy to increase Offense.,Permet de s'approcher de l'ennemi pour augmenter l'attaque.,Avvicinati al nemico per aumentare l'Attacco.,てきに　ちかづいてオフェンスをあげる。,적에게 먼저 다가가 오펜스가 증가한다.,Acércate al enemigo para aumentar la Ofensa.,Acercarse al enemigo para subir la Fuerza.,Aproxima-se do inimigo para aumentar o Ataque.,"Podejdź do wroga, aby zwiększyć Ofensywę.","Sich einem Gegner nähern, um den Angriff zu erhöhen.",Приближение к врагу. Увеличивает силу атаки.,"Підкрастися до ворога, щоб підняти Атаку.",接近敌人以增加攻击力。
APPROACH_DIALOG,{n0}{name} approached slowly.,{n0}{name} se rapproche ¦,{n0}{name} si avvicina lentamente.,{name}は　にじりよってきた！,{name}{n0} 천천히 다가갔다.,{n0}{name} se acercó sigilosamente.,{n0}{name} se ha acercado lentamente.,{n0}{name} se aproximou lentamente.,{name} powoli podchodzi.,{n0}{n10} kam langsam näher!,{name} медленно приближается.,{name} повільно підкрадається.,{n0}{name}缓慢接近。
ATTACK_NAME,Bash,Frappe,Attacca,たたく,공격,Atacar,Atacar,Bater,Atak,Attacke,Удар,Удар,击打
ATTACK_DESC,Deals damage to an enemy.,Inflige des dégâts à l'ennemi.,Infligge danno a un nemico.,てきに　ダメージをあたえる。,적에게 피해를 준다.,Inflige daño a un enemigo.,Inflige daño a un enemigo.,Causa dano a um inimigo.,Zadaje obrażenia wrogowi.,Fügt einem Gegner Schaden zu.,Ранит врага.,Завдає шкоди ворогу.,对一名敌人造成伤害。
ATTACK_DIALOG,{n0}{name} attacks!,{n0}{name} attaque ¦,{n0}{name} attacca!,{name}の　こうげき！,{name}의 공격!,¡{n0}{name} ataca!,¡{n0}{name} ataca!,{n0}{name} ataca!,{name} atakuje!,{n0}{n10} greift an!,{name} атаку{n9}!,{name} атакує!,{n0}{name}的攻击！
BALLFLAME_NAME,Flame Ball,Boule de feu,Palla di fuoco,,플레임 볼,Bola Ígnea,Bola ígnea,Bola Flamejante,Kula Ognia,Brennball,Пламенный снаряд,Вогняна куля,烈焰球
