key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN
BATTLE_ACTION_BASH,Bash,Attaque,Attacco,たたかう,싸우기,Ataque,Atacar,Bater,Atak,Attacke,Удар,Удар,击打
BATTLE_ACTION_SKILLS,Skills,Talents,Abilità,とくぎ,스킬,Habilidades,Técnicas,Habilidades,Umiejętności,Fähigkeiten,Навыки,Навички,技能
BATTLE_ACTION_SKILLS_NINTEN_OLD,Swings,Techniques de frappe,Swing,バッティング,스윙,Batear,Batear,Golpear,Zamachy,Schwünge,Техники ударов,Замахи,挥击
BATTLE_ACTION_SKILLS_NINTEN,Skills,Talents,Abilità,とくぎ,스킬,Habilidades,Técnicas,Habilidades,Umiejętności,Fähigkeiten,Навыки,Навички,技能
BATTLE_ACTION_SKILLS_LLOYD,Tools,Outils,Strumenti,どうぐ,도구,Herramientas,Herramientas,Ferramentas,Narzędzia,Werkzeuge,Приспособления,Інструментарій,工具
BATTLE_ACTION_SKILLS_ANA,Skills,Talents,Abilità,とくぎ,스킬,Habilidades,Técnicas,Habilidades,Umiejętności,Fähigkeiten,Навыки,Навички,技能
BATTLE_ACTION_SKILLS_TEDDY,Skills,Techniques de combat,Tecniche,とくぎ,스킬,Habilidades,Técnicas,Habilidades,Umiejętności,Fähigkeiten,Приёмы,Прийоми,技能
BATTLE_ACTION_PSI,PSI,PSI,PSI,ＰＳＩ,PSI,PSI,PSI,PSI,PSI,PSI,Психокинез,Психокінез,PSI
BATTLE_ACTION_DEFEND,Defend,Garde,Difesa,ガード,방어,Defender,Defender,Defender,Obrona,Verteidigen,Защита,Захист,防御
BATTLE_ACTION_ITEMS,Items,Objets,Oggetti,グッズ,소지품,Objetos,Objetos,Itens,Przedmioty,Items,Вещи,Речі,物品
BATTLE_ACTION_RUN,Run,Fuite,Fuga,にげる,도망,Huir,Huir,Fugir,Ucieczka,Fliehen,Побег,Втеча,逃跑
BATTLE_PSIMENU_OFFENSE,Offense,Attaque,Attacco,こうげき,오펜스,Ataque,Ataque,Ofensiva,Ofensywne,Angriff,Атака,Атака,攻击力
BATTLE_PSIMENU_RECOVERY,Recovery,Récupération,Cura,かいふく,회복,Recuperación,Curación,Cura,Regeneracyjne,Erholung,Лечение,Регенерація,恢复类
