key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,zh_CN
DIALOGUE_ITEMDIALOGUE_EAGLEFEATHER_1,[@][PartyLead] got the [color][ItemName][/color]!,[@][PartyLead] obtient la [color][ItemName][/color] !,[@][PartyLead] ha ottenuto [ItemArt1][color][ItemName][/color]!,[@][PartyLead]は\n[color][ItemName][/color]を　てにいれた！,[@][PartyLead][LeadArt0] [color][ItemName][/color][ItemArt2] 획득했다!,[@]¡[PartyLead] obtuvo la [color][ItemName][/color]!,[@]¡[PartyLead] ha conseguido la [color][ItemName][/color]!,[@][PartyLead] conseguiu [ItemArt3][color][ItemName][/color]!,[@][PartyLead] dostał[LeadArt4] [color][ItemArt3][/color]!,[@][PartyLead] erhielt [ItemArt4][color][ItemName][/color]!,[@][PartyLead] получил[LeadArt6] [color][ItemArt3][/color]!,[@][PartyLead] отрима[LeadArt6] [color][ItemArt3][/color]!,[@][PartyLead]获得了[color][ItemName][/color]！
DIALOGUE_ITEMDIALOGUE_EAGLEFEATHER_2,[@]A feather dropped by a bald eagle.[WAIT@]Press [color][ui_accept][/color] near certain ledges to [color]jump[/color]!,[@]Une plume qu'un aigle a laissée derrière lui.[WAIT@]Appuyez sur [color][ui_accept][/color] à proximité de certains rebords pour [color]sauter[/color] !,[@]La piuma di un'aquila calva.[WAIT@]Premi [color][ui_accept][/color] vicino a certe sporgenze per [color]saltare[/color]!,[@]イーグルが　おとしていった　はねのようだ。[WAIT@]とくていの　だんさの\nちかくに[color][ui_accept][/color]をおして[color]ジャンプ[/color]ができる！,[@]독수리가 깃털을 떨어트리고 간 듯하다.[WAIT@][color][ui_accept][/color]를 눌러 점프할 수 있다!,[@]Una pluma que cayó de un águila calva.[WAIT@]¡Presiona [color][ui_accept][/color] cerca de ciertos bordes para [color]saltar[/color]!,[@]Una pluma que se le ha caído a un águila calva.[WAIT@]¡Pulsa [color][ui_accept][/color] cerca de ciertas cornisas para [color]saltar[/color]!,[@]Uma pena caida de uma águia careca.[WAIT@]Pressione [color][ui_accept][/color] perto de certas plataformas para [color]pular[/color]!,"[@]Pióro upuszczone przez orła bielika.[WAIT@]Naciśnij [color][ui_accept][/color] w pobliżu pewnych krawędzi, aby [color]skoczyć[/color]!","[@]Eine von einem Weißkopfadler abgeworfene Feder.[WAIT@]Drücke [color][ui_accept][/color] in der Nähe von bestimmten Absätzen, um zu [color]springen[/color]!","[@]Перо, упавшее с белоголового орла.[WAIT@]Чтобы сделать [color]прыжок[/color], нажми [color][ui_accept][/color], стоя рядом с отмеченным выступом!","[@]Перо, скинуте білоголовим орлом.[WAIT@]Натисніть [color][ui_accept][/color] поруч деяких виступів, щоб [color]стрибнути[/color]!",[@]一根由白头鹰掉落的羽毛。[WAIT@]在特定的边缘区域按住[color][ui_accept][/color]尝试[color]跳跃[/color]！
DIALOGUE_ITEMDIALOGUE_FIRSTBAT_0,[@][PartyLead] opened the present.,[@][PartyLead] ouvre le paquet.,[@][PartyLead] apre il regalo.,[@][PartyLead]は　プレゼントのはこを　あけた。,[@][PartyLead][LeadArt0] 선물 상자를 열었다.,[@][PartyLead] abrió el regalo.,[@][PartyLead] ha abierto el regalo.,[@][PartyLead] abriu o presente.,[@][PartyLead] otworzył[LeadArt4] prezent.,[@][PartyLead] öffnete das Geschenk.,[@][PartyLead] открыл[LeadArt6] подарок.,[@][PartyLead] відкри[LeadArt6] подарунок.,[@][PartyLead]拆开了礼物盒。
DIALOGUE_ITEMDIALOGUE_FIRSTBAT_1,[@][ItemReceiver] got [ItemArt3][ItemName]![WAIT@]There's a note attached to it.,[@][ItemReceiver] obtient [ItemArt3][ItemName] ![WAIT@]Une note y est attachée.,[@][ItemReceiver] ha ottenuto [ItemArt3][ItemName]![WAIT@]C'è attaccato un appunto.,[@][ItemReceiver]は\n[ItemName]を　てにいれた！[WAIT@]メモが　ついている：,[@][ItemReceiver][ReceiverArt0] [ItemName][ItemArt2] 얻었다![WAIT@]메모가 하나 붙어있다.,[@]¡[ItemReceiver] obtuvo [ItemArt3][ItemName]![WAIT@]Hay una nota pegada en él.,[@]¡[ItemReceiver] ha conseguido [ItemArt3][ItemName]![WAIT@]Tiene una nota pegada.,[@][ItemReceiver] conseguiu [ItemArt3][ItemName]![WAIT@]Tem um bilhete preso nele.,[@][ItemReceiver] dostał[ReceiverArt4] [ItemArt3]![WAIT@]Jest do niego dołączona notka.,[@][ItemReceiver] erhielt [ItemArt4][ItemName]![WAIT@]Daran hängt ein Notizzettel.,[@][ItemReceiver] получил[ReceiverArt6] [ItemArt3]![WAIT@]К ней приложена записка.,[@][ItemReceiver] отрима[ReceiverArt6] [ItemArt3]![WAIT@]До неї прикріплена записка.,[@][ItemReceiver]获得了[ItemArt3][ItemName]！[WAIT@]上面附有一张便条。
DIALOGUE_ITEMDIALOGUE_FIRSTBAT_3,"[@]Bats are pretty cool, but they don't really do much unless you equip them.","[@]Une batte, c'est cool, mais elle ne sert pas à grand-chose à moins que vous ne l'équipiez.","[@]Le mazze sono fighe, ma non ci fai molto se non le equipaggi.",[@]バットはカッコいいけど　そうびしないと\nかんようしょくぶつと　かわらないよ。,[@]꽤 멋진 배트지? 근데 장비하지 않으면 다른 잡다한\n물건들과 다를 게 없겠지. 그러니 그 배트를\n생각해서라도 꼭 장비하도록!,"[@]Los bates son geniales, pero no sirven de mucho a menos que los equipes.","[@]Los bates están muy chulos y eso, pero no te servirán de mucho si no te los equipas.","[@]Tacos são bem legais, mas não fazem muita coisa se você não equipá-los.","[@]Kije są całkiem fajne, ale nie robią zbyt wiele, chyba że się je wyposaży.","[@]Baseballschläger sind zwar ganz cool, bringen aber nichts, solange man sie nicht ausgerüstet hat.","[@]Бита — это отлично, но от неё мало пользы,\nесли ей не экипироваться.","[@]Бити досить класні, але безкорисні, якщо їх не спорядити.",[@]球棒很酷，但前提是你得装备它，要不然可一点用处都没有。
DIALOGUE_ITEMDIALOGUE_FIRSTBAT_SPEAKER_Note,Note,Note,Appunto,メモ,메모,Nota,Nota,Bilhete,Notka,Notizzettel,Записка,Записка,便条
DIALOGUE_ITEMDIALOGUE_ITEMCHECK_0,[@][ItemReceiver] got [ItemArt3][ItemName]!,[@][ItemReceiver] obtient [ItemArt3][ItemName] !,[@][ItemReceiver] ha ottenuto [ItemArt3][ItemName]!,[@][ItemReceiver]は\n[ItemName]を　てにいれた！,[@][ItemReceiver][ReceiverArt0] [ItemName][ItemArt2] 획득했다!,[@]¡[ItemReceiver] obtuvo [ItemArt3][ItemName]!,[@]¡[ItemReceiver] ha conseguido [ItemArt3][ItemName]!,[@][ItemReceiver] conseguiu [ItemArt3][ItemName]!,[@][ItemReceiver] dostał[ReceiverArt4] [ItemArt3]!,[@][ItemReceiver] erhielt [ItemArt4][ItemName]!,[@][ItemReceiver] получил[ReceiverArt6] [ItemArt3]!,[@][ItemReceiver] отрима[ReceiverArt6] [ItemArt3]!,[@][ItemReceiver]获得了[ItemArt3][ItemName]！
DIALOGUE_ITEMDIALOGUE_ITEMFULL_0,[@]Your inventory's full...,[@]Votre inventaire est plein...,[@]Il tuo inventario è pieno...,[@]バッグが　いっぱいだ・・・。,[@]아이템을 넣을 공간이 부족하다...,[@]Tu inventario está lleno...,[@]Tu inventario está lleno...,[@]Seu inventário está cheio...,[@]Twój ekwipunek jest pełny...,[@]Dein Inventar ist voll ...,[@]У тебя нет места...,[@]У вас немає місця...,[@]你的背包已满…
DIALOGUE_ITEMDIALOGUE_PRESENTCHECK_0,[@][PartyLead] opened the present.,[@][PartyLead] ouvre le paquet.,[@][PartyLead] apre il regalo.,[@][PartyLead]は　プレゼントのはこを　あけた。,[@][PartyLead][LeadArt0] 선물 상자를 열었다.,[@][PartyLead] abrió el regalo.,[@][PartyLead] ha abierto el regalo.,[@][PartyLead] abriu o presente.,[@][PartyLead] otworzył[LeadArt4] prezent.,[@][PartyLead] öffnete das Geschenk.,[@][PartyLead] открыл[LeadArt6] подарок.,[@][PartyLead] відкри[LeadArt6] подарунок.,[@][PartyLead]拆开了礼物盒。
DIALOGUE_ITEMDIALOGUE_PRESENTCHECK_1,[@][ItemReceiver] got [ItemArt3][ItemName]!,[@][ItemReceiver] obtient [ItemArt3][ItemName] !,[@][ItemReceiver] ha ottenuto [ItemArt3][ItemName]!,[@][ItemReceiver]は\n[ItemName]を　てにいれた！,[@][ItemReceiver][ReceiverArt0] [ItemName][ItemArt2] 획득했다!,[@]¡[ItemReceiver] obtuvo [ItemArt3][ItemName]!,[@]¡[ItemReceiver] ha conseguido [ItemArt3][ItemName]!,[@][ItemReceiver] conseguiu [ItemArt3][ItemName]!,[@][ItemReceiver] dostał[ReceiverArt4] [ItemArt3]!,[@][ItemReceiver] erhielt [ItemArt4][ItemName]!,[@][ItemReceiver] получил[ReceiverArt6] [ItemArt3]!,[@][ItemReceiver] отрима[ReceiverArt6] [ItemArt3]!,[@][ItemReceiver]获得了[ItemArt3][ItemName]！
